"Date","Price","Open","High","Low","Vol.","Change %","Change.."
"07/04/2024",18.1119,18.1704,18.1845,18.105,NA,"-0.26%",NA
"07/03/2024",18.1592,18.2605,18.3065,18.1075,NA,"-0.49%",NA
"07/02/2024",18.248,18.359,18.4956,18.2104,NA,"-0.49%",NA
"07/01/2024",18.337,18.3047,18.452,18.2618,NA,"+0.04%",NA
"06/28/2024",18.33,18.4385,18.602,18.2025,NA,"-0.48%",NA
"06/27/2024",18.419,18.346,18.468,18.2791,NA,"+0.51%",NA
"06/26/2024",18.325,18.0952,18.3975,18.0634,NA,"+1.28%",NA
"06/25/2024",18.0932,17.9715,18.204,17.8913,NA,"+0.87%",NA
"06/24/2024",17.938,18.1495,18.1655,17.8719,NA,"-0.90%",NA
"06/21/2024",18.1,18.371,18.3951,18.0874,NA,"-1.34%",NA
"06/20/2024",18.3454,18.4225,18.4655,18.2535,NA,"-0.34%",NA
"06/19/2024",18.408,18.41,18.4786,18.362,NA,"+0.07%",NA
"06/18/2024",18.395,18.5365,18.5677,18.2927,NA,"-0.61%",NA
"06/17/2024",18.508,18.4765,18.6405,18.4316,NA,"+0.29%",NA
"06/14/2024",18.454,18.4045,18.6865,18.3631,NA,"+0.54%",NA
"06/13/2024",18.355,18.7495,18.8431,18.351,NA,"-2.00%",NA
"06/12/2024",18.73,18.5857,18.9955,18.5118,NA,"+0.86%",NA
"06/11/2024",18.5706,18.2435,18.6075,18.21,NA,"+1.98%",NA
"06/10/2024",18.21,18.406,18.6755,18.2085,NA,"-0.92%",NA
"06/07/2024",18.38,17.9925,18.47,17.8063,NA,"+2.28%",NA
"06/06/2024",17.97,17.518,18.019,17.446,NA,"+2.73%",NA
"06/05/2024",17.493,17.8584,17.8785,17.484,NA,"-2.02%",NA
"06/04/2024",17.853,17.6975,18.2045,17.545,NA,"+1.03%",NA
"06/04/2024",17.853,17.6975,18.2045,17.545,NA,NA,"1.03%"
"06/03/2024",17.671,16.9825,17.757,16.917,NA,NA,"3.99%"
"05/31/2024",16.993,17.0165,17.082,16.9175,NA,NA,"-0.14%"
"05/30/2024",17.0168,16.974,17.141,16.906,NA,NA,"0.41%"
"05/29/2024",16.948,16.7975,17.0208,16.7416,NA,NA,"1.00%"
"05/28/2024",16.7799,16.6755,16.8335,16.6327,NA,NA,"0.81%"
"05/27/2024",16.645,16.687,16.7215,16.6369,NA,NA,"-0.22%"
"05/24/2024",16.682,16.7204,16.766,16.6716,NA,NA,"-0.20%"
"05/23/2024",16.7153,16.6595,16.768,16.6187,NA,NA,"0.33%"
"05/22/2024",16.66,16.6413,16.702,16.5919,NA,NA,"0.24%"
"05/21/2024",16.62,16.559,16.677,16.524,NA,NA,"0.40%"
"05/20/2024",16.5536,16.626,16.654,16.5417,NA,NA,"-0.22%"
"05/17/2024",16.59,16.681,16.727,16.5912,NA,NA,"-0.48%"
"05/16/2024",16.67,16.6853,16.7505,16.6585,NA,NA,"-0.06%"
"05/15/2024",16.6799,16.853,16.91,16.6485,NA,NA,"-0.91%"
"05/14/2024",16.833,16.8044,16.888,16.7703,NA,NA,"0.21%"
"05/13/2024",16.7978,16.7824,16.8265,16.7324,NA,NA,"0.11%"
"05/10/2024",16.7795,16.7929,16.82,16.721,NA,NA,"0.17%"
"05/09/2024",16.751,16.909,16.974,16.7628,NA,NA,"-0.85%"
"05/08/2024",16.895,16.904,16.987,16.87,NA,NA,"0.11%"
"05/07/2024",16.876,16.8955,16.944,16.8324,NA,NA,"0.09%"
"05/06/2024",16.86,16.9655,17.0043,16.8509,NA,NA,"-0.59%"
"05/03/2024",16.96,16.998,17.045,16.826,NA,NA,"-0.03%"
"05/02/2024",16.9653,16.9936,17.031,16.9007,NA,NA,"-0.12%"
"05/01/2024",16.985,17.151,17.1742,16.9115,NA,NA,"-0.88%"
"04/30/2024",17.1355,17.0074,17.155,16.9592,NA,NA,"0.79%"
"04/29/2024",17.0016,17.1597,17.2502,16.9893,NA,NA,"-0.80%"
"04/26/2024",17.139,17.2053,17.29,17.1137,NA,NA,"-0.33%"
"04/25/2024",17.195,17.0715,17.401,17.0185,NA,NA,"0.82%"
"04/24/2024",17.0556,16.958,17.156,16.9085,NA,NA,"0.69%"
"04/23/2024",16.939,17.1367,17.1615,16.9455,NA,NA,"-1.12%"
"04/22/2024",17.1317,17.1015,17.249,17.0111,NA,NA,"0.29%"
"04/19/2024",17.082,17.073,17.9465,17.0336,NA,NA,"0.04%"
"04/18/2024",17.075,16.9785,17.1795,16.9196,NA,NA,"0.70%"
"04/17/2024",16.957,17.072,17.1055,16.8595,NA,NA,"-0.56%"
"04/16/2024",17.053,16.7162,17.097,16.6948,NA,NA,"1.97%"
"04/15/2024",16.723,16.675,16.7545,16.5415,NA,NA,"0.62%"
"04/12/2024",16.62,16.4245,16.754,16.4093,NA,NA,"1.13%"
"04/11/2024",16.4343,16.43,16.4985,16.3746,NA,NA,"0.15%"
"04/10/2024",16.41,16.3749,16.5265,16.3029,NA,NA,"0.17%"
"04/09/2024",16.3826,16.328,16.4305,16.2602,NA,NA,"0.43%"
"04/08/2024",16.313,16.4625,16.4967,16.3055,NA,NA,"-0.83%"
"04/05/2024",16.4497,16.5879,16.6195,16.4385,NA,NA,"-0.80%"
"04/04/2024",16.5829,16.5465,16.6215,16.4927,NA,NA,"0.30%"
"04/03/2024",16.534,16.5555,16.6255,16.5158,NA,NA,"-0.10%"
"04/02/2024",16.55,16.616,16.6595,16.5422,NA,NA,"-0.37%"
"04/01/2024",16.6118,16.5885,16.679,16.5317,NA,NA,"0.49%"
"03/29/2024",16.531,16.63,16.6451,16.5393,NA,NA,"-0.55%"
"03/28/2024",16.622,16.5429,16.638,16.5259,NA,NA,"0.60%"
"03/27/2024",16.523,16.65,16.6855,16.5095,NA,NA,"-0.67%"
"03/26/2024",16.635,16.682,16.725,16.6325,NA,NA,"-0.23%"
"03/25/2024",16.673,16.7652,16.7745,16.6657,NA,NA,"-0.50%"
"03/22/2024",16.757,16.7415,16.836,16.6939,NA,NA,"0.13%"
"03/21/2024",16.7352,16.678,16.798,16.6668,NA,NA,"0.37%"
"03/20/2024",16.6733,16.811,16.8635,16.6702,NA,NA,"-0.77%"
"03/19/2024",16.802,16.8307,16.948,16.796,NA,NA,"-0.14%"
"03/18/2024",16.8253,16.6965,16.8704,16.6826,NA,NA,"0.79%"
"03/15/2024",16.693,16.7025,16.748,16.6628,NA,NA,"-0.02%"
