"Date","Price"
2018-10-24,53
2018-10-25,53
2018-10-26,53
2018-10-27,53
2018-10-28,53
2018-10-29,53
2018-10-30,53
2018-10-31,53
2018-11-01,53
2018-11-02,52.1
2018-11-03,52.1
2018-11-04,52.1
2018-11-05,52.1
2018-11-06,52.1
2018-11-07,52.1
2018-11-08,52.1
2018-11-09,52.1
2018-11-10,52.1
2018-11-11,52.1
2018-11-12,52.1
2018-11-13,52.1
2018-11-14,52.1
2018-11-15,52.1
2018-11-16,52.1
2018-11-17,52.1
2018-11-18,52.1
2018-11-19,52.1
2018-11-20,52.1
2018-11-21,52.1
2018-11-22,52.1
2018-11-23,52
2018-11-24,52
2018-11-25,52
2018-11-26,52
2018-11-27,52
2018-11-28,52
2018-11-29,52
2018-11-30,52
2018-12-01,52
2018-12-02,52
2018-12-03,51.5
2018-12-04,51.5
2018-12-05,51.5
2018-12-06,51.5
2018-12-07,51.5
2018-12-08,51.5
2018-12-09,51.5
2018-12-10,51.5
2018-12-11,51.5
2018-12-12,51.5
2018-12-13,51.5
2018-12-14,51.9
2018-12-15,51.9
2018-12-16,51.9
2018-12-17,51.9
2018-12-18,51.9
2018-12-19,51.9
2018-12-20,51.9
2018-12-21,51.9
2018-12-22,51.9
2018-12-23,51.9
2018-12-24,51.9
2018-12-25,51.9
2018-12-26,51.9
2018-12-27,51.9
2018-12-28,51.9
2018-12-29,51.9
2018-12-30,51.9
2018-12-31,51.9
2019-01-01,51.9
2019-01-02,51.4
2019-01-03,51.4
2019-01-04,51.4
2019-01-05,51.4
2019-01-06,51.4
2019-01-07,51.4
2019-01-08,51.4
2019-01-09,51.4
2019-01-10,51.4
2019-01-11,51.4
2019-01-12,51.4
2019-01-13,51.4
2019-01-14,51.4
2019-01-15,51.4
2019-01-16,51.4
2019-01-17,51.4
2019-01-18,51.4
2019-01-19,51.4
2019-01-20,51.4
2019-01-21,51.4
2019-01-22,51.4
2019-01-23,51.4
2019-01-24,51.5
2019-01-25,51.5
2019-01-26,51.5
2019-01-27,51.5
2019-01-28,51.5
2019-01-29,51.5
2019-01-30,51.5
2019-01-31,51.5
2019-02-01,50.5
2019-02-02,50.5
2019-02-03,50.5
2019-02-04,50.5
2019-02-05,50.5
2019-02-06,50.5
2019-02-07,50.5
2019-02-08,50.5
2019-02-09,50.5
2019-02-10,50.5
2019-02-11,50.5
2019-02-12,50.5
2019-02-13,50.5
2019-02-14,50.5
2019-02-15,50.5
2019-02-16,50.5
2019-02-17,50.5
2019-02-18,50.5
2019-02-19,50.5
2019-02-20,50.5
2019-02-21,50.3
2019-02-22,50.3
2019-02-23,50.3
2019-02-24,50.3
2019-02-25,50.3
2019-02-26,50.3
2019-02-27,50.3
2019-02-28,50.3
2019-03-01,49.2
2019-03-02,49.2
2019-03-03,49.2
2019-03-04,49.2
2019-03-05,49.2
2019-03-06,49.2
2019-03-07,49.2
2019-03-08,49.2
2019-03-09,49.2
2019-03-10,49.2
2019-03-11,49.2
2019-03-12,49.2
2019-03-13,49.2
2019-03-14,49.2
2019-03-15,49.2
2019-03-16,49.2
2019-03-17,49.2
2019-03-18,49.2
2019-03-19,49.2
2019-03-20,49.2
2019-03-21,49.2
2019-03-22,49.5
2019-03-23,49.5
2019-03-24,49.5
2019-03-25,49.5
2019-03-26,49.5
2019-03-27,49.5
2019-03-28,49.5
2019-03-29,49.5
2019-03-30,49.5
2019-03-31,49.5
2019-04-01,47.6
2019-04-02,47.6
2019-04-03,47.6
2019-04-04,47.6
2019-04-05,47.6
2019-04-06,47.6
2019-04-07,47.6
2019-04-08,47.6
2019-04-09,47.6
2019-04-10,47.6
2019-04-11,47.6
2019-04-12,47.6
2019-04-13,47.6
2019-04-14,47.6
2019-04-15,47.6
2019-04-16,47.6
2019-04-17,47.6
2019-04-18,47.9
2019-04-19,47.9
2019-04-20,47.9
2019-04-21,47.9
2019-04-22,47.9
2019-04-23,47.9
2019-04-24,47.9
2019-04-25,47.9
2019-04-26,47.9
2019-04-27,47.9
2019-04-28,47.9
2019-04-29,47.9
2019-04-30,47.9
2019-05-01,47.9
2019-05-02,47.8
2019-05-03,47.8
2019-05-04,47.8
2019-05-05,47.8
2019-05-06,47.8
2019-05-07,47.8
2019-05-08,47.8
2019-05-09,47.8
2019-05-10,47.8
2019-05-11,47.8
2019-05-12,47.8
2019-05-13,47.8
2019-05-14,47.8
2019-05-15,47.8
2019-05-16,47.8
2019-05-17,47.8
2019-05-18,47.8
2019-05-19,47.8
2019-05-20,47.8
2019-05-21,47.8
2019-05-22,47.8
2019-05-23,48.1
2019-05-24,48.1
2019-05-25,48.1
2019-05-26,48.1
2019-05-27,48.1
2019-05-28,48.1
2019-05-29,48.1
2019-05-30,48.1
2019-05-31,48.1
2019-06-01,48.1
2019-06-02,48.1
2019-06-03,47.7
2019-06-04,47.7
2019-06-05,47.7
2019-06-06,47.7
2019-06-07,47.7
2019-06-08,47.7
2019-06-09,47.7
2019-06-10,47.7
2019-06-11,47.7
2019-06-12,47.7
2019-06-13,47.7
2019-06-14,47.7
2019-06-15,47.7
2019-06-16,47.7
2019-06-17,47.7
2019-06-18,47.7
2019-06-19,47.7
2019-06-20,47.7
2019-06-21,48
2019-06-22,48
2019-06-23,48
2019-06-24,48
2019-06-25,48
2019-06-26,48
2019-06-27,48
2019-06-28,48
2019-06-29,48
2019-06-30,48
2019-07-01,47.8
2019-07-02,47.8
2019-07-03,47.8
2019-07-04,47.8
2019-07-05,47.8
2019-07-06,47.8
2019-07-07,47.8
2019-07-08,47.8
2019-07-09,47.8
2019-07-10,47.8
2019-07-11,47.8
2019-07-12,47.8
2019-07-13,47.8
2019-07-14,47.8
2019-07-15,47.8
2019-07-16,47.8
2019-07-17,47.8
2019-07-18,47.8
2019-07-19,47.8
2019-07-20,47.8
2019-07-21,47.8
2019-07-22,47.8
2019-07-23,47.8
2019-07-24,47.6
2019-07-25,47.6
2019-07-26,47.6
2019-07-27,47.6
2019-07-28,47.6
2019-07-29,47.6
2019-07-30,47.6
2019-07-31,47.6
2019-08-01,46.4
2019-08-02,46.4
2019-08-03,46.4
2019-08-04,46.4
2019-08-05,46.4
2019-08-06,46.4
2019-08-07,46.4
2019-08-08,46.4
2019-08-09,46.4
2019-08-10,46.4
2019-08-11,46.4
2019-08-12,46.4
2019-08-13,46.4
2019-08-14,46.4
2019-08-15,46.4
2019-08-16,46.4
2019-08-17,46.4
2019-08-18,46.4
2019-08-19,46.4
2019-08-20,46.4
2019-08-21,46.4
2019-08-22,46.3
2019-08-23,46.3
2019-08-24,46.3
2019-08-25,46.3
2019-08-26,46.3
2019-08-27,46.3
2019-08-28,46.3
2019-08-29,46.3
2019-08-30,46.3
2019-08-31,46.3
2019-09-01,46.3
2019-09-02,47
2019-09-03,47
2019-09-04,47
2019-09-05,47
2019-09-06,47
2019-09-07,47
2019-09-08,47
2019-09-09,47
2019-09-10,47
