"Date","Price"
2008-01-02,3.05
2008-01-03,3.173
2008-01-04,3.173
2008-01-05,3.173
2008-01-06,3.173
2008-01-07,3.173
2008-01-08,3.274
2008-01-09,3.274
2008-01-10,3.274
2008-01-11,3.284
2008-01-12,3.284
2008-01-13,3.284
2008-01-14,3.317
2008-01-15,3.317
2008-01-16,3.317
2008-01-17,3.317
2008-01-18,3.317
2008-01-19,3.317
2008-01-20,3.317
2008-01-21,3.317
2008-01-22,3.317
2008-01-23,3.317
2008-01-24,3.317
2008-01-25,3.317
2008-01-26,3.317
2008-01-27,3.317
2008-01-28,3.317
2008-01-29,3.317
2008-01-30,3.317
2008-01-31,3.317
2008-02-01,3.317
2008-02-02,3.317
2008-02-03,3.317
2008-02-04,3.317
2008-02-05,3.317
2008-02-06,3.317
2008-02-07,3.448
2008-02-08,3.534
2008-02-09,3.534
2008-02-10,3.534
2008-02-11,3.554
2008-02-12,3.555
2008-02-13,3.555
2008-02-14,3.555
2008-02-15,3.555
2008-02-16,3.555
2008-02-17,3.555
2008-02-18,3.555
2008-02-19,3.725
2008-02-20,3.725
2008-02-21,3.811
2008-02-22,3.811
2008-02-23,3.811
2008-02-24,3.811
2008-02-25,3.811
2008-02-26,3.811
2008-02-27,3.84
2008-02-28,3.864
2008-02-29,3.864
2008-03-01,3.864
2008-03-02,3.864
2008-03-03,3.931
2008-03-04,3.931
2008-03-05,3.99
2008-03-06,3.99
2008-03-07,3.99
2008-03-08,3.99
2008-03-09,3.99
2008-03-10,3.99
2008-03-11,3.99
2008-03-12,3.99
2008-03-13,3.99
2008-03-14,3.99
2008-03-15,3.99
2008-03-16,3.99
2008-03-17,3.99
2008-03-18,3.99
2008-03-19,3.99
2008-03-20,3.99
2008-03-21,3.99
2008-03-22,3.99
2008-03-23,3.99
2008-03-24,3.99
2008-03-25,3.99
2008-03-26,3.99
2008-03-27,3.99
2008-03-28,3.99
2008-03-29,3.99
2008-03-30,3.99
2008-03-31,3.99
2008-04-01,3.99
2008-04-02,3.99
2008-04-03,3.99
2008-04-04,3.99
2008-04-05,3.99
2008-04-06,3.979
2008-04-07,3.994
2008-04-08,3.994
2008-04-09,4.028
2008-04-10,4.028
2008-04-11,4.028
2008-04-12,4.028
2008-04-13,4.028
2008-04-14,4.028
2008-04-15,4.028
2008-04-16,4.028
2008-04-17,4.028
2008-04-18,4.028
2008-04-19,4.028
2008-04-20,4.028
2008-04-21,4.028
2008-04-22,4.028
2008-04-23,4.028
2008-04-24,4.028
2008-04-25,4.028
2008-04-26,4.028
2008-04-27,4.028
2008-04-28,4.028
2008-04-29,4.028
2008-04-30,4.028
2008-05-01,4.028
2008-05-02,4.028
2008-05-03,4.028
2008-05-04,4.028
2008-05-05,4.028
2008-05-06,4.028
2008-05-07,4.028
2008-05-08,4.028
2008-05-09,4.028
2008-05-10,4.028
2008-05-11,4.006
2008-05-12,4.006
2008-05-13,4.006
2008-05-14,4.006
2008-05-15,4.006
2008-05-16,4.006
2008-05-17,4.006
2008-05-18,4.006
2008-05-19,4.006
2008-05-20,4.006
2008-05-21,4.006
2008-05-22,4.006
2008-05-23,4.006
2008-05-24,3.984
2008-05-25,3.984
2008-05-26,3.984
2008-05-27,3.984
2008-05-28,3.984
2008-05-29,3.984
2008-05-30,3.979
2008-05-31,3.979
2008-06-01,3.979
2008-06-02,3.979
2008-06-03,3.979
2008-06-04,3.979
2008-06-05,3.979
2008-06-06,3.913
2008-06-07,3.863
2008-06-08,3.846
2008-06-09,3.846
2008-06-10,3.846
2008-06-11,3.846
2008-06-12,3.846
2008-06-13,3.846
2008-06-14,3.846
2008-06-15,3.846
2008-06-16,3.846
2008-06-17,3.796
2008-06-18,3.796
2008-06-19,3.796
2008-06-20,3.832
2008-06-21,3.832
2008-06-22,3.832
2008-06-23,3.832
2008-06-24,3.832
2008-06-25,3.832
2008-06-26,3.832
2008-06-27,3.884
