"Date","Price"
2007-01-04,58850
2007-01-05,57450
2007-01-06,57450
2007-01-07,57450
2007-01-08,55315
2007-01-09,55725
2007-01-10,56975
2007-01-11,58575
2007-01-12,57400
2007-01-13,57400
2007-01-14,57400
2007-01-15,57150
2007-01-16,55275
2007-01-17,55280
2007-01-18,55475
2007-01-19,54650
2007-01-20,54650
2007-01-21,54650
2007-01-22,55400
2007-01-23,55835
2007-01-24,56850
2007-01-25,56950
2007-01-26,56700
2007-01-27,56700
2007-01-28,56700
2007-01-29,56450
2007-01-30,55000
2007-01-31,55225
2007-02-01,55640
2007-02-02,54775
2007-02-03,54775
2007-02-04,54775
2007-02-05,53150
2007-02-06,53075
2007-02-07,54000
2007-02-08,53275
2007-02-09,53375
2007-02-10,53375
2007-02-11,53375
2007-02-12,53825
2007-02-13,53825
2007-02-14,56020
2007-02-15,55850
2007-02-16,55800
2007-02-17,55800
2007-02-18,55800
2007-02-19,55800
2007-02-20,55800
2007-02-21,55800
2007-02-22,55800
2007-02-23,55800
2007-02-24,55800
2007-02-25,55800
2007-02-26,59925
2007-02-27,59150
2007-02-28,57775
2007-03-01,57950
2007-03-02,57275
2007-03-03,57275
2007-03-04,57275
2007-03-05,55575
2007-03-06,55775
2007-03-07,56825
2007-03-08,57925
2007-03-09,57800
2007-03-10,57800
2007-03-11,57800
2007-03-12,57700
2007-03-13,58375
2007-03-14,57665
2007-03-15,58575
2007-03-16,60700
2007-03-17,60700
2007-03-18,60700
2007-03-19,60850
2007-03-20,60925
2007-03-21,60375
2007-03-22,60400
2007-03-23,61075
2007-03-24,61075
2007-03-25,61075
2007-03-26,61475
2007-03-27,62300
2007-03-28,60550
2007-03-29,60850
2007-03-30,62000
2007-03-31,62000
2007-04-01,62000
2007-04-02,62900
2007-04-03,63150
2007-04-04,64525
2007-04-05,65150
2007-04-06,66075
2007-04-07,66075
2007-04-08,66075
2007-04-09,68725
2007-04-10,70250
2007-04-11,69200
2007-04-12,70775
2007-04-13,70050
2007-04-14,70050
2007-04-15,70050
2007-04-16,71400
2007-04-17,71950
2007-04-18,73575
2007-04-19,73475
2007-04-20,71750
2007-04-21,71750
2007-04-22,71750
2007-04-23,72400
2007-04-24,71350
2007-04-25,69675
2007-04-26,69850
2007-04-27,67400
2007-04-28,67400
2007-04-29,67400
2007-04-30,68400
2007-05-01,68400
2007-05-02,68400
