"Date","Price"
2007-01-02,6201
2007-01-03,5785
2007-01-04,5602
2007-01-05,5755.5
2007-01-06,5755.5
2007-01-07,5755.5
2007-01-08,5505.5
2007-01-09,5541
2007-01-10,5715
2007-01-11,5800.5
2007-01-12,5805.5
2007-01-13,5805.5
2007-01-14,5805.5
2007-01-15,5652
2007-01-16,5682
2007-01-17,5550
2007-01-18,5601
2007-01-19,5450
2007-01-20,5450
2007-01-21,5450
2007-01-22,5481
2007-01-23,5568
2007-01-24,5671.5
2007-01-25,5825
2007-01-26,5713
2007-01-27,5713
2007-01-28,5713
2007-01-29,5581
2007-01-30,5596
2007-01-31,5651
2007-02-01,5606
2007-02-02,5501
2007-02-03,5501
2007-02-04,5501
2007-02-05,5290
2007-02-06,5356
2007-02-07,5331
2007-02-08,5225.5
2007-02-09,5401
2007-02-10,5401
2007-02-11,5401
2007-02-12,5471
2007-02-13,5572
2007-02-14,5621
2007-02-15,5835
2007-02-16,5779
2007-02-17,5779
2007-02-18,5779
2007-02-19,5770.5
2007-02-20,5682
2007-02-21,5615
2007-02-22,5875
2007-02-23,6186
2007-02-24,6186
2007-02-25,6186
2007-02-26,6251
2007-02-27,6181
2007-02-28,5980
2007-03-01,6190
2007-03-02,6056
2007-03-03,6056
2007-03-04,6056
2007-03-05,5811
2007-03-06,6000
2007-03-07,6046
2007-03-08,6276
2007-03-09,6130
2007-03-10,6130
2007-03-11,6130
2007-03-12,6175
2007-03-13,6305
2007-03-14,6220
2007-03-15,6446
2007-03-16,6520
2007-03-17,6520
2007-03-18,6520
2007-03-19,6630
2007-03-20,6696
2007-03-21,6685.5
2007-03-22,6810
2007-03-23,6852
2007-03-24,6852
2007-03-25,6852
2007-03-26,6860
2007-03-27,6851
2007-03-28,6740
2007-03-29,6715
2007-03-30,6940
2007-03-31,6940
2007-04-01,6940
2007-04-02,6916
2007-04-03,7290
2007-04-04,7305
2007-04-05,7465
2007-04-06,7465
2007-04-07,7465
2007-04-08,7465
2007-04-09,7465
2007-04-10,7839
2007-04-11,7970.5
2007-04-12,7889.5
2007-04-13,7800.5
2007-04-14,7800.5
2007-04-15,7800.5
2007-04-16,7960.5
2007-04-17,7835
2007-04-18,8053
2007-04-19,7942
2007-04-20,8039.5
2007-04-21,8039.5
2007-04-22,8039.5
2007-04-23,7920
2007-04-24,8100
2007-04-25,7820
2007-04-26,7848
2007-04-27,7745
2007-04-28,7745
2007-04-29,7745
2007-04-30,7824.5
2007-05-01,7920
2007-05-02,7999
2007-05-03,8022
2007-05-04,8225
2007-05-05,8225
2007-05-06,8225
2007-05-07,8225
2007-05-08,8194.5
2007-05-09,8205
2007-05-10,8019
2007-05-11,7855
2007-05-12,7855
2007-05-13,7855
2007-05-14,7906
2007-05-15,7795.5
2007-05-16,7710
2007-05-17,7455
2007-05-18,7260
2007-05-19,7260
2007-05-20,7260
2007-05-21,7411
2007-05-22,7560
2007-05-23,7215.5
2007-05-24,7375
2007-05-25,7142
2007-05-26,7142
2007-05-27,7142
2007-05-28,7142
2007-05-29,7360.5
2007-05-30,7255
2007-05-31,7440.5
2007-06-01,7510.5
2007-06-02,7510.5
2007-06-03,7510.5
2007-06-04,7540.5
2007-06-05,7655
2007-06-06,7560
2007-06-07,7450
2007-06-08,7285
2007-06-09,7285
2007-06-10,7285
2007-06-11,7384
2007-06-12,7292
2007-06-13,7260
2007-06-14,7372
2007-06-15,7480
2007-06-16,7480
2007-06-17,7480
2007-06-18,7665
2007-06-19,7470.5
2007-06-20,7625.5
2007-06-21,7550.5
2007-06-22,7510
2007-06-23,7510
2007-06-24,7510
2007-06-25,7312
2007-06-26,7521
2007-06-27,7360
2007-06-28,7540
2007-06-29,7650
2007-06-30,7650
2007-07-01,7650
2007-07-02,7730.5
2007-07-03,7841
2007-07-04,7930
2007-07-05,7895
2007-07-06,7902
2007-07-07,7902
2007-07-08,7902
2007-07-09,8041
2007-07-10,8030
2007-07-11,8041
2007-07-12,8091
2007-07-13,7940.5
2007-07-14,7940.5
2007-07-15,7940.5
2007-07-16,7967.5
2007-07-17,7840
2007-07-18,7880
2007-07-19,8001
2007-07-20,8120.5
2007-07-21,8120.5
2007-07-22,8120.5
2007-07-23,8210
2007-07-24,8160
2007-07-25,7975
2007-07-26,7906
2007-07-27,7880
2007-07-28,7880
2007-07-29,7880
2007-07-30,7885
2007-07-31,8159
2007-08-01,7950
2007-08-02,8055
2007-08-03,7990
2007-08-04,7990
2007-08-05,7990
2007-08-06,7790.5
2007-08-07,7830
2007-08-08,7719
2007-08-09,7680
2007-08-10,7455
2007-08-11,7455
2007-08-12,7455
2007-08-13,7696.5
2007-08-14,7700
2007-08-15,7430
2007-08-16,7155
2007-08-17,6960
2007-08-18,6960
2007-08-19,6960
2007-08-20,7196
2007-08-21,7060
2007-08-22,7225
2007-08-23,7379.5
2007-08-24,7310
2007-08-25,7310
2007-08-26,7310
2007-08-27,7310
2007-08-28,7360.5
2007-08-29,7380
2007-08-30,7395
2007-08-31,7580
2007-09-01,7580
2007-09-02,7580
2007-09-03,7451
2007-09-04,7301.5
2007-09-05,7420
2007-09-06,7250
2007-09-07,7361
2007-09-08,7361
2007-09-09,7361
2007-09-10,7248
2007-09-11,7406
2007-09-12,7396
2007-09-13,7426
2007-09-14,7471
2007-09-15,7471
2007-09-16,7471
2007-09-17,7600
2007-09-18,7540
2007-09-19,7819
2007-09-20,7852
2007-09-21,7980
2007-09-22,7980
2007-09-23,7980
2007-09-24,8076
2007-09-25,7990
2007-09-26,8082
2007-09-27,8145
2007-09-28,8165
2007-09-29,8165
2007-09-30,8165
2007-10-01,8132
2007-10-02,8161
2007-10-03,8301
2007-10-04,8270
2007-10-05,8230
2007-10-06,8230
2007-10-07,8230
2007-10-08,7990
2007-10-09,7991
2007-10-10,8135.5
2007-10-11,8226
2007-10-12,8100
2007-10-13,8100
2007-10-14,8100
2007-10-15,8285
2007-10-16,8081
2007-10-17,7991
2007-10-18,7981
2007-10-19,7909.5
2007-10-20,7909.5
2007-10-21,7909.5
2007-10-22,7725
2007-10-23,7900
2007-10-24,7736
2007-10-25,7792.5
2007-10-26,7860.5
2007-10-27,7860.5
2007-10-28,7860.5
2007-10-29,7940
2007-10-30,7695
2007-10-31,7761
2007-11-01,7661
2007-11-02,7535
2007-11-03,7535
2007-11-04,7535
2007-11-05,7412
2007-11-06,7470
2007-11-07,7451
2007-11-08,7222
2007-11-09,7021
2007-11-10,7021
2007-11-11,7021
2007-11-12,6779
2007-11-13,6980
2007-11-14,7021
2007-11-15,7051
2007-11-16,6825.5
2007-11-17,6825.5
2007-11-18,6825.5
2007-11-19,6883
2007-11-20,6615.5
2007-11-21,6535.5
2007-11-22,6492
2007-11-23,6632
2007-11-24,6632
2007-11-25,6632
2007-11-26,6740
2007-11-27,6620
2007-11-28,6540
2007-11-29,6825
2007-11-30,6956
2007-12-01,6956
2007-12-02,6956
2007-12-03,6806.5
2007-12-04,6501
2007-12-05,6551
2007-12-06,6610
2007-12-07,6812
2007-12-08,6812
2007-12-09,6812
2007-12-10,6710
2007-12-11,6635
2007-12-12,6560
2007-12-13,6500
2007-12-14,6420
2007-12-15,6420
2007-12-16,6420
2007-12-17,6365
