"date","Price_PMI","Price_LME","Price_COMEX","Price_Gold","Price_Oil","Price_SHMET"
2018-12-30,51.9,6018,2.8,1283,45.15,48205
2018-12-31,51.9,5965,2.8,1281.3,45.15,48205
2019-01-01,51.9,5965,2.8,1281.3,45.15,48205
2019-01-02,51.4,5839,2.8,1322.1,46.31,47990
2019-01-03,51.4,5811,2.8,1299.2,46.92,47320
2019-01-04,51.4,5840,2.768,1294.2,47.76,46880
2019-01-05,51.4,5840,2.768,1284.2,47.76,46880
2019-01-06,51.4,5840,2.768,1284.2,47.76,46880
2019-01-07,51.4,5889.5,2.768,1389.3,48.27,46780
2019-01-08,51.4,5904.5,2.768,1432.4,49.58,47430
2019-01-09,51.4,5964,2.768,1432.4,52.19,47585
2019-01-10,51.4,5908.5,2.768,1489,52.42,47390
2019-01-11,51.4,5926.5,2.768,1511.4,51.44,47390
2019-01-12,51.4,5926.5,2.768,1511.4,51.44,47390
2019-01-13,51.4,5926.5,2.763,1511.4,51.44,47390
2019-01-14,51.4,5861,2.76,1511.4,50.31,47160
2019-01-15,51.4,5882,2.753,1511.4,51.8,47160
2019-01-16,51.4,5911,2.753,1511.4,52.08,47195
2019-01-17,51.4,5933,2.753,1511.4,51.83,47195
2019-01-18,51.4,6022,2.741,1511.4,53.6,47195
2019-01-19,51.4,6022,2.741,1511.4,53.6,47195
2019-01-20,51.4,6022,2.741,1511.4,53.6,47195
2019-01-21,51.4,5951.5,2.741,1511.4,53.6,47195
2019-01-22,51.4,5926.5,2.741,1511.4,52.59,47195
2019-01-23,51.4,5920.5,2.741,1511.4,52.44,47195
2019-01-24,51.5,5885,2.741,1511.4,52.94,47150
2019-01-25,51.5,5901,2.741,1511.4,53.53,47165
2019-01-26,51.5,5901,2.741,1511.4,53.53,47165
2019-01-27,51.5,5901,2.741,1511.4,53.53,47165
2019-01-28,51.5,5996,2.741,1511.4,51.79,47165
2019-01-29,51.5,6007,2.741,1511.4,53.07,47230
2019-01-30,51.5,6077,2.773,1511.4,54.18,47440
2019-01-31,51.5,6148,2.789,1511.4,53.84,47725
2019-02-01,50.5,6097.5,2.789,1511.4,55.29,47710
2019-02-02,50.5,6097.5,2.789,1511.4,55.29,47710
2019-02-03,50.5,6097.5,2.789,1511.4,55.29,47710
2019-02-04,50.5,6076.5,2.795,1511.4,54.57,47710
2019-02-05,50.5,6174,2.817,1511.4,53.69,47710
2019-02-06,50.5,6210,2.836,1511.4,53.94,47710
2019-02-07,50.5,6227,2.836,1511.4,52.68,47710
2019-02-08,50.5,6207,2.836,1511.4,52.75,47710
2019-02-09,50.5,6207,2.836,1511.4,52.75,47710
2019-02-10,50.5,6207,2.836,1511.4,52.75,47710
2019-02-11,50.5,6148,2.836,1511.4,52.43,48125
