"Date","Price"
2007-01-02,663
2007-01-03,665.1
2007-01-04,665.1
2007-01-05,677.3
2007-01-06,676.9
2007-01-07,676.9
2007-01-08,675.9
2007-01-09,675.9
2007-01-10,754.1
2007-01-11,793.7
2007-01-12,793.7
2007-01-13,793.7
2007-01-14,793.7
2007-01-15,793.7
2007-01-16,793.7
2007-01-17,793.7
2007-01-18,793.7
2007-01-19,793.7
2007-01-20,793.7
2007-01-21,793.7
2007-01-22,793.7
2007-01-23,793.7
2007-01-24,793.7
2007-01-25,793.7
2007-01-26,793.7
2007-01-27,793.7
2007-01-28,793.7
2007-01-29,793.7
2007-01-30,793.7
2007-01-31,793.7
2007-02-01,793.7
2007-02-02,793.7
2007-02-03,793.7
2007-02-04,793.7
2007-02-05,793.7
2007-02-06,793.7
2007-02-07,793.7
2007-02-08,793.7
2007-02-09,793.7
2007-02-10,793.7
2007-02-11,808.5
2007-02-12,808.5
2007-02-13,808.5
2007-02-14,808.5
2007-02-15,808.5
2007-02-16,808.5
2007-02-17,808.5
2007-02-18,808.5
2007-02-19,808.5
2007-02-20,808.5
2007-02-21,808.5
2007-02-22,808.5
2007-02-23,808.5
2007-02-24,808.5
2007-02-25,808.5
2007-02-26,808.5
2007-02-27,808.5
2007-02-28,808.5
2007-03-01,808.5
2007-03-02,808.5
2007-03-03,808.5
2007-03-04,808.5
2007-03-05,808.5
2007-03-06,808.5
2007-03-07,808.5
2007-03-08,808.5
2007-03-09,808.5
2007-03-10,808.5
2007-03-11,808.5
2007-03-12,794.7
2007-03-13,794.7
2007-03-14,794.7
2007-03-15,794.7
2007-03-16,794.7
2007-03-17,794.7
2007-03-18,794.7
2007-03-19,794.7
2007-03-20,794.7
2007-03-21,794.7
2007-03-22,794.7
2007-03-23,794.7
2007-03-24,794.7
2007-03-25,794.7
2007-03-26,794.7
2007-03-27,794.7
2007-03-28,794.7
2007-03-29,794.7
2007-03-30,794.7
2007-03-31,794.7
2007-04-01,794.7
2007-04-02,794.7
2007-04-03,794.7
2007-04-04,794.7
2007-04-05,794.7
2007-04-06,794.7
2007-04-07,794.7
2007-04-08,794.7
2007-04-09,794.7
2007-04-10,794.7
2007-04-11,794.7
2007-04-12,807.6
2007-04-13,807.6
2007-04-14,807.6
2007-04-15,807.6
2007-04-16,807.6
2007-04-17,807.6
2007-04-18,807.6
2007-04-19,807.6
2007-04-20,807.6
2007-04-21,807.6
2007-04-22,807.6
2007-04-23,807.6
2007-04-24,807.6
2007-04-25,807.6
2007-04-26,807.6
2007-04-27,807.6
2007-04-28,807.6
2007-04-29,807.6
2007-04-30,807.6
2007-05-01,807.6
2007-05-02,807.6
2007-05-03,807.6
2007-05-04,807.6
2007-05-05,807.6
2007-05-06,807.6
2007-05-07,807.6
2007-05-08,807.6
2007-05-09,807.6
2007-05-10,807.6
2007-05-11,807.6
2007-05-12,803.7
2007-05-13,803.7
2007-05-14,803.7
2007-05-15,803.7
2007-05-16,803.7
2007-05-17,803.7
2007-05-18,803.7
2007-05-19,803.7
2007-05-20,803.7
2007-05-21,803.7
2007-05-22,803.7
2007-05-23,803.7
2007-05-24,803.7
2007-05-25,803.7
2007-05-26,803.7
2007-05-27,803.7
2007-05-28,803.7
2007-05-29,803.7
2007-05-30,803.7
2007-05-31,803.7
2007-06-01,803.7
2007-06-02,803.7
2007-06-03,803.7
2007-06-04,803.7
2007-06-05,803.7
2007-06-06,803.7
2007-06-07,803.7
2007-06-08,803.7
2007-06-09,803.7
2007-06-10,803.7
2007-06-11,803.7
2007-06-12,807.1
2007-06-13,807.1
2007-06-14,807.1
2007-06-15,807.1
2007-06-16,807.1
2007-06-17,807.1
2007-06-18,807.1
2007-06-19,807.1
2007-06-20,807.1
2007-06-21,807.1
2007-06-22,807.1
2007-06-23,807.1
2007-06-24,807.1
2007-06-25,807.1
2007-06-26,807.1
2007-06-27,807.1
2007-06-28,807.1
2007-06-29,807.1
2007-06-30,807.1
2007-07-01,807.1
2007-07-02,807.1
2007-07-03,807.1
2007-07-04,807.1
2007-07-05,807.1
2007-07-06,807.1
2007-07-07,807.1
2007-07-08,807.1
2007-07-09,807.1
2007-07-10,807.1
2007-07-11,807.1
2007-07-12,800.2
2007-07-13,800.2
2007-07-14,800.2
2007-07-15,800.2
2007-07-16,800.2
2007-07-17,800.2
2007-07-18,800.2
2007-07-19,800.2
2007-07-20,800.2
2007-07-21,800.2
2007-07-22,800.2
2007-07-23,800.2
2007-07-24,800.2
2007-07-25,800.2
2007-07-26,800.2
2007-07-27,800.2
2007-07-28,800.2
2007-07-29,800.2
2007-07-30,800.2
2007-07-31,800.2
2007-08-01,800.2
2007-08-02,800.2
2007-08-03,800.2
2007-08-04,800.2
2007-08-05,800.2
2007-08-06,800.2
2007-08-07,800.2
2007-08-08,800.2
2007-08-09,800.2
2007-08-10,800.2
2007-08-11,800.2
2007-08-12,800.2
2007-08-13,837.5
2007-08-14,837.5
2007-08-15,837.5
2007-08-16,837.5
2007-08-17,837.5
2007-08-18,837.5
2007-08-19,837.5
2007-08-20,837.5
2007-08-21,837.5
2007-08-22,837.5
2007-08-23,837.5
2007-08-24,837.5
2007-08-25,837.5
2007-08-26,837.5
2007-08-27,837.5
2007-08-28,837.5
2007-08-29,837.5
2007-08-30,837.5
2007-08-31,837.5
2007-09-01,837.5
2007-09-02,837.5
2007-09-03,837.5
2007-09-04,837.5
2007-09-05,837.5
2007-09-06,837.5
2007-09-07,837.5
2007-09-08,837.5
2007-09-09,837.5
2007-09-10,837.5
2007-09-11,834.7
2007-09-12,834.7
2007-09-13,834.7
2007-09-14,834.7
2007-09-15,834.7
2007-09-16,834.7
2007-09-17,834.7
2007-09-18,834.7
2007-09-19,834.7
2007-09-20,834.7
2007-09-21,834.7
2007-09-22,834.7
2007-09-23,834.7
2007-09-24,834.7
2007-09-25,834.7
2007-09-26,834.7
2007-09-27,834.7
2007-09-28,834.7
2007-09-29,834.7
2007-09-30,834.7
2007-10-01,834.7
2007-10-02,834.7
2007-10-03,834.7
2007-10-04,834.7
2007-10-05,834.7
