"Date","Price"
2018-12-30,48205
2018-12-31,48205
2019-01-01,48205
2019-01-02,47990
2019-01-03,47320
2019-01-04,46880
2019-01-05,46880
2019-01-06,46880
2019-01-07,46780
2019-01-08,47430
2019-01-09,47585
2019-01-10,47390
2019-01-11,47390
2019-01-12,47390
2019-01-13,47390
2019-01-14,47160
2019-01-15,47160
2019-01-16,47195
2019-01-17,47195
2019-01-18,47195
2019-01-19,47195
2019-01-20,47195
2019-01-21,47195
2019-01-22,47195
2019-01-23,47195
2019-01-24,47150
2019-01-25,47165
2019-01-26,47165
2019-01-27,47165
2019-01-28,47165
2019-01-29,47230
2019-01-30,47440
2019-01-31,47725
2019-02-01,47710
2019-02-02,47710
2019-02-03,47710
2019-02-04,47710
2019-02-05,47710
2019-02-06,47710
2019-02-07,47710
2019-02-08,47710
2019-02-09,47710
2019-02-10,47710
2019-02-11,48125
2019-02-12,48035
2019-02-13,47820
2019-02-14,47940
2019-02-15,48065
2019-02-16,48065
2019-02-17,48065
2019-02-18,48390
2019-02-19,48925
2019-02-20,49310
2019-02-21,49420
2019-02-22,49295
2019-02-23,49295
2019-02-24,49295
2019-02-25,49895
2019-02-26,49720
2019-02-27,49805
2019-02-28,49915
2019-03-01,49915
2019-03-02,49915
2019-03-03,49915
2019-03-04,49970
2019-03-05,50110
2019-03-06,49905
2019-03-07,49795
2019-03-08,49620
2019-03-09,49620
2019-03-10,49620
2019-03-11,49580
2019-03-12,49810
2019-03-13,49940
2019-03-14,49840
2019-03-15,49625
2019-03-16,49625
2019-03-17,49625
2019-03-18,50085
2019-03-19,50040
2019-03-20,50075
2019-03-21,50200
2019-03-22,49930
2019-03-23,49930
2019-03-24,49930
2019-03-25,49330
2019-03-26,49210
2019-03-27,49325
2019-03-28,49360
2019-03-29,49785
2019-03-30,49785
2019-03-31,49785
2019-04-01,49225
2019-04-02,49160
2019-04-03,49185
2019-04-04,49515
2019-04-05,49515
2019-04-06,49515
2019-04-07,49515
2019-04-08,49280
2019-04-09,49385
2019-04-10,49435
2019-04-11,49290
2019-04-12,49055
2019-04-13,49055
2019-04-14,49055
2019-04-15,49460
2019-04-16,49375
2019-04-17,49550
2019-04-18,49610
2019-04-19,49450
2019-04-20,49450
2019-04-21,49450
2019-04-22,49450
2019-04-23,49185
2019-04-24,49055
2019-04-25,49240
2019-04-26,48830
2019-04-27,48830
2019-04-28,48830
2019-04-29,48835
2019-04-30,48905
2019-05-01,48905
2019-05-02,48905
2019-05-03,48905
2019-05-04,48905
2019-05-05,48905
2019-05-06,47990
2019-05-07,48375
2019-05-08,47960
2019-05-09,47610
2019-05-10,47925
2019-05-11,47925
2019-05-12,47925
2019-05-13,47645
2019-05-14,47525
2019-05-15,47620
2019-05-16,47810
2019-05-17,47915
2019-05-18,47915
2019-05-19,47915
2019-05-20,47780
2019-05-21,47785
2019-05-22,47510
2019-05-23,46825
2019-05-24,47040
2019-05-25,47040
2019-05-26,47040
2019-05-27,47105
2019-05-28,47225
2019-05-29,47010
2019-05-30,46700
2019-05-31,46480
2019-06-01,46480
2019-06-02,46480
2019-06-03,46200
2019-06-04,46340
2019-06-05,46625
2019-06-06,46060
2019-06-07,46060
2019-06-08,46060
2019-06-09,46060
2019-06-10,46285
2019-06-11,46760
2019-06-12,46635
2019-06-13,46355
2019-06-14,46475
2019-06-15,46475
2019-06-16,46475
2019-06-17,46135
2019-06-18,46375
2019-06-19,46890
2019-06-20,46850
2019-06-21,46885
2019-06-22,46885
2019-06-23,46885
2019-06-24,46840
2019-06-25,46955
2019-06-26,47280
2019-06-27,47075
2019-06-28,47055
2019-06-29,47055
2019-06-30,47055
2019-07-01,47315
2019-07-02,46640
2019-07-03,46425
2019-07-04,46540
2019-07-05,46450
2019-07-06,46450
2019-07-07,46450
2019-07-08,46430
2019-07-09,46205
2019-07-10,45890
2019-07-11,46540
2019-07-12,46645
2019-07-13,46645
2019-07-14,46645
2019-07-15,46735
2019-07-16,46875
2019-07-17,46865
2019-07-18,46785
2019-07-19,47620
2019-07-20,47620
2019-07-21,47620
2019-07-22,47615
2019-07-23,47295
2019-07-24,46990
2019-07-25,47010
2019-07-26,46965
2019-07-27,46965
2019-07-28,46965
2019-07-29,46915
2019-07-30,47290
2019-07-31,46850
2019-08-01,46650
2019-08-02,46430
2019-08-03,46430
2019-08-04,46430
2019-08-05,45970
2019-08-06,46105
2019-08-07,46170
2019-08-08,46480
2019-08-09,46605
2019-08-10,46605
2019-08-11,46605
2019-08-12,46580
2019-08-13,46545
2019-08-14,46650
2019-08-15,46350
2019-08-16,46455
2019-08-17,46455
2019-08-18,46455
2019-08-19,46485
2019-08-20,46665
2019-08-21,46400
2019-08-22,46425
2019-08-23,46325
2019-08-24,46325
2019-08-25,46325
2019-08-26,46040
2019-08-27,46440
2019-08-28,46585
2019-08-29,46640
2019-08-30,46720
2019-08-31,46720
2019-09-01,46720
2019-09-02,46640
2019-09-03,46495
2019-09-04,46335
2019-09-05,47125
2019-09-06,47525
2019-09-07,47525
2019-09-08,47525
2019-09-09,47375
2019-09-10,47475
2019-09-11,47295
2019-09-12,47390
2019-09-13,47390
2019-09-14,47390
2019-09-15,47390
2019-09-16,47810
2019-09-17,47510
2019-09-18,47500
2019-09-19,47460
2019-09-20,47390
2019-09-21,47390
2019-09-22,47390
2019-09-23,47310
2019-09-24,47310
2019-09-25,47210
2019-09-26,47235
2019-09-27,46770
2019-09-28,46770
2019-09-29,46770
2019-09-30,47325
2019-10-01,47325
2019-10-02,47325
2019-10-03,47325
2019-10-04,47325
2019-10-05,47325
2019-10-06,47325
2019-10-07,47325
2019-10-08,47035
2019-10-09,46775
2019-10-10,46735
2019-10-11,47055
2019-10-12,47055
2019-10-13,47055
2019-10-14,47080
2019-10-15,46990
2019-10-16,46910
2019-10-17,46690
2019-10-18,46735
2019-10-19,46735
2019-10-20,46735
2019-10-21,47185
2019-10-22,47180
2019-10-23,47040
2019-10-24,47385
2019-10-25,47220
2019-10-26,47220
2019-10-27,47220
2019-10-28,47365
2019-10-29,47345
2019-10-30,47405
2019-10-31,47200
2019-11-01,46945
2019-11-02,46945
2019-11-03,46945
2019-11-04,47030
2019-11-05,47185
2019-11-06,47335
2019-11-07,47120
2019-11-08,47370
2019-11-09,47370
2019-11-10,47370
2019-11-11,47170
2019-11-12,47135
2019-11-13,47050
2019-11-14,47035
2019-11-15,46945
2019-11-16,46945
2019-11-17,46945
2019-11-18,47025
2019-11-19,46950
2019-11-20,47190
2019-11-21,47065
2019-11-22,46925
2019-11-23,46925
2019-11-24,46925
2019-11-25,47160
2019-11-26,47110
2019-11-27,47340
2019-11-28,47350
2019-11-29,47300
2019-11-30,47300
2019-12-01,47300
2019-12-02,47340
2019-12-03,47145
2019-12-04,47095
2019-12-05,47285
2019-12-06,47380
2019-12-07,47380
2019-12-08,47380
2019-12-09,48150
2019-12-10,48430
2019-12-11,48480
2019-12-12,48920
2019-12-13,48940
2019-12-14,48940
2019-12-15,48940
2019-12-16,48690
2019-12-17,49000
2019-12-18,49020
2019-12-19,48840
2019-12-20,49070
2019-12-21,49070
2019-12-22,49070
2019-12-23,48805
2019-12-24,48920
2019-12-25,49275
2019-12-26,49350
2019-12-27,49425
2019-12-28,49425
2019-12-29,49425
2019-12-30,49215
2019-12-31,49035
2020-01-01,49035
2020-01-02,49100
2020-01-03,48930
2020-01-04,48930
2020-01-05,48930
2020-01-06,48715
2020-01-07,48780
2020-01-08,48680
2020-01-09,48760
2020-01-10,48605
2020-01-11,48605
2020-01-12,48605
2020-01-13,48600
2020-01-14,48990
2020-01-15,49060
2020-01-16,48950
2020-01-17,48930
2020-01-18,48930
2020-01-19,48930
2020-01-20,48850
2020-01-21,48425
2020-01-22,48235
2020-01-23,47995
2020-01-24,47995
2020-01-25,47995
2020-01-26,47995
2020-01-27,47995
2020-01-28,47995
2020-01-29,47995
2020-01-30,47995
2020-01-31,47995
2020-02-01,47995
2020-02-02,47995
2020-02-03,44900
2020-02-04,44940
2020-02-05,45230
2020-02-06,45795
2020-02-07,45590
2020-02-08,45590
2020-02-09,45590
2020-02-10,45315
2020-02-11,45370
2020-02-12,45385
2020-02-13,45490
2020-02-14,45655
2020-02-15,45655
2020-02-16,45655
2020-02-17,45830
2020-02-18,45955
2020-02-19,45990
2020-02-20,46010
2020-02-21,45910
2020-02-22,45910
2020-02-23,45910
2020-02-24,45515
2020-02-25,45500
2020-02-26,45360
2020-02-27,45190
2020-02-28,44630
2020-02-29,44630
2020-03-01,44630
2020-03-02,44770
2020-03-03,45345
2020-03-04,45005
2020-03-05,45055
2020-03-06,44725
2020-03-07,44725
2020-03-08,44725
2020-03-09,43550
2020-03-10,44030
2020-03-11,44280
2020-03-12,43185
2020-03-13,42755
2020-03-14,42755
2020-03-15,42755
2020-03-16,43200
2020-03-17,42145
2020-03-18,41400
2020-03-19,37545
2020-03-20,38290
2020-03-21,38290
2020-03-22,38290
2020-03-23,36625
2020-03-24,37890
2020-03-25,38750
2020-03-26,38970
2020-03-27,38865
2020-03-28,38865
2020-03-29,38865
2020-03-30,38645
2020-03-31,39425
2020-04-01,39570
2020-04-02,39190
2020-04-03,39760
2020-04-04,39760
2020-04-05,39760
2020-04-06,39760
2020-04-07,40840
2020-04-08,40765
2020-04-09,40950
2020-04-10,40990
2020-04-11,40990
2020-04-12,40990
2020-04-13,41925
2020-04-14,41970
2020-04-15,41860
2020-04-16,41775
2020-04-17,42470
2020-04-18,42470
2020-04-19,42470
2020-04-20,42640
2020-04-21,42060
2020-04-22,40995
2020-04-23,41980
2020-04-24,42120
2020-04-25,42120
2020-04-26,42120
2020-04-27,42850
2020-04-28,42480
2020-04-29,42810
2020-04-30,43030
2020-05-01,43030
2020-05-02,43030
2020-05-03,43030
2020-05-04,43030
2020-05-05,43030
2020-05-06,42835
2020-05-07,43030
2020-05-08,43600
2020-05-09,43600
2020-05-10,43600
2020-05-11,44060
2020-05-12,43565
2020-05-13,43080
2020-05-14,43150
2020-05-15,43325
2020-05-16,43325
2020-05-17,43325
2020-05-18,43260
2020-05-19,43995
2020-05-20,44040
2020-05-21,44620
2020-05-22,43770
2020-05-23,43770
2020-05-24,43770
2020-05-25,43790
2020-05-26,44030
2020-05-27,44170
2020-05-28,44030
2020-05-29,44135
2020-05-30,44135
2020-05-31,44135
2020-06-01,44710
2020-06-02,44895
2020-06-03,45110
2020-06-04,44850
2020-06-05,44990
2020-06-06,44990
2020-06-07,44990
2020-06-08,45730
2020-06-09,46355
2020-06-10,46855
2020-06-11,47425
2020-06-12,46760
2020-06-13,46760
2020-06-14,46760
2020-06-15,46830
2020-06-16,47080
2020-06-17,46910
2020-06-18,47110
2020-06-19,47475
2020-06-20,47475
2020-06-21,47475
2020-06-22,47895
2020-06-23,47880
2020-06-24,48160
2020-06-25,48160
2020-06-26,48160
2020-06-27,48160
2020-06-28,48160
2020-06-29,48770
2020-06-30,48930
2020-07-01,49450
2020-07-02,49460
2020-07-03,49260
2020-07-04,49260
2020-07-05,49260
2020-07-06,49120
2020-07-07,49610
2020-07-08,49845
2020-07-09,50575
2020-07-10,50600
2020-07-11,50600
2020-07-12,50600
2020-07-13,52980
2020-07-14,52150
2020-07-15,52435
2020-07-16,51240
2020-07-17,51685
2020-07-18,51685
2020-07-19,51685
2020-07-20,51375
2020-07-21,51935
2020-07-22,52600
