Date;CopperSHMET
03/01/2017;45770
04/01/2017;45000
05/01/2017;45580
06/01/2017;45240
09/01/2017;45420
10/01/2017;45620
11/01/2017;46790
12/01/2017;46870
13/01/2017;47300
16/01/2017;47900
17/01/2017;47200
18/01/2017;46270
19/01/2017;46600
20/01/2017;46470
23/01/2017;46900
24/01/2017;46880
25/01/2017;47490
26/01/2017;47460
03/02/2017;46680
06/02/2017;46500
07/02/2017;46650
08/02/2017;47270
09/02/2017;47240
10/02/2017;46860
13/02/2017;49600
14/02/2017;49400
15/02/2017;48820
16/02/2017;49000
17/02/2017;48560
20/02/2017;48300
21/02/2017;48900
22/02/2017;48550
23/02/2017;48480
24/02/2017;47220
27/02/2017;47800
28/02/2017;47630
01/03/2017;48260
02/03/2017;48370
03/03/2017;47700
06/03/2017;47930
07/03/2017;47485
08/03/2017;47030
09/03/2017;46580
10/03/2017;46350
13/03/2017;46660
14/03/2017;46970
15/03/2017;47250
16/03/2017;47690
17/03/2017;47610
20/03/2017;47750
21/03/2017;47030
22/03/2017;46460
23/03/2017;46840
24/03/2017;46750
27/03/2017;46280
28/03/2017;46550
29/03/2017;47110
30/03/2017;47160
31/03/2017;47370
05/04/2017;47130
06/04/2017;47610
07/04/2017;47520
10/04/2017;47020
11/04/2017;46700
12/04/2017;46575
13/04/2017;45920
14/04/2017;46030
17/04/2017;46420
18/04/2017;46295
19/04/2017;45970
20/04/2017;45570
21/04/2017;45820
24/04/2017;45880
25/04/2017;46140
26/04/2017;46235
27/04/2017;46205
28/04/2017;46225
02/05/2017;46895
03/05/2017;46620
04/05/2017;45580
05/05/2017;45230
08/05/2017;45130
09/05/2017;44785
10/05/2017;44970
11/05/2017;44965
12/05/2017;44980
15/05/2017;45205
16/05/2017;45220
17/05/2017;45330
18/05/2017;45050
19/05/2017;45230
22/05/2017;45785
23/05/2017;45905
24/05/2017;45850
25/05/2017;45810
26/05/2017;45840
31/05/2017;45650
01/06/2017;45290
02/06/2017;45285
05/06/2017;45290
06/06/2017;45100
07/06/2017;45110
08/06/2017;45040
09/06/2017;45720
12/06/2017;46280
13/06/2017;45905
14/06/2017;45600
15/06/2017;45500
16/06/2017;45600
19/06/2017;45465
20/06/2017;45710
21/06/2017;45410
22/06/2017;45890
23/06/2017;45835
26/06/2017;46300
27/06/2017;46305
28/06/2017;46630
29/06/2017;47220
30/06/2017;47175
03/07/2017;47195
04/07/2017;47000
05/07/2017;47080
06/07/2017;46770
07/07/2017;46740
10/07/2017;46810
11/07/2017;46675
12/07/2017;47110
13/07/2017;47040
14/07/2017;46930
17/07/2017;47330
18/07/2017;47740
19/07/2017;47575
20/07/2017;47615
21/07/2017;47675
24/07/2017;47700
25/07/2017;48210
26/07/2017;49910
27/07/2017;50000
28/07/2017;49850
31/07/2017;50190
01/08/2017;50150
02/08/2017;49950
03/08/2017;50175
04/08/2017;50135
07/08/2017;50200
08/08/2017;50425
09/08/2017;50820
10/08/2017;50545
11/08/2017;49850
14/08/2017;50045
15/08/2017;50045
16/08/2017;49950
17/08/2017;51220
18/08/2017;50510
21/08/2017;50920
22/08/2017;51400
23/08/2017;51285
24/08/2017;51545
25/08/2017;52310
28/08/2017;52305
29/08/2017;52630
30/08/2017;52530
31/08/2017;52610
01/09/2017;52610
04/09/2017;53065
05/09/2017;53275
06/09/2017;52950
07/09/2017;53085
08/09/2017;52590
11/09/2017;51200
12/09/2017;51445
13/09/2017;51255
14/09/2017;50640
15/09/2017;50450
18/09/2017;50580
19/09/2017;50760
20/09/2017;50780
21/09/2017;50360
22/09/2017;49820
25/09/2017;50425
26/09/2017;50800
27/09/2017;50490
28/09/2017;50520
29/09/2017;51490
09/10/2017;52400
10/10/2017;52440
11/10/2017;52710
12/10/2017;53525
13/10/2017;53750
16/10/2017;54025
17/10/2017;55600
18/10/2017;55300
19/10/2017;54925
20/10/2017;55100
23/10/2017;55040
24/10/2017;55940
25/10/2017;55510
26/10/2017;55200
27/10/2017;54610
30/10/2017;53720
31/10/2017;53725
01/11/2017;54620
02/11/2017;54350
