Date,Price,Open,High,Low,Vol.,Change..
2024-04-02,16.55,16.616,16.6595,16.5422,NA,-0.37%
2024-04-03,16.534,16.5555,16.6255,16.5158,NA,-0.10%
2024-04-04,16.5829,16.5465,16.6215,16.4927,NA,0.30%
2024-04-05,17.0556,16.5879,16.6195,16.4385,NA,-0.80%
2024-04-08,17.1655,16.4625,16.4967,16.3055,NA,-0.83%
2024-04-09,17.139,16.328,16.4305,16.2602,NA,0.43%
2024-04-10,17.139,16.3749,16.5265,16.3029,NA,0.17%
2024-04-11,17.0081,16.43,16.4985,16.3746,NA,0.15%
2024-04-12,16.62,16.4245,16.754,16.409300000000002,NA,1.13%
2024-04-15,16.723,16.675,16.7545,16.5415,NA,0.62%
2024-04-16,17.053,16.7162,17.097,16.6948,NA,1.97%
2024-04-17,16.957,17.072,17.1055,16.8595,NA,-0.56%
2024-04-18,17.075,16.9785,17.1795,16.9196,NA,0.70%
2024-04-19,17.082,17.073,17.9465,17.0336,NA,0.04%
2024-04-22,17.1317,17.1015,17.249,17.0111,NA,0.29%
2024-04-23,16.939,17.1367,17.1615,16.9455,NA,-1.12%
2024-04-24,17.0556,16.958,17.156,16.9085,NA,0.69%
2024-04-25,17.195,17.0715,17.401,17.0185,NA,0.82%
2024-04-26,17.139,17.2053,17.29,17.1137,NA,-0.33%
2024-04-28,17.1655,17.1415,17.1814,17.136,NA,0.15%
2024-04-29,17.0081,17.1664,17.2499,16.9911,NA,-0.92%
