"date","price_aluminium_LME"
2024-08-21,2443
2024-08-20,2435
2024-08-19,2369.5
2024-08-16,2293.5
2024-08-15,2301
2024-08-14,2299
2024-08-13,2256.5
2024-08-12,2268
2024-08-09,2263
2024-08-08,2204.5
2024-08-07,2202.5
2024-08-06,2205
2024-08-05,2167
2024-08-02,2214.5
2024-08-01,2228.5
2024-07-31,2252
2024-07-30,2161.5
2024-07-29,2203.5
2024-07-26,2229
2024-07-25,2218.5
2024-07-24,2266
2024-07-23,2264
2024-07-22,2259
2024-07-19,2312
2024-07-18,2335
2024-07-17,2363
2024-07-16,2377
2024-07-15,2404
2024-07-12,2422
2024-07-11,2428.5
2024-07-10,2432
2024-07-09,2468.5
2024-07-08,2475.5
2024-07-05,2495.5
2024-07-04,2493.5
2024-07-03,2487
2024-07-02,2489.5
2024-07-01,2496.5
2024-06-28,2485.5
2024-06-27,2458.5
2024-06-26,2444
2024-06-25,2451.5
2024-06-24,2454.5
2024-06-21,2452.5
2024-06-20,2461
2024-06-19,2445
2024-06-18,2427.5
2024-06-17,2420.5
2024-06-14,2465.5
2024-06-13,2498
2024-06-12,2476
2024-06-11,2475
2024-06-10,2515.5
2024-06-07,2578.5
2024-06-06,2587
2024-06-05,2577
2024-06-04,2603
2024-06-03,2625
2024-05-31,2677
2024-05-30,2665.5
2024-05-29,2695
2024-05-28,2653
2024-05-24,2599
2024-05-23,2551
2024-05-22,2625
2024-05-21,2645
2024-05-20,2568
2024-05-17,2544
2024-05-16,2538.5
2024-05-15,2529.5
2024-05-14,2477.5
2024-05-13,2510
2024-05-10,2515
2024-05-09,2494
2024-05-08,2488
2024-05-07,2512.5
2024-05-03,2517
2024-05-02,2510
2024-05-01,2554.5
2024-04-30,2545
2024-04-29,2536.5
2024-04-26,2559.5
2024-04-25,2586.5
2024-04-24,2585.5
2024-04-23,2585
2024-04-22,2654
2024-04-19,2645.5
2024-04-18,2600
2024-04-17,2581
2024-04-16,2512
2024-04-15,2520.5
2024-04-12,2443
2024-04-11,2410.5
2024-04-10,2429
2024-04-09,2403
2024-04-08,2417
2024-04-05,2391
2024-04-04,2394.5
2024-04-03,2334
2024-04-02,2322.5
2024-03-28,2270
2024-03-27,2238
2024-03-26,2275.5
2024-03-25,2267.5
2024-03-22,2246.5
2024-03-21,2264
2024-03-20,2231.5
2024-03-19,2202.5
2024-03-18,2224.5
2024-03-15,2218.5
2024-03-14,2205
2024-03-13,2224
2024-03-12,2213.5
2024-03-11,2202
2024-03-08,2209
2024-03-07,2210
2024-03-06,2187.5
2024-03-05,2191.5
2024-03-04,2182.5
2024-03-01,2183.5
2024-02-29,2163
2024-02-28,2130
2024-02-27,2146
2024-02-26,2140.5
2024-02-23,2157
2024-02-22,2178.5
2024-02-21,2211.5
2024-02-20,2147.5
2024-02-19,2185
2024-02-16,2203
2024-02-15,2205
2024-02-14,2194
2024-02-13,2204
2024-02-12,2188
2024-02-09,2180.5
2024-02-08,2214.5
2024-02-07,2195.5
2024-02-06,2184.5
