Date;Alumnim $/ton
02/01/2019;1858,000
03/01/2019;1825,500
04/01/2019;1879,000
07/01/2019;1858,000
08/01/2019;1837,000
09/01/2019;1842,000
10/01/2019;1844,000
11/01/2019;1816,000
14/01/2019;1775,500
15/01/2019;1810,500
16/01/2019;1839,500
17/01/2019;1804,000
18/01/2019;1851,000
21/01/2019;1842,500
22/01/2019;1867,500
23/01/2019;1877,500
24/01/2019;1851,000
25/01/2019;1866,500
28/01/2019;1860,000
29/01/2019;1853,000
30/01/2019;1871,000
31/01/2019;1880,500
01/02/2019;1872,500
04/02/2019;1840,000
05/02/2019;1896,500
06/02/2019;1886,500
07/02/2019;1862,500
08/02/2019;1865,000
11/02/2019;1848,000
12/02/2019;1840,500
13/02/2019;1840,000
14/02/2019;1829,000
15/02/2019;1828,500
18/02/2019;1822,500
19/02/2019;1833,500
20/02/2019;1829,500
21/02/2019;1858,500
22/02/2019;1890,500
25/02/2019;1886,000
26/02/2019;1870,000
27/02/2019;1898,500
28/02/2019;1893,000
01/03/2019;1890,500
04/03/2019;1859,500
05/03/2019;1868,500
06/03/2019;1846,000
07/03/2019;1841,000
08/03/2019;1848,000
11/03/2019;1830,000
12/03/2019;1851,000
13/03/2019;1873,000
14/03/2019;1873,500
15/03/2019;1868,000
18/03/2019;1879,000
19/03/2019;1907,500
20/03/2019;1923,000
21/03/2019;1891,000
22/03/2019;1867,000
25/03/2019;1856,000
26/03/2019;1849,500
27/03/2019;1898,500
28/03/2019;1896,500
29/03/2019;1900,000
01/04/2019;1888,000
02/04/2019;1858,000
03/04/2019;1865,000
04/04/2019;1872,000
05/04/2019;1864,000
08/04/2019;1858,500
09/04/2019;1851,000
10/04/2019;1852,000
11/04/2019;1847,500
12/04/2019;1843,500
15/04/2019;1843,500
16/04/2019;1839,000
17/04/2019;1840,500
18/04/2019;1839,000
23/04/2019;1855,000
24/04/2019;1854,000
25/04/2019;1852,000
26/04/2019;1832,000
29/04/2019;1816,000
30/04/2019;1809,000
01/05/2019;1775,500
02/05/2019;1800,500
03/05/2019;1783,500
07/05/2019;1767,000
08/05/2019;1761,000
09/05/2019;1766,500
10/05/2019;1765,000
13/05/2019;1765,500
14/05/2019;1792,000
15/05/2019;1802,000
16/05/2019;1832,000
17/05/2019;1805,000
20/05/2019;1786,000
21/05/2019;1766,000
22/05/2019;1747,000
23/05/2019;1740,000
24/05/2019;1761,500
28/05/2019;1773,000
29/05/2019;1770,000
30/05/2019;1762,000
31/05/2019;1761,000
03/06/2019;1763,500
04/06/2019;1751,500
05/06/2019;1766,000
06/06/2019;1742,500
07/06/2019;1733,000
10/06/2019;1720,500
11/06/2019;1754,500
12/06/2019;1753,500
13/06/2019;1756,000
14/06/2019;1737,500
17/06/2019;1719,500
18/06/2019;1733,000
19/06/2019;1746,500
20/06/2019;1778,000
21/06/2019;1743,500
24/06/2019;1747,500
25/06/2019;1776,500
26/06/2019;1803,000
27/06/2019;1782,000
28/06/2019;1773,500
01/07/2019;1778,000
02/07/2019;1755,500
03/07/2019;1754,500
04/07/2019;1771,500
05/07/2019;1779,500
08/07/2019;1783,000
09/07/2019;1783,000
10/07/2019;1811,500
11/07/2019;1807,000
12/07/2019;1799,500
15/07/2019;1810,000
16/07/2019;1818,000
17/07/2019;1819,000
18/07/2019;1827,500
19/07/2019;1833,000
22/07/2019;1808,000
23/07/2019;1795,000
24/07/2019;1795,500
25/07/2019;1795,500
26/07/2019;1795,500
29/07/2019;1774,500
30/07/2019;1781,500
31/07/2019;1776,500
01/08/2019;1739,500
02/08/2019;1740,500
05/08/2019;1728,000
06/08/2019;1737,500
07/08/2019;1746,000
08/08/2019;1743,000
09/08/2019;1731,000
12/08/2019;1741,000
13/08/2019;1742,500
14/08/2019;1755,500
15/08/2019;1762,500
16/08/2019;1756,500
19/08/2019;1751,000
20/08/2019;1739,000
21/08/2019;1746,000
22/08/2019;
23/08/2019;1744,000
26/08/2019;1724,000
27/08/2019;1713,500
28/08/2019;1712,500
29/08/2019;
30/08/2019;
02/09/2019;1716,500
03/09/2019;1714,500
04/09/2019;1734,500
05/09/2019;1754,500
06/09/2019;1761,500
09/09/2019;1769,000
10/09/2019;1776,000
11/09/2019;1792,500
12/09/2019;1774,000
13/09/2019;1768,000
16/09/2019;1770,500
17/09/2019;1746,500
18/09/2019;1751,000
19/09/2019;1762,500
20/09/2019;1766,000
23/09/2019;1756,000
24/09/2019;1751,500
25/09/2019;1736,000
26/09/2019;1724,000
27/09/2019;1713,000
30/09/2019;1703,500
01/10/2019;1705,500
02/10/2019;1697,000
03/10/2019;1697,000
04/10/2019;1701,500
07/10/2019;1713,000
08/10/2019;1732,000
09/10/2019;1729,000
10/10/2019;1738,000
11/10/2019;1721,000
14/10/2019;1704,500
15/10/2019;1702,000
16/10/2019;1703,500
17/10/2019;1726,000
18/10/2019;1729,000
21/10/2019;1735,500
22/10/2019;1707,500
23/10/2019;1712,000
24/10/2019;1715,000
25/10/2019;1710,500
28/10/2019;1727,000
29/10/2019;1737,500
30/10/2019;1746,500
31/10/2019;1742,500
01/11/2019;1766,000
04/11/2019;1787,000
05/11/2019;1813,500
06/11/2019;1817,500
07/11/2019;1817,500
08/11/2019;1827,500
11/11/2019;1805,000
12/11/2019;1765,500
13/11/2019;1768,000
14/11/2019;1756,000
15/11/2019;1741,000
18/11/2019;1744,000
19/11/2019;1734,500
20/11/2019;1748,000
21/11/2019;1753,000
22/11/2019;1750,000
25/11/2019;1753,000
26/11/2019;1750,500
27/11/2019;1775,500
28/11/2019;1765,000
29/11/2019;1785,500
02/12/2019;1789,500
03/12/2019;1802,000
04/12/2019;1771,000
05/12/2019;1756,000
06/12/2019;1750,500
09/12/2019;1766,000
10/12/2019;1750,000
11/12/2019;1751,500
12/12/2019;1755,000
13/12/2019;1763,500
16/12/2019;1763,000
17/12/2019;1754,000
18/12/2019;1758,000
19/12/2019;1765,500
20/12/2019;1770,500
23/12/2019;1771,500
24/12/2019;1790,500
27/12/2019;1789,000
31/12/2019;1800,000
02/01/2020;1772,000
03/01/2020;1758,000
06/01/2020;1791,000
07/01/2020;1794,000
08/01/2020;1771,500
09/01/2020;1771,000
10/01/2020;1771,500
13/01/2020;1766,500
14/01/2020;1767,500
15/01/2020;1778,500
16/01/2020;1794,000
17/01/2020;1796,000
20/01/2020;1807,000
21/01/2020;1810,500
22/01/2020;1807,500
23/01/2020;1781,500
24/01/2020;1775,500
27/01/2020;1755,500
28/01/2020;1744,500
29/01/2020;1732,500
30/01/2020;1722,500
31/01/2020;1709,500
03/02/2020;1694,500
04/02/2020;1687,000
05/02/2020;1688,000
06/02/2020;1698,000
07/02/2020;1693,500
10/02/2020;1676,000
11/02/2020;1689,500
12/02/2020;1707,000
13/02/2020;1701,500
14/02/2020;1704,500
17/02/2020;1678,500
18/02/2020;1681,000
19/02/2020;1686,000
20/02/2020;1687,000
21/02/2020;1677,000
24/02/2020;1672,500
25/02/2020;1685,000
26/02/2020;1676,500
27/02/2020;1671,000
28/02/2020;1663,000
02/03/2020;1684,500
03/03/2020;1706,000
04/03/2020;1723,000
05/03/2020;1715,000
06/03/2020;1687,000
09/03/2020;1643,500
10/03/2020;1689,000
11/03/2020;1670,500
12/03/2020;1643,000
13/03/2020;1677,000
16/03/2020;1640,500
17/03/2020;1628,000
18/03/2020;1602,500
19/03/2020;1581,000
20/03/2020;1580,500
23/03/2020;1536,000
24/03/2020;1532,500
25/03/2020;1507,500
26/03/2020;1507,500
27/03/2020;1506,000
30/03/2020;1495,000
31/03/2020;1489,000
01/04/2020;1463,500
02/04/2020;1448,500
03/04/2020;1452,000
06/04/2020;1424,500
07/04/2020;1455,500
08/04/2020;1421,500
09/04/2020;1428,500
14/04/2020;1456,000
15/04/2020;1469,500
16/04/2020;1476,000
17/04/2020;1482,500
20/04/2020;1451,500
21/04/2020;1443,500
22/04/2020;1461,500
23/04/2020;1473,500
24/04/2020;1473,000
27/04/2020;1472,500
28/04/2020;1465,000
29/04/2020;1464,000
30/04/2020;1460,500
01/05/2020;1440,000
04/05/2020;1437,000
05/05/2020;1438,500
06/05/2020;1443,000
07/05/2020;1450,000
11/05/2020;1454,500
12/05/2020;1443,000
13/05/2020;1439,000
14/05/2020;1433,500
15/05/2020;1432,500
18/05/2020;1441,500
19/05/2020;1464,000
20/05/2020;1454,000
21/05/2020;1487,000
22/05/2020;1473,000
26/05/2020;1486,000
27/05/2020;1504,000
28/05/2020;1500,500
29/05/2020;1515,000
01/06/2020;1511,500
02/06/2020;1499,500
03/06/2020;1526,000
04/06/2020;1535,000
05/06/2020;1553,500
08/06/2020;1569,500
09/06/2020;1565,500
10/06/2020;1613,500
11/06/2020;1582,000
12/06/2020;1560,000
15/06/2020;1546,000
16/06/2020;1573,500
17/06/2020;1577,500
18/06/2020;1586,500
19/06/2020;1578,000
22/06/2020;1573,000
23/06/2020;1577,500
24/06/2020;1564,000
25/06/2020;1543,500
26/06/2020;1582,000
29/06/2020;1589,000
30/06/2020;1602,000
01/07/2020;1593,500
02/07/2020;1601,500
03/07/2020;1581,500
06/07/2020;1593,000
07/07/2020;1596,500
08/07/2020;1619,000
09/07/2020;1659,500
10/07/2020;1639,500
13/07/2020;1664,500
14/07/2020;1640,000
15/07/2020;1651,000
16/07/2020;1627,000
17/07/2020;1618,000
20/07/2020;1621,000
21/07/2020;1646,500
22/07/2020;1651,000
23/07/2020;1661,000
24/07/2020;1654,500
27/07/2020;1661,500
28/07/2020;1671,000
29/07/2020;1687,000
30/07/2020;1681,500
31/07/2020;1685,500
03/08/2020;1679,500
04/08/2020;1709,500
05/08/2020;1739,000
06/08/2020;1722,000
07/08/2020;1744,000
11/08/2020;1749,500
12/08/2020;1754,000
13/08/2020;1738,000
