"Date.LME","Copper.Ask.LME","Date.Actual.PMI","Actual.PMI","Date.Gold.","Price.Gold","Date.Shmet","COPPER.Price..SHMET","Date.oil","Price.Oil","DATECompex","COMEX"
2024-03-11,8522,2024-03-30,47,"11/3/2024",2188.6,2024-03-11,69300,2024-03-04,79.67,2022-03-04,4.929
2024-03-08,8552.5,2024-03-29,47,"10/3/2024",2188.3,2024-03-08,69600,2024-03-01,80.9,2022-04-18,4.796
2024-03-07,8559,2024-03-28,47,"8/3/2024",2185.5,2024-03-07,69190,2024-02-29,79.22,2022-04-05,4.791
2024-03-06,8441,2024-03-27,47,"7/3/2024",2165.2,2024-03-06,68775,2024-02-28,79.44,2021-05-11,4.779
2024-03-05,8429.5,2024-03-26,47,"6/3/2024",2158.2,2024-03-05,68910,2024-02-27,79.8,2022-04-04,4.777
2024-03-04,8437,2024-03-25,47,"5/3/2024",2141.9,2024-03-04,68865,2024-02-26,78.53,2022-03-03,4.771
2024-03-01,8394,2024-03-24,47,"4/3/2024",2126.3,2024-03-01,68800,2024-02-23,77.6,2021-05-07,4.766
2024-02-29,8389,2024-03-23,47,"1/3/2024",2095.7,2024-02-29,68710,2024-02-22,79.64,2022-03-23,4.763
2024-02-28,8340.5,2024-03-22,47,"02/29/2024",2054.7,2024-02-28,68725,2024-02-21,78.89,2021-10-20,4.756
2024-02-27,8396.5,2024-03-21,47,"02/28/2024",2042.7,2024-02-27,68720,2024-02-20,78.72,2021-05-12,4.753
2024-02-26,8373,2024-03-20,46.1,"02/27/2024",2034.4,2024-02-26,69020,2024-02-19,NA,2021-04-27,4.743
2024-02-23,8442.5,2024-03-19,46.1,"02/26/2024",2029.1,2024-02-23,69310,2024-02-16,79.65,2022-03-31,4.743
2024-02-22,8482,2024-03-18,46.1,"02/23/2024",2039.4,2024-02-22,68920,2024-02-15,78.47,2022-03-30,4.739
2024-02-21,8472,2024-03-17,46.1,"02/22/2024",2030.7,2024-02-21,68820,2024-02-14,77.09,2021-05-18,4.736
2024-02-20,8366.5,2024-03-16,46.1,"02/21/2024",2034.3,2024-02-20,68230,2024-02-13,78.28,2021-10-15,4.734
2024-02-19,8364.5,2024-03-15,46.1,"02/20/2024",2039.8,2024-02-19,68320,2024-02-12,77.34,2021-05-10,4.734
2024-02-16,8322,2024-03-14,46.1,"02/19/2024",2027.5,2024-02-08,67650,2024-02-09,77.26,2022-04-06,4.734
2024-02-15,8153,2024-03-13,46.1,"02/18/2024",2025.75,2024-02-07,67950,2024-02-08,76.67,2021-10-18,4.731
2024-02-14,8133.5,2024-03-12,46.1,"02/16/2024",2024.1,2024-02-06,67990,2024-02-07,74.26,2022-03-18,4.731
2024-02-13,8185,2024-03-11,46.1,"02/15/2024",2014.9,2024-02-05,68525,2024-02-06,73.83,2022-03-24,4.729
2024-02-12,8085.5,2024-03-10,46.1,"02/14/2024",2004.3,2024-02-02,68800,2024-02-05,73.21,2022-03-07,4.722
2024-02-09,8091.5,2024-03-09,46.1,"02/13/2024",2007.2,2024-02-01,69100,2024-02-02,72.72,2021-05-17,4.721
2024-02-08,8202,2024-03-08,46.1,"12/2/2024",2033,2024-01-31,69175,2024-02-01,74.36,2022-04-08,4.72
2024-02-07,8280.5,2024-03-07,46.1,"9/2/2024",2038.7,2024-01-30,68890,2024-01-31,76.28,2022-04-14,4.717
2024-02-06,8280,2024-03-06,46.1,"8/2/2024",2047.9,2024-01-29,68870,2024-01-30,78.3,2022-03-29,4.716
2024-02-05,8329,2024-03-05,46.1,"7/2/2024",2051.7,2024-01-26,68920,2024-01-29,77.25,2021-10-19,4.714
2024-02-02,8400,2024-03-04,46.1,"6/2/2024",2051.4,2024-01-25,68750,2024-01-26,78.45,2022-03-28,4.714
2024-02-01,8437,2024-03-03,46.1,"5/2/2024",2042.9,2024-01-24,68140,2024-01-25,77.91,2022-04-19,4.714
2024-01-31,8513,2024-03-02,46.1,"2/2/2024",2053.7,2024-01-23,67870,2024-01-24,75.48,2022-04-13,4.707
2024-01-30,8462,2024-03-01,46.1,"1/2/2024",2071.1,2024-01-22,68020,2024-01-23,74.72,2021-05-13,4.705
2024-01-29,8421,2024-02-29,47,"01/31/2024",2067.4,2024-01-19,67840,2024-01-22,75.26,2022-04-12,4.704
2024-01-26,8447,2024-02-28,47,"01/30/2024",2050.9,2024-01-18,67640,2024-01-19,73.69,2022-04-21,4.704
2024-01-25,8486,2024-02-27,47,"01/29/2024",2034.9,2024-01-17,67960,2024-01-18,74.32,2022-03-21,4.702
2024-01-24,8460,2024-02-26,47,"01/26/2024",2026.6,2024-01-16,68020,2024-01-17,72.79,2022-03-08,4.7
2024-01-23,8283.5,2024-02-25,47,"01/25/2024",2027.1,2024-01-15,68020,2024-01-16,72.63,2022-04-07,4.695
2024-01-22,8254.5,2024-02-24,47,"01/24/2024",2025.4,2024-01-12,68300,2024-01-15,NA,2022-03-17,4.691
2024-01-19,8275,2024-02-23,47,"01/23/2024",2035.2,2024-01-11,68170,2024-01-12,72.94,2022-03-22,4.689
2024-01-18,8189,2024-02-22,47,"01/22/2024",2031.5,2024-01-10,68110,2024-01-11,72.15,2022-03-25,4.686
2024-01-17,8230,2024-02-21,46.6,"01/19/2024",2038.5,2024-01-09,68640,2024-01-10,71.57,2021-05-28,4.683
2024-01-16,8280,2024-02-20,46.6,"01/18/2024",2031.1,2024-01-08,68425,2024-01-09,72.43,2022-04-01,4.683
2024-01-15,8238.5,2024-02-19,46.6,"01/17/2024",2015.9,2024-01-05,68820,2024-01-08,71.06,2021-05-27,4.667
2024-01-12,8289,2024-02-18,46.6,"01/16/2024",2039.7,2024-01-04,68780,2024-01-05,74,2021-05-14,4.664
2024-01-11,8332,2024-02-17,46.6,"01/15/2024",2057.85,2024-01-03,68900,2024-01-04,72.38,2021-06-01,4.662
2024-01-10,8285,2024-02-16,46.6,"01/14/2024",2051.35,2024-01-02,69150,2024-01-03,72.97,2022-02-10,4.657
2024-01-09,8301.5,2024-02-15,46.6,"12/1/2024",2061.1,2023-12-29,69225,2024-01-02,70.62,2022-03-02,4.655
2024-01-08,8295,2024-02-14,46.6,"11/1/2024",2028.9,2023-12-28,69725,2023-12-29,71.89,2022-04-20,4.649
2024-01-05,8346.5,2024-02-13,46.6,"10/1/2024",2037.5,2023-12-27,69250,2023-12-28,72.02,2022-03-10,4.644
2024-01-04,8375,2024-02-12,46.6,"9/1/2024",2033,2023-12-26,69120,2023-12-27,74.31,2021-10-14,4.631
2024-01-03,8381,2024-02-11,46.6,"8/1/2024",2033.5,2023-12-25,69150,2023-12-26,75.84,2022-04-11,4.628
2024-01-02,8430,2024-02-10,46.6,"5/1/2024",2049.8,2023-12-22,69400,2023-12-22,73.29,2011-02-14,4.623
2023-12-29,8476,2024-02-09,46.6,"4/1/2024",2050,2023-12-21,69140,2023-12-21,73.59,2021-05-06,4.619
2023-12-28,8530,2024-02-08,46.6,"3/1/2024",2042.8,2023-12-20,69270,2023-12-20,73.87,2022-03-11,4.616
2023-12-27,8511.5,2024-02-07,46.6,"2/1/2024",2073.4,2023-12-19,68725,2023-12-19,73.23,2022-02-09,4.601
2023-12-22,8499,2024-02-06,46.6,"1/1/2024",2072.9,2023-12-18,68750,2023-12-18,72.16,2021-06-02,4.6
2023-12-21,8460,2024-02-05,46.6,"12/29/2023",2071.8,2023-12-15,69000,2023-12-15,71.05,2021-05-19,4.59
2023-12-20,8466.5,2024-02-04,46.6,"12/28/2023",2083.5,2023-12-14,68525,2023-12-14,71.21,2021-07-26,4.589
2023-12-19,8439,2024-02-03,46.6,"12/27/2023",2083.4,2023-12-13,68315,2023-12-13,69.09,2022-03-16,4.588
2023-12-18,8423,2024-02-02,46.6,"12/26/2023",2060.4,2023-12-12,68375,2023-12-12,68.27,2021-10-21,4.587
2023-12-15,8471,2024-02-01,46.6,"12/25/2023",2066.65,2023-12-11,68750,2023-12-11,70.95,2022-03-01,4.587
2023-12-14,8461.5,2024-01-31,44.8,"12/22/2023",2059.6,2023-12-08,68540,2023-12-08,70.87,2022-04-22,4.582
2023-12-13,8205,2024-01-30,44.8,"12/21/2023",2041.8,2023-12-07,68180,2023-12-07,69,2021-05-20,4.582
2023-12-12,8272,2024-01-29,44.8,"12/20/2023",2038.1,2023-12-06,68670,2023-12-06,68.98,2022-01-20,4.577
2023-12-11,8275.5,2024-01-28,44.8,"12/19/2023",2042.6,2023-12-05,68950,2023-12-05,71.95,2011-02-04,4.571
2023-12-08,8348,2024-01-27,44.8,"12/18/2023",2030.9,2023-12-04,69700,2023-12-04,72.73,2011-02-08,4.568
2023-12-07,8221,2024-01-26,44.8,"12/15/2023",2026,2023-12-01,69475,2023-12-01,73.7,2011-02-07,4.567
2023-12-06,8297,2024-01-25,44.8,"12/14/2023",2035.2,2023-11-30,68870,2023-11-30,75.66,2022-01-12,4.564
2023-12-05,8259,2024-01-24,44.8,"12/13/2023",1988.1,2023-11-29,68750,2023-11-29,77.56,2022-03-09,4.564
2023-12-04,8417,2024-01-23,44.2,"12/12/2023",1983.9,2023-11-28,68480,2023-11-28,76.09,2021-06-08,4.563
2023-12-01,8456,2024-01-22,44.2,"11/12/2023",1993.7,2023-11-27,68780,2023-11-27,74.46,2022-06-02,4.554
2023-11-30,8332,2024-01-21,44.2,"8/12/2023",2014.5,2023-11-24,68675,2023-11-24,74.83,2021-10-25,4.551
2023-11-29,8384,2024-01-20,44.2,"7/12/2023",2046.4,2023-11-23,68440,2023-11-23,NA,2021-07-27,4.546
2023-11-28,8278,2024-01-19,44.2,"6/12/2023",2047.9,2023-11-22,68500,2023-11-22,76.8,2021-05-03,4.543
2023-11-27,8281,2024-01-18,44.2,"5/12/2023",2036.3,2023-11-21,68970,2023-11-21,78.35,2021-05-24,4.542
2023-11-24,8300,2024-01-17,44.2,"4/12/2023",2042.2,2023-11-20,68665,2023-11-20,78.1,2021-06-11,4.542
2023-11-23,8307.5,2024-01-16,44.2,"1/12/2023",2089.7,2023-11-17,68350,2023-11-17,76.47,2022-02-16,4.54
2023-11-22,8296,2024-01-15,44.2,"11/30/2023",2057.2,2023-11-16,68300,2023-11-16,73.5,2011-02-01,4.54
2023-11-21,8324,2024-01-14,44.2,"11/29/2023",2067.1,2023-11-15,68100,2023-11-15,77.15,2021-05-05,4.539
2023-11-20,8247,2024-01-13,44.2,"11/28/2023",2050.5,2023-11-14,67870,2023-11-14,78.9,2021-06-04,4.537
2023-11-17,8141,2024-01-12,44.2,"11/27/2023",2023.1,2023-11-13,67425,2023-11-13,78.86,2011-02-10,4.537
2023-11-16,8165.5,2024-01-11,44.2,"11/24/2023",2013.7,2023-11-10,67675,2023-11-10,NA,2021-04-28,4.537
2023-11-15,8169,2024-01-10,44.2,"11/23/2023",1994.75,2023-11-09,67750,2023-11-09,76.34,2021-06-09,4.537
2023-11-14,8081,2024-01-09,44.2,"11/22/2023",2003.4,2023-11-08,67930,2023-11-08,75.85,2021-05-04,4.536
2023-11-13,8014.5,2024-01-08,44.2,"11/21/2023",2012,2023-11-07,68025,2023-11-07,77.96,2011-02-03,4.535
2023-11-10,8006,2024-01-07,44.2,"11/20/2023",1990.7,2023-11-06,67810,2023-11-06,81.54,2021-06-07,4.535
2023-11-09,8030.5,2024-01-06,44.2,"11/17/2023",1984.7,2023-11-03,68025,2023-11-03,81.19,2011-02-02,4.534
2023-11-08,8088,2024-01-05,44.2,"11/16/2023",1987.3,2023-11-02,67780,2023-11-02,83.04,2022-01-13,4.534
2023-11-07,8068,2024-01-04,44.2,"11/15/2023",1964.3,2023-11-01,67675,2023-11-01,81.05,2021-05-26,4.533
2023-11-06,8136.5,2024-01-03,44.2,"11/14/2023",1966.5,2023-10-31,67680,2023-10-31,81.64,2021-06-14,4.532
2023-11-03,8070.5,2024-01-02,44.2,"11/13/2023",1950.2,2023-10-30,67730,2023-10-30,83.03,2022-02-15,4.532
2023-11-02,8066,2024-01-01,44.6,"10/11/2023",1937.7,2023-10-27,66860,2023-10-27,86.04,2011-02-15,4.531
2023-11-01,8041,2023-12-31,44.6,"9/11/2023",1969.8,2023-10-26,66875,2023-10-26,83.8,2011-02-11,4.531
2023-10-31,8038,2023-12-30,44.6,"8/11/2023",1957.8,2023-10-25,67275,2023-10-25,86.07,2021-10-22,4.526
2023-10-30,8110,2023-12-29,44.6,"7/11/2023",1973.5,2023-10-24,66550,2023-10-24,84.58,2022-02-17,4.525
2023-10-27,7963.5,2023-12-28,44.6,"6/11/2023",1988.6,2023-10-23,66035,2023-10-23,85.49,2021-05-25,4.522
2023-10-26,7939,2023-12-27,44.6,"3/11/2023",1999.2,2023-10-20,66625,2023-10-20,89.12,2021-10-13,4.521
2023-10-25,7946,2023-12-26,44.6,"2/11/2023",1993.5,2023-10-19,66550,2023-10-19,89.35,2021-07-29,4.52
2023-10-24,7900.5,2023-12-25,44.6,"1/11/2023",1987.5,2023-10-18,66675,2023-10-18,88.35,2011-02-09,4.519
2023-10-23,7824.5,2023-12-24,44.6,"10/31/2023",1994.3,2023-10-17,66200,2023-10-17,86.66,2022-02-18,4.519
2023-10-20,7876,2023-12-23,44.6,"10/30/2023",2005.6,2023-10-16,66420,2023-10-16,86.65,2022-01-21,4.513
2023-10-19,7938,2023-12-22,44.6,"10/27/2023",1989,2023-10-13,66350,2023-10-13,87.67,2022-03-14,4.513
2023-10-18,7947.5,2023-12-21,44.6,"10/26/2023",1987.9,2023-10-12,66725,2023-10-12,82.87,2022-02-22,4.51
2023-10-17,7846.5,2023-12-20,44.6,"10/25/2023",1985.5,2023-10-11,66880,2023-10-11,83.7,2022-02-14,4.508
2023-10-16,7920,2023-12-19,44.6,"10/24/2023",1976.8,2023-10-10,67130,2023-10-10,85.89,2022-02-11,4.505
2023-10-13,7891,2023-12-18,44.6,"10/23/2023",1978.2,2023-10-09,67550,2023-10-09,NA,2022-01-26,4.505
2023-10-12,7995,2023-12-17,44.6,"10/20/2023",1994.4,2023-09-28,67440,2023-10-06,82.83,2022-03-15,4.502
2023-10-11,7943.5,2023-12-16,44.6,"10/19/2023",1980.5,2023-09-27,67450,2023-10-05,82.3,2021-05-21,4.496
2023-10-10,7907.5,2023-12-15,44.6,"10/18/2023",1968.3,2023-09-26,67990,2023-10-04,84.32,2011-04-08,4.495
2023-10-09,8015.5,2023-12-14,43.8,"10/17/2023",1935.7,2023-09-25,68200,2023-10-03,89.26,2021-04-29,4.493
2023-10-06,7887,2023-12-13,43.8,"10/16/2023",1934.3,2023-09-22,68210,2023-10-02,88.81,2022-02-02,4.491
2023-10-05,7812.5,2023-12-12,43.8,"10/13/2023",1941.5,2023-09-21,68720,2023-09-29,90.77,2011-03-01,4.49
2023-10-04,7910.5,2023-12-11,43.8,"12/10/2023",1883,2023-09-20,68850,2023-09-28,91.65,2021-06-10,4.49
2023-10-03,7960,2023-12-10,43.8,"11/10/2023",1887.3,2023-09-19,68970,2023-09-27,93.67,2021-10-26,4.487
2023-10-02,8100.5,2023-12-09,43.8,"10/10/2023",1875.3,2023-09-18,69450,2023-09-26,91.43,2022-02-04,4.484
2023-09-29,8230.5,2023-12-08,43.8,"9/10/2023",1864.3,2023-09-15,69875,2023-09-25,89.68,2022-02-23,4.481
2023-09-28,8112,2023-12-07,43.8,"6/10/2023",1845.2,2023-09-14,69390,2023-09-22,90,2021-07-30,4.481
2023-09-27,8017,2023-12-06,43.8,"5/10/2023",1831.8,2023-09-13,69370,2023-09-21,89.56,2011-02-17,4.48
2023-09-26,8066,2023-12-05,43.8,"4/10/2023",1834.8,2023-09-12,69550,2023-09-20,89.2,2011-03-02,4.48
2023-09-25,8107,2023-12-04,43.8,"3/10/2023",1841.5,2023-09-11,69060,2023-09-19,91.16,2021-04-30,4.479
2023-09-22,8188,2023-12-03,43.8,"2/10/2023",1847.2,2023-09-08,69150,2023-09-18,91.47,2021-07-28,4.479
2023-09-21,8101,2023-12-02,43.8,"09/29/2023",1866.1,2023-09-07,69510,2023-09-15,90.83,2011-02-18,4.479
2023-09-20,8277,2023-12-01,43.8,"09/28/2023",1878.6,2023-09-06,69850,2023-09-14,90.13,2011-02-28,4.478
2023-09-19,8233.5,2023-11-30,43.4,"09/27/2023",1890.9,2023-09-05,69850,2023-09-13,88.59,2022-06-03,4.478
2023-09-18,8320,2023-11-29,43.4,"09/26/2023",1919.8,2023-09-04,70250,2023-09-12,88.87,2011-03-03,4.475
2023-09-15,8376.5,2023-11-28,43.4,"09/25/2023",1936.6,2023-09-01,70175,2023-09-11,87.3,2011-07-26,4.474
2023-09-14,8423,2023-11-27,43.4,"09/22/2023",1945.6,2023-08-31,70075,2023-09-08,87.51,2011-07-29,4.474
2023-09-13,8353,2023-11-26,43.4,"09/21/2023",1939.6,2023-08-30,69880,2023-09-07,86.87,2022-02-25,4.472
2023-09-12,8337.5,2023-11-25,43.4,"09/20/2023",1967.1,2023-08-29,69525,2023-09-06,87.55,2011-03-04,4.472
2023-09-11,8332.5,2023-11-24,43.4,"09/19/2023",1953.7,2023-08-28,69530,2023-09-05,86.74,2021-06-03,4.471
2023-09-08,8225,2023-11-23,43.4,"09/18/2023",1953.4,2023-08-25,69300,2023-09-04,NA,2022-02-03,4.466
2023-09-07,8242.5,2023-11-22,43,"09/15/2023",1946.2,2023-08-24,69700,2023-09-01,85.52,2011-02-16,4.466
2023-09-06,8395,2023-11-21,43,"09/14/2023",1932.8,2023-08-23,69410,2023-08-31,83.55,2022-01-04,4.466
2023-09-05,8430,2023-11-20,43,"09/13/2023",1932.5,2023-08-22,68810,2023-08-30,81.64,2021-12-27,4.465
2023-09-04,8406,2023-11-19,43,"12/9/2023",1935.1,2023-08-21,68925,2023-08-29,81.14,2011-07-28,4.465
2023-09-01,8515,2023-11-18,43,"11/9/2023",1947.2,2023-08-18,68840,2023-08-28,80.65,2022-01-19,4.463
2023-08-31,8359.5,2023-11-17,43,"8/9/2023",1942.7,2023-08-17,68260,2023-08-25,80.47,2022-02-07,4.462
2023-08-30,8394.5,2023-11-16,43,"7/9/2023",1942.5,2023-08-16,68270,2023-08-24,79.52,2011-07-19,4.46
2023-08-29,8375,2023-11-15,43,"6/9/2023",1944.2,2023-08-15,68590,2023-08-23,78.91,2022-02-08,4.46
2023-08-25,8381.5,2023-11-14,43,"5/9/2023",1952.6,2023-08-14,68190,2023-08-22,80.25,2022-06-08,4.458
2023-08-24,8358.5,2023-11-13,43,"4/9/2023",1963.25,2023-08-11,68690,2023-08-21,80.71,2021-11-24,4.458
2023-08-23,8377.5,2023-11-12,43,"3/9/2023",1966.65,2023-08-10,68740,2023-08-18,81.25,2021-11-12,4.455
2023-08-22,8342,2023-11-11,43,"1/9/2023",1967.1,2023-08-09,68710,2023-08-17,80.43,2021-12-31,4.455
2023-08-21,8239.5,2023-11-10,43,"08/31/2023",1965.9,2023-08-08,69130,2023-08-16,79.4,2022-04-27,4.455
2023-08-18,8176,2023-11-09,43,"08/30/2023",1973,2023-08-07,69290,2023-08-15,81.06,2022-02-24,4.454
2023-08-17,8215,2023-11-08,43,"08/29/2023",1965.1,2023-08-04,69875,2023-08-14,82.5,2011-04-11,4.454
2023-08-16,8132,2023-11-07,43,"08/28/2023",1946.8,2023-08-03,69425,2023-08-11,83.17,2011-01-03,4.451
2023-08-15,8126.5,2023-11-06,43,"08/25/2023",1939.9,2023-08-02,69990,2023-08-10,82.81,2011-01-31,4.451
2023-08-14,8242,2023-11-05,43,"08/24/2023",1947.1,2023-08-01,70925,2023-08-09,84.35,2022-04-25,4.449
2023-08-11,8242,2023-11-04,43,"08/23/2023",1948.1,2023-07-31,69830,2023-08-08,82.94,2021-04-26,4.448
2023-08-10,8423.5,2023-11-03,43,"08/22/2023",1926,2023-07-28,68950,2023-08-07,81.94,2021-09-10,4.448
2023-08-09,8395,2023-11-02,43,"08/21/2023",1923,2023-07-27,69460,2023-08-04,82.76,2022-02-28,4.444
2023-08-08,8276,2023-11-01,43.7,"08/18/2023",1916.5,2023-07-26,69200,2023-08-03,81.56,2022-01-25,4.443
2023-08-07,8495,2023-10-31,43.7,"08/17/2023",1915.2,2023-07-25,68980,2023-08-02,79.5,2011-07-27,4.441
2023-08-04,8450.5,2023-10-30,43.7,"08/16/2023",1928.3,2023-07-24,68520,2023-08-01,81.37,2022-04-26,4.44
2023-08-03,8472,2023-10-29,43.7,"08/15/2023",1935.2,2023-07-21,68670,2023-07-31,81.8,2010-12-31,4.439
2023-08-02,8545,2023-10-28,43.7,"08/14/2023",1944,2023-07-20,68650,2023-07-28,80.55,2022-06-06,4.439
2023-08-01,8720.5,2023-10-27,43.7,"11/8/2023",1946.6,2023-07-19,68580,2023-07-27,80.17,2022-06-07,4.439
2023-07-31,8635.5,2023-10-26,43.7,"10/8/2023",1948.9,2023-07-18,68750,2023-07-26,79.11,2021-10-28,4.438
2023-07-28,8592,2023-10-25,43.7,"9/8/2023",1950.6,2023-07-17,69320,2023-07-25,79.76,2011-02-25,4.436
2023-07-27,8578.5,2023-10-24,43.7,"8/8/2023",1959.9,2023-07-14,69825,2023-07-24,78.81,2021-08-02,4.432
2023-07-26,8534,2023-10-23,43.4,"7/8/2023",1970,2023-07-13,68760,2023-07-21,77.06,2011-07-07,4.432
2023-07-25,8597,2023-10-22,43.4,"4/8/2023",1976.1,2023-07-12,68040,2023-07-20,75.65,2022-02-01,4.429
2023-07-24,8430,2023-10-21,43.4,"3/8/2023",1968.8,2023-07-11,68370,2023-07-19,75.4,2011-07-20,4.429
2023-07-21,8422,2023-10-20,43.4,"2/8/2023",1975,2023-07-10,68240,2023-07-18,75.76,2021-11-23,4.423
2023-07-20,8543,2023-10-19,43.4,"1/8/2023",1978.8,2023-07-07,68150,2023-07-17,74.17,2022-01-11,4.42
2023-07-19,8354,2023-10-18,43.4,"07/31/2023",2009.2,2023-07-06,68300,2023-07-14,75.44,2021-12-28,4.42
2023-07-18,8410,2023-10-17,43.4,"07/28/2023",1999.9,2023-07-05,68500,2023-07-13,76.86,2011-01-18,4.418
2023-07-17,8460.5,2023-10-16,43.4,"07/27/2023",1965.3,2023-07-04,68775,2023-07-12,75.77,2011-03-23,4.418
2023-07-14,8651,2023-10-15,43.4,"07/26/2023",1989.7,2023-07-03,69200,2023-07-11,74.87,2022-01-03,4.415
2023-07-13,8585,2023-10-14,43.4,"07/25/2023",1983.1,2023-06-30,68000,2023-07-10,73.05,2011-03-24,4.414
2023-07-12,8367,2023-10-13,43.4,"07/24/2023",1981.6,2023-06-29,68025,2023-07-07,73.91,2022-04-28,4.413
2023-07-11,8371,2023-10-12,43.4,"07/21/2023",1966.6,2023-06-28,68300,2023-07-06,71.76,2022-01-27,4.413
2023-07-10,8286,2023-10-11,43.4,"07/20/2023",1970.9,2023-06-27,68660,2023-07-05,71.78,2022-01-14,4.412
2023-07-07,8299,2023-10-10,43.4,"07/19/2023",1980.8,2023-06-26,69000,2023-07-04,NA,2011-04-07,4.409
2023-07-06,8280,2023-10-09,43.4,"07/18/2023",1980.8,2023-06-21,69650,2023-07-03,69.71,2011-03-25,4.409
2023-07-05,8251,2023-10-08,43.4,"07/17/2023",1956.4,2023-06-20,69100,2023-06-30,70.66,2021-11-19,4.409
2023-07-04,8349,2023-10-07,43.4,"07/14/2023",1964.4,2023-06-19,69070,2023-06-29,69.85,2021-11-15,4.407
