"date","copper_price","gold_price","oil_price"
2024-03-04,8437,2126.3,79.67
2024-03-01,8394,2095.7,80.9
2024-02-29,8389,2054.7,79.22
2024-02-28,8340.5,2042.7,79.44
2024-02-27,8396.5,2034.4,79.8
2024-02-26,8373,2029.1,78.53
2024-02-23,8442.5,2039.4,77.6
2024-02-22,8482,2030.7,79.64
2024-02-21,8472,2034.3,78.89
2024-02-20,8366.5,2039.8,78.72
2024-02-19,8364.5,2027.5,NA
2024-02-16,8322,2025.75,79.65
2024-02-15,8153,2024.1,78.47
2024-02-14,8133.5,2014.9,77.09
2024-02-13,8185,2004.3,78.28
2024-02-12,8085.5,2007.2,77.34
2024-02-09,8091.5,2033,77.26
2024-02-08,8202,2038.7,76.67
2024-02-07,8280.5,2047.9,74.26
2024-02-06,8280,2051.7,73.83
2024-02-05,8329,2051.4,73.21
2024-02-02,8400,2042.9,72.72
2024-02-01,8437,2053.7,74.36
2024-01-31,8513,2071.1,76.28
2024-01-30,8462,2067.4,78.3
2024-01-29,8421,2050.9,77.25
2024-01-26,8447,2034.9,78.45
2024-01-25,8486,2026.6,77.91
2024-01-24,8460,2027.1,75.48
2024-01-23,8283.5,2025.4,74.72
2024-01-22,8254.5,2035.2,75.26
2024-01-19,8275,2031.5,73.69
2024-01-18,8189,2038.5,74.32
2024-01-17,8230,2031.1,72.79
2024-01-16,8280,2015.9,72.63
2024-01-15,8238.5,2039.7,NA
2024-01-12,8289,2057.85,72.94
2024-01-11,8332,2051.35,72.15
2024-01-10,8285,2061.1,71.57
2024-01-09,8301.5,2028.9,72.43
2024-01-08,8295,2037.5,71.06
2024-01-05,8346.5,2033,74
2024-01-04,8375,2033.5,72.38
2024-01-03,8381,2049.8,72.97
2024-01-02,8430,2050,70.62
2023-12-29,8476,2042.8,71.89
2023-12-28,8530,2073.4,72.02
2023-12-27,8511.5,2072.9,74.31
2023-12-26,8499,2071.8,75.84
2023-12-22,8460,2083.5,73.29
2023-12-21,8466.5,2083.4,73.59
2023-12-20,8439,2060.4,73.87
2023-12-19,8423,2066.65,73.23
2023-12-18,8471,2059.6,72.16
2023-12-15,8461.5,2041.8,71.05
2023-12-14,8205,2038.1,71.21
2023-12-13,8272,2042.6,69.09
2023-12-12,8275.5,2030.9,68.27
2023-12-11,8348,2026,70.95
2023-12-08,8221,2035.2,70.87
2023-12-07,8297,1988.1,69
2023-12-06,8259,1983.9,68.98
2023-12-05,8417,1993.7,71.95
2023-12-04,8456,2014.5,72.73
2023-12-01,8332,2046.4,73.7
2023-11-30,8384,2047.9,75.66
2023-11-29,8278,2036.3,77.56
2023-11-28,8281,2042.2,76.09
2023-11-27,8300,2089.7,74.46
2023-11-24,8307.5,2057.2,74.83
2023-11-23,8296,2067.1,NA
2023-11-22,8324,2050.5,76.8
2023-11-21,8247,2023.1,78.35
2023-11-20,8141,2013.7,78.1
2023-11-17,8165.5,1994.75,76.47
2023-11-16,8169,2003.4,73.5
2023-11-15,8081,2012,77.15
2023-11-14,8014.5,1990.7,78.9
2023-11-13,8006,1984.7,78.86
2023-11-10,8030.5,1987.3,NA
2023-11-09,8088,1964.3,76.34
2023-11-08,8068,1966.5,75.85
2023-11-07,8136.5,1950.2,77.96
2023-11-06,8070.5,1937.7,81.54
2023-11-03,8066,1969.8,81.19
2023-11-02,8041,1957.8,83.04
2023-11-01,8038,1973.5,81.05
2023-10-31,8110,1988.6,81.64
2023-10-30,7963.5,1999.2,83.03
2023-10-27,7939,1993.5,86.04
2023-10-26,7946,1987.5,83.8
2023-10-25,7900.5,1994.3,86.07
2023-10-24,7824.5,2005.6,84.58
2023-10-23,7876,1989,85.49
2023-10-20,7938,1987.9,89.12
2023-10-19,7947.5,1985.5,89.35
2023-10-18,7846.5,1976.8,88.35
2023-10-17,7920,1978.2,86.66
2023-10-16,7891,1994.4,86.65
2023-10-13,7995,1980.5,87.67
2023-10-12,7943.5,1968.3,82.87
2023-10-11,7907.5,1935.7,83.7
2023-10-10,8015.5,1934.3,85.89
2023-10-09,7887,1941.5,NA
2023-10-06,7812.5,1883,82.83
2023-10-05,7910.5,1887.3,82.3
2023-10-04,7960,1875.3,84.32
