Dateoil,Cushing..OK.WTI.Spot.Price.FOB..Dollars.per.Barrel.,CopperSHMET
2017-01-03,52.36,45770
2017-01-04,53.26,45000
2017-01-05,53.77,45580
2017-01-06,53.98,45240
2017-01-09,51.95,45420
2017-01-10,50.82,45620
2017-01-11,52.19,46790
2017-01-12,53.01,46870
2017-01-13,52.36,47300
2017-01-16,52.405,47900
2017-01-17,52.45,47200
2017-01-18,51.12,46270
2017-01-19,51.39,46600
2017-01-20,52.33,46470
2017-01-23,52.77,46900
2017-01-24,52.38,46880
2017-01-25,52.14,47490
2017-01-26,53.24,47460
2017-01-27,53.18,47460
2017-01-30,52.63,47460
2017-01-31,52.75,47460
2017-02-01,53.9,47460
2017-02-02,53.55,47070
2017-02-03,53.81,46680
2017-02-06,53.01,46500
2017-02-07,52.19,46650
2017-02-08,52.37,47270
2017-02-09,52.99,47240
2017-02-10,53.84,46860
2017-02-13,52.96,49600
2017-02-14,53.21,49400
2017-02-15,53.11,48820
2017-02-16,53.41,49000
2017-02-17,53.41,48560
2017-02-20,53.715,48300
2017-02-21,54.02,48900
2017-02-22,53.61,48550
2017-02-23,54.48,48480
2017-02-24,53.99,47220
2017-02-27,54.04,47800
2017-02-28,54,47630
2017-03-01,53.82,48260
2017-03-02,52.63,48370
2017-03-03,53.33,47700
2017-03-06,53.19,47930
2017-03-07,52.68,47485
2017-03-08,49.83,47030
2017-03-09,48.75,46580
2017-03-10,48.05,46350
2017-03-13,47.95,46660
2017-03-14,47.24,46970
2017-03-15,48.34,47250
2017-03-16,48.3,47690
2017-03-17,48.34,47610
2017-03-20,47.79,47750
2017-03-21,47.02,47030
2017-03-22,47.29,46460
2017-03-23,47,46840
2017-03-24,47.3,46750
2017-03-27,47.02,46280
2017-03-28,48.36,46550
2017-03-29,49.47,47110
2017-03-30,50.3,47160
2017-03-31,50.54,47370
2017-04-03,50.25,47370
2017-04-04,50.99,47250
2017-04-05,51.14,47130
2017-04-06,51.69,47610
2017-04-07,52.25,47520
2017-04-10,53.06,47020
2017-04-11,53.38,46700
2017-04-12,53.12,46575
2017-04-13,53.19,45920
2017-04-14,52.905,46030
2017-04-17,52.62,46420
2017-04-18,52.46,46295
2017-04-19,50.49,45970
2017-04-20,50.26,45570
2017-04-21,49.64,45820
2017-04-24,48.9,45880
2017-04-25,49.22,46140
2017-04-26,49.22,46235
2017-04-27,48.96,46205
2017-04-28,49.31,46225
2017-05-01,48.83,46560
2017-05-02,47.65,46895
2017-05-03,47.79,46620
2017-05-04,45.55,45580
2017-05-05,46.23,45230
2017-05-08,46.46,45130
2017-05-09,45.84,44785
2017-05-10,47.28,44970
2017-05-11,47.81,44965
2017-05-12,47.83,44980
2017-05-15,48.86,45205
2017-05-16,48.64,45220
2017-05-17,49.04,45330
2017-05-18,49.36,45050
2017-05-19,50.32,45230
2017-05-22,50.81,45785
2017-05-23,51.12,45905
2017-05-24,50.99,45850
2017-05-25,48.57,45810
2017-05-26,49.58,45840
2017-05-29,49.605000000000004,45840
2017-05-30,49.63,45745
2017-05-31,48.29,45650
2017-06-01,48.32,45290
2017-06-02,47.68,45285
2017-06-05,47.4,45290
2017-06-06,48.13,45100
2017-06-07,45.8,45110
2017-06-08,45.68,45040
2017-06-09,45.82,45720
2017-06-12,46.1,46280
2017-06-13,46.41,45905
2017-06-14,44.79,45600
2017-06-15,44.47,45500
2017-06-16,44.73,45600
2017-06-19,44.24,45465
2017-06-20,43.34,45710
2017-06-21,42.48,45410
2017-06-22,42.53,45890
2017-06-23,42.86,45835
2017-06-26,43.24,46300
2017-06-27,44.25,46305
2017-06-28,44.74,46630
2017-06-29,44.88,47220
2017-06-30,46.02,47175
2017-07-03,46.02,47195
2017-07-04,45.565,47000
2017-07-05,45.11,47080
2017-07-06,45.52,46770
2017-07-07,44.25,46740
2017-07-10,44.4,46810
2017-07-11,45.06,46675
2017-07-12,45.48,47110
2017-07-13,46.06,47040
2017-07-14,46.53,46930
2017-07-17,46.02,47330
2017-07-18,46.4,47740
2017-07-19,47.1,47575
2017-07-20,46.73,47615
2017-07-21,45.78,47675
2017-07-24,46.21,47700
2017-07-25,47.77,48210
2017-07-26,48.58,49910
2017-07-27,49.05,50000
2017-07-28,49.72,49850
2017-07-31,50.21,50190
2017-08-01,49.19,50150
2017-08-02,49.6,49950
2017-08-03,49.03,50175
2017-08-04,49.57,50135
2017-08-07,49.37,50200
2017-08-08,49.07,50425
2017-08-09,49.59,50820
2017-08-10,48.54,50545
2017-08-11,48.81,49850
2017-08-14,47.59,50045
2017-08-15,47.57,50045
2017-08-16,46.8,49950
2017-08-17,47.07,51220
2017-08-18,48.59,50510
2017-08-21,47.39,50920
2017-08-22,47.65,51400
2017-08-23,48.45,51285
2017-08-24,47.24,51545
2017-08-25,47.65,52310
2017-08-28,46.4,52305
2017-08-29,46.46,52630
2017-08-30,45.96,52530
2017-08-31,47.26,52610
2017-09-01,47.32,52610
2017-09-04,47.975,53065
2017-09-05,48.63,53275
2017-09-06,49.13,52950
2017-09-07,49.1,53085
2017-09-08,47.44,52590
2017-09-11,48.06,51200
2017-09-12,48.21,51445
2017-09-13,49.3,51255
2017-09-14,49.86,50640
2017-09-15,49.9,50450
2017-09-18,49.88,50580
2017-09-19,49.54,50760
2017-09-20,50.29,50780
2017-09-21,50.58,50360
2017-09-22,50.33,49820
2017-09-25,51.85,50425
2017-09-26,51.59,50800
2017-09-27,52.14,50490
2017-09-28,51.62,50520
2017-09-29,51.67,51490
2017-10-02,50.59,51490
2017-10-03,50.44,51490
2017-10-04,50,51490
2017-10-05,50.79,51490
2017-10-06,49.34,51945
2017-10-09,49.58,52400
2017-10-10,50.93,52440
2017-10-11,51.3,52710
2017-10-12,50.61,53525
2017-10-13,51.43,53750
2017-10-16,51.86,54025
2017-10-17,51.87,55600
2017-10-18,52.05,55300
2017-10-19,51.29,54925
2017-10-20,51.63,55100
2017-10-23,51.91,55040
2017-10-24,52.32,55940
2017-10-25,51.97,55510
2017-10-26,52.41,55200
2017-10-27,53.92,54610
2017-10-30,54.11,53720
2017-10-31,54.36,53725
2017-11-01,54.32,54620
2017-11-02,54.55,54350
2017-11-03,55.63,54490
2017-11-06,57.34,54375
2017-11-07,57.19,54540
2017-11-08,56.82,53715
2017-11-09,57.16,53600
2017-11-10,56.75,53450
2017-11-13,56.77,53440
2017-11-14,55.67,54025
2017-11-15,55.28,52810
2017-11-16,55.14,52950
2017-11-17,56.21,52820
2017-11-20,56.21,52890
2017-11-21,56.84,53205
2017-11-22,57.88,53860
2017-11-23,58.41,53865
2017-11-24,58.94,53950
2017-11-27,58.1,54325
2017-11-28,57.96,53520
2017-11-29,57.25,53160
2017-11-30,57.4,52590
2017-12-01,58.35,52770
2017-12-04,57.48,53405
2017-12-05,57.66,53250
2017-12-06,55.79,51350
2017-12-07,56.5,51400
2017-12-08,57.15,51380
2017-12-11,57.84,51540
2017-12-12,57.12,51860
2017-12-13,56.59,52000
2017-12-14,57,52460
2017-12-15,57.29,52600
2017-12-18,57.17,53420
2017-12-19,57.49,53330
2017-12-20,58.09,53370
2017-12-21,58.34,53870
2017-12-22,58.25,53925
2017-12-25,58.9,54650
2017-12-26,59.55,54310
2017-12-27,59.67,54650
2017-12-28,59.84,54910
2017-12-29,60.46,55277
2018-01-02,60.37,54700
2018-01-03,61.61,54635
2018-01-04,61.98,54615
2018-01-05,61.49,54740
2018-01-08,61.73,54350
2018-01-09,62.92,54470
2018-01-10,63.6,54580
2018-01-11,63.81,54695
2018-01-12,64.22,54330
2018-01-15,64.02,54300
2018-01-16,63.82,54470
2018-01-17,63.92,53640
2018-01-18,63.96,53540
2018-01-19,63.38,53625
2018-01-22,63.66,53420
2018-01-23,64.45,53410
2018-01-24,65.69,52600
2018-01-25,65.62,53540
2018-01-26,66.27,53235
2018-01-29,65.71,53330
2018-01-30,64.64,53125
2018-01-31,64.82,52690
2018-02-01,65.92,52845
2018-02-02,65.5,52850
2018-02-05,64.18,52690
2018-02-06,63.48,52610
2018-02-07,61.91,52780
2018-02-08,61.3,51600
2018-02-09,59.2,51310
2018-02-12,59.41,51210
2018-02-13,59.33,51550
2018-02-14,60.7,52070
2018-02-15,61.48,52070
2018-02-16,61.89,52070
2018-02-19,61.9,52070
2018-02-20,61.91,52070
2018-02-21,61.73,52160
2018-02-22,62.72,52250
2018-02-23,63.52,53030
2018-02-26,63.81,52980
2018-02-27,62.94,52930
2018-02-28,61.43,52390
2018-03-01,60.98,52010
2018-03-02,61.19,51960
2018-03-05,62.49,51775
2018-03-06,62.54,51840
2018-03-07,61.09,51985
2018-03-08,60.13,51750
2018-03-09,62.02,51050
2018-03-12,61.35,51580
2018-03-13,60.69,51395
2018-03-14,60.89,51550
2018-03-15,61.16,51745
2018-03-16,62.29,51370
2018-03-19,62.01,50920
2018-03-20,63.37,50905
2018-03-21,65.1,50520
2018-03-22,64.25,50840
2018-03-23,65.8,49820
2018-03-26,65.49,49020
2018-03-27,65.21,49350
2018-03-28,64.3,49140
2018-03-29,64.87,49600
2018-03-30,63.96,49790
2018-04-02,63.05,50150
2018-04-03,63.41,50530
2018-04-04,63.35,50565
2018-04-05,63.53,50565
2018-04-06,62.03,50497.5
2018-04-09,63.4,50430
2018-04-10,65.48,51100
2018-04-11,66.81,51300
2018-04-12,67.07,50860
2018-04-13,67.35,50630
2018-04-16,66.23,50430
2018-04-17,66.5,50955
2018-04-18,68.44,50940
2018-04-19,68.3,51875
2018-04-20,68.26,51595
2018-04-23,67.61,51900
2018-04-24,67.66,51680
2018-04-25,68,51780
2018-04-26,68.18,51790
2018-04-27,68.11,51635
2018-04-30,68.56,51635
2018-05-01,67.28,51207.5
2018-05-02,67.91,50780
2018-05-03,68.45,50755
2018-05-04,69.71,50910
2018-05-07,70.74,50890
2018-05-08,68.83,51030
2018-05-09,71.16,50745
2018-05-10,71.36,50920
2018-05-11,70.69,51110
2018-05-14,71.01,51190
2018-05-15,71.34,50970
2018-05-16,71.43,50710
2018-05-17,71.47,50955
2018-05-18,71.23,51020
2018-05-21,72.26,51230
2018-05-22,72.09,51260
2018-05-23,71.85,51605
2018-05-24,70.77,51150
2018-05-25,67.92,51355
2018-05-28,67.36,51210
2018-05-29,66.8,51360
2018-05-30,68.24,51110
2018-05-31,66.98,51110
2018-06-01,65.81,51260
2018-06-04,64.76,51910
2018-06-05,65.51,51870
2018-06-06,64.75,52610
2018-06-07,65.96,53655
2018-06-08,65.77,53525
2018-06-11,66.1,53815
2018-06-12,66.38,53410
2018-06-13,66.63,53220
2018-06-14,66.91,53380
2018-06-15,65.01,53090
2018-06-18,65.91,52690
2018-06-19,65.09,52290
2018-06-20,65.92,51550
2018-06-21,65.68,51605
2018-06-22,69.02,51420
2018-06-25,69.91,51700
2018-06-26,75.23,51050
2018-06-27,77.41,51315
2018-06-28,73.45,51400
2018-06-29,74.13,51215
2018-07-02,73.89,51215
2018-07-03,74.19,51070
2018-07-04,73.62,50690
2018-07-05,73.05,49705
2018-07-06,73.78,48940
2018-07-09,73.93,49550
2018-07-10,74.11,49615
2018-07-11,70.47,47995
2018-07-12,70.28,48440
2018-07-13,71.03,48575
2018-07-16,68.22,48855
2018-07-17,68.03,48760
2018-07-18,68.78,48475
2018-07-19,69.42,48815
2018-07-20,70.31,48260
2018-07-23,67.9,48735
2018-07-24,70.77,49185
2018-07-25,71.13,49810
2018-07-26,71.59,49920
2018-07-27,68.66,49940
2018-07-30,71.19,49825
2018-07-31,69.88,49700
2018-08-01,68.8,49905
2018-08-02,68.95,49160
2018-08-03,68.49,49255
2018-08-06,69.01,49335
2018-08-07,69.17,49345
2018-08-08,66.92,49510
2018-08-09,66.81,49595
2018-08-10,67.61,49800
2018-08-13,67.25,49570
2018-08-14,67.04,49560
2018-08-15,65.07,48775
2018-08-16,65.44,47780
2018-08-17,65.93,48075
2018-08-20,66.5,48475
2018-08-21,67.32,48675
2018-08-22,67.85,48715
2018-08-23,69.13,48265
2018-08-24,69.71,48480
2018-08-27,69.97,48785
2018-08-28,68.54,48595
2018-08-29,69.68,49070
2018-08-30,70.25,48785
2018-08-31,69.84,48650
2018-09-03,69.83,48310
2018-09-04,69.82,48210
2018-09-05,68.69,47630
2018-09-06,67.81,47935
2018-09-07,67.73,48010
2018-09-10,67.55,47795
2018-09-11,69.29,47895
2018-09-12,70.37,47885
2018-09-13,68.6,48620
2018-09-14,68.98,48790
2018-09-17,68.86,48235
2018-09-18,69.87,48870
2018-09-19,71.08,50000
2018-09-20,70.77,49915
2018-09-21,70.8,50035
2018-09-24,73.23,50270
2018-09-25,73.4,50505
2018-09-26,72.22,50650
2018-09-27,72.18,50515
2018-09-28,73.16,50260
2018-10-01,75.37,50260
2018-10-02,75.16,50260
2018-10-03,76.4,50260
2018-10-04,74.44,50260
2018-10-05,74.26,50252.5
2018-10-08,74.27,50245
2018-10-09,74.95,50545
2018-10-10,73.18,50935
2018-10-11,70.97,50060
2018-10-12,71.41,50525
2018-10-15,71.84,50865
2018-10-16,71.93,50465
2018-10-17,69.63,50100
2018-10-18,68.63,50260
2018-10-19,69.16,50045
2018-10-22,69.25,50435
2018-10-23,66.49,50355
2018-10-24,66.56,50080
2018-10-25,67.25,49595
2018-10-26,67.58,49895
2018-10-29,67,49870
2018-10-30,66.18,49560
2018-10-31,65.31,49090
2018-11-01,63.67,48780
2018-11-02,63.12,49225
2018-11-05,63.12,49950
2018-11-06,62.16,49620
2018-11-07,61.69,49555
2018-11-08,60.71,49610
2018-11-09,60.19,49425
2018-11-12,59.85,49105
2018-11-13,55.63,48830
2018-11-14,56.16,48940
2018-11-15,56.45,49105
2018-11-16,56.49,49570
2018-11-19,57.16,49770
2018-11-20,53.39,49830
2018-11-21,54.41,49360
2018-11-22,54.41,49575
2018-11-23,52.935,49805
2018-11-26,51.46,49430
2018-11-27,51.31,49325
2018-11-28,50.06,49120
2018-11-29,51.46,49765
2018-11-30,50.78,49735
2018-12-03,52.98,50505
2018-12-04,53.21,49945
2018-12-05,52.64,49490
2018-12-06,51.54,49365
2018-12-07,52.76,49430
2018-12-10,51.07,49260
2018-12-11,51.65,49305
2018-12-12,51.04,49310
2018-12-13,52.69,49295
2018-12-14,51.26,49130
2018-12-17,49.8,49170
2018-12-18,46.12,49020
2018-12-19,47.96,48225
2018-12-20,45.64,48225
2018-12-21,45.38,48355
2018-12-24,45.38,48285
2018-12-25,45.71,47985
2018-12-26,46.04,48080
2018-12-27,44.48,48545
2018-12-28,45.15,48205
2019-01-02,46.31,47990
2019-01-03,46.92,47320
2019-01-04,47.76,46880
2019-01-07,48.27,46780
2019-01-08,49.58,47430
2019-01-09,52.19,47585
2019-01-10,52.42,47390
2019-01-11,51.44,47390
2019-01-14,50.31,47160
2019-01-15,51.8,47160
2019-01-16,52.08,47195
2019-01-17,51.83,47195
2019-01-18,53.6,47195
2019-01-21,53.095,47195
2019-01-22,52.59,47195
2019-01-23,52.44,47195
2019-01-24,52.94,47150
2019-01-25,53.53,47165
2019-01-28,51.79,47165
2019-01-29,53.07,47230
2019-01-30,54.18,47440
2019-01-31,53.84,47725
2019-02-01,55.29,47710
2019-02-04,54.57,47710
2019-02-05,53.69,47710
2019-02-06,53.94,47710
2019-02-07,52.68,47710
2019-02-08,52.75,47917.5
2019-02-11,52.43,48125
2019-02-12,53.14,48035
2019-02-13,53.84,47820
2019-02-14,54.4,47940
2019-02-15,55.58,48065
2019-02-18,55.849999999999994,48390
2019-02-19,56.12,48925
2019-02-20,56.9,49310
2019-02-21,56.95,49420
2019-02-22,57.01,49295
2019-02-25,55.32,49895
2019-02-26,55.4,49720
2019-02-27,56.92,49805
2019-02-28,57.21,49915
2019-03-01,55.76,49915
2019-03-04,56.6,49970
2019-03-05,56.55,50110
2019-03-06,56.22,49905
2019-03-07,56.6,49795
2019-03-08,55.77,49620
2019-03-11,56.79,49580
2019-03-12,56.89,49810
2019-03-13,58.27,49940
2019-03-14,58.59,49840
2019-03-15,58.51,49625
2019-03-18,59.09,50085
2019-03-19,59.12,50040
2019-03-20,60.12,50075
