DATE LME;Official Ask LME USD TONNE
02/01/2019;5839,000
03/01/2019;5811,000
04/01/2019;5840,000
07/01/2019;5889,500
08/01/2019;5904,500
09/01/2019;5964,000
10/01/2019;5908,500
11/01/2019;5926,500
14/01/2019;5861,000
15/01/2019;5882,000
16/01/2019;5911,000
17/01/2019;5933,000
18/01/2019;6022,000
21/01/2019;5951,500
22/01/2019;5926,500
23/01/2019;5920,500
24/01/2019;5885,000
25/01/2019;5901,000
28/01/2019;5996,000
29/01/2019;6007,000
30/01/2019;6077,000
31/01/2019;6148,000
01/02/2019;6097,500
04/02/2019;6076,500
05/02/2019;6174,000
06/02/2019;6210,000
07/02/2019;6227,000
08/02/2019;6207,000
11/02/2019;6148,000
12/02/2019;6102,000
13/02/2019;6120,000
14/02/2019;6178,500
15/02/2019;6190,000
18/02/2019;6269,500
19/02/2019;6246,500
20/02/2019;6351,500
21/02/2019;6391,000
22/02/2019;6489,000
25/02/2019;6546,000
26/02/2019;6471,000
27/02/2019;6533,000
28/02/2019;6536,000
01/03/2019;6572,000
04/03/2019;6420,000
05/03/2019;6553,500
06/03/2019;6505,000
07/03/2019;6458,000
08/03/2019;6398,500
11/03/2019;6435,000
12/03/2019;6510,000
13/03/2019;6529,000
14/03/2019;6409,000
15/03/2019;6410,000
18/03/2019;6492,000
19/03/2019;6500,000
20/03/2019;6487,000
21/03/2019;6520,000
22/03/2019;6375,000
25/03/2019;6328,000
26/03/2019;6361,000
27/03/2019;6338,500
28/03/2019;6385,000
29/03/2019;6485,000
01/04/2019;6498,000
02/04/2019;6431,000
03/04/2019;6483,000
04/04/2019;6444,000
05/04/2019;6419,000
08/04/2019;6432,500
09/04/2019;6498,000
10/04/2019;6447,000
11/04/2019;6432,500
12/04/2019;6490,000
15/04/2019;6456,000
16/04/2019;6460,000
17/04/2019;6509,000
18/04/2019;6448,000
23/04/2019;6430,000
24/04/2019;6437,500
25/04/2019;6375,500
26/04/2019;6393,000
29/04/2019;6376,000
30/04/2019;6442,000
01/05/2019;6398,000
02/05/2019;6214,000
03/05/2019;6180,000
07/05/2019;6174,000
08/05/2019;6103,000
09/05/2019;6112,000
10/05/2019;6135,500
13/05/2019;6042,500
14/05/2019;6007,000
15/05/2019;6002,000
16/05/2019;6089,000
17/05/2019;6025,000
20/05/2019;5985,000
21/05/2019;6004,000
22/05/2019;5920,000
23/05/2019;5860,000
24/05/2019;5919,000
28/05/2019;5956,500
29/05/2019;5864,500
30/05/2019;5823,000
31/05/2019;5780,500
03/06/2019;5796,000
04/06/2019;5804,000
05/06/2019;5832,500
06/06/2019;5805,000
07/06/2019;5770,000
10/06/2019;5788,000
11/06/2019;5905,000
12/06/2019;5828,500
13/06/2019;5797,500
14/06/2019;5805,500
17/06/2019;5756,000
18/06/2019;5848,500
19/06/2019;5895,000
20/06/2019;5962,000
21/06/2019;5941,000
24/06/2019;5917,000
25/06/2019;5985,500
26/06/2019;6006,000
27/06/2019;5953,500
28/06/2019;5972,000
01/07/2019;5999,000
02/07/2019;5910,000
03/07/2019;5874,000
04/07/2019;5900,000
05/07/2019;5857,000
08/07/2019;5912,000
09/07/2019;5805,000
10/07/2019;5862,500
11/07/2019;5925,000
12/07/2019;5950,000
15/07/2019;5997,500
16/07/2019;5959,000
17/07/2019;5922,000
18/07/2019;5948,000
19/07/2019;6066,000
22/07/2019;6007,500
23/07/2019;5968,500
24/07/2019;5980,000
25/07/2019;6010,000
26/07/2019;5945,000
29/07/2019;5949,500
30/07/2019;5943,000
31/07/2019;5926,000
01/08/2019;5876,000
02/08/2019;5769,000
05/08/2019;5647,000
06/08/2019;5667,000
07/08/2019;5673,500
08/08/2019;5723,000
09/08/2019;5744,000
12/08/2019;5724,500
13/08/2019;5697,000
14/08/2019;5732,000
15/08/2019;5696,500
16/08/2019;5710,000
19/08/2019;5755,500
20/08/2019;5698,000
21/08/2019;5696,500
22/08/2019;5668,000
23/08/2019;5675,000
27/08/2019;5662,000
28/08/2019;5653,000
29/08/2019;5722,000
30/08/2019;5678,000
02/09/2019;5610,500
03/09/2019;5537,000
04/09/2019;5663,000
05/09/2019;5777,000
06/09/2019;5787,500
09/09/2019;5771,000
10/09/2019;5738,000
11/09/2019;5765,000
12/09/2019;5842,500
13/09/2019;5870,000
16/09/2019;5877,000
17/09/2019;5762,000
18/09/2019;5745,000
19/09/2019;5758,500
20/09/2019;5777,500
23/09/2019;5695,000
24/09/2019;5761,000
25/09/2019;5718,500
26/09/2019;5757,000
