Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,26.4654,26.6302,26.6586,26.481,,-1.12%
2024-04-02,26.5259,26.5203,26.6081,26.4722,,0.23%
2024-04-03,26.6899,26.5896,26.8082,26.5639,,0.62%
2024-04-04,26.6899,26.7391,26.9776,26.6991,,0.00%
2024-04-05,26.6899,26.7465,26.9461,26.6355,,0.00%
2024-04-08,26.7451,26.7638,26.8682,26.707,,0.21%
2024-04-09,26.7402,26.8043,27.013,26.7099,,-0.02%
2024-04-10,26.6241,26.7994,26.9002,26.4237,,-0.43%
2024-04-11,26.4196,26.629,26.6868,26.409300000000002,,-0.77%
2024-04-12,26.2176,26.4795,26.5455,26.1853,,-0.76%
2024-04-15,26.1705,26.2585,26.4623,26.1373,,-0.18%
2024-04-16,26.1284,26.2285,26.3463,26.1705,,-0.16%
2024-04-17,26.2912,26.2833,26.4352,26.1198,,0.62%
2024-04-18,26.2222,26.3495,26.5085,26.2076,,-0.26%
2024-04-19,26.2493,26.2792,26.5047,26.223,,0.10%
2024-04-22,26.2433,26.3076,26.4785,26.1907,,-0.02%
2024-04-23,26.3591,26.304,26.5138,26.2938,,0.44%
2024-04-24,26.4266,26.4175,26.5477,26.2969,,0.26%
2024-04-25,26.4373,26.4265,26.6602,26.3081,,0.04%
2024-04-26,26.313,26.4984,26.5772,26.3571,,-0.47%
2024-04-28,26.491,26.491,26.491,26.491,,0.68%
2024-04-29,26.469,26.491,26.491,26.469,,-0.08%
