Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,10.8617,10.8788,10.8919,10.8528,,-0.16%
2024-04-02,10.8441,10.8649,10.8693,10.8213,,-0.16%
2024-04-03,10.9008,10.8509,10.9073,10.8429,,0.52%
2024-04-04,10.9098,10.9015,10.9433,10.8893,,0.08%
2024-04-05,10.8962,10.9135,10.9262,10.8692,,-0.12%
2024-04-08,10.8791,10.907,10.908,10.8532,,-0.16%
2024-04-09,10.8816,10.881,10.9126,10.8691,,0.02%
2024-04-10,10.7676,10.8877,10.9018,10.7575,,-1.05%
2024-04-11,10.7412,10.7743,10.7828,10.7236,,-0.25%
2024-04-12,10.658,10.7517,10.7557,10.6469,,-0.77%
2024-04-15,10.8132,10.662,10.8348,10.6569,,1.46%
2024-04-16,10.789,10.8094,10.8247,10.7853,,-0.22%
2024-04-17,10.815,10.7935,10.8342,10.785,,0.24%
2024-04-18,10.7775,10.8196,10.8343,10.7741,,-0.35%
2024-04-19,10.8059,10.7828,10.8293,10.7606,,0.26%
2024-04-22,10.8108,10.8106,10.8279,10.7857,,0.05%
2024-04-23,10.8417,10.8165,10.8581,10.7971,,0.29%
2024-04-24,10.8446,10.8464,10.8768,10.8266,,0.03%
2024-04-25,10.8594,10.8493,10.8826,10.8251,,0.14%
2024-04-26,10.839,10.8651,10.8772,10.8222,,-0.19%
2024-04-28,10.8365,10.8365,10.8365,10.8365,,-0.02%
2024-04-29,10.8471,10.8365,10.8471,10.8365,,0.10%
2024-04-30,10.8471,10.8471,10.8471,10.8471,,0.00%
