Date,Price,Open,High,Low,Vol.,Change..
2024-04-02,61.49,61.52,61.725,61.395,,0.39%
2024-04-03,61.53,61.62,61.885,61.485,,0.07%
2024-04-04,61.15,61.795,61.875,61.315,,-0.62%
2024-04-05,61.71,61.345,61.88,61.26,,0.92%
2024-04-08,61.5,61.865,61.87,61.495,,-0.34%
2024-04-09,61.22,61.675,61.71,61.41,,-0.46%
2024-04-10,60.94,61.465,61.61,60.785,,-0.46%
2024-04-11,61.2,61.33,61.665,61.215,,0.43%
2024-04-12,61.36,61.45,61.705,61.32,,0.26%
2024-04-15,61.41,61.56,61.74,61.385,,0.08%
2024-04-16,61.33,61.535,61.7,61.405,,-0.13%
2024-04-17,61.55,61.5,61.86,61.415,,0.36%
2024-04-18,61.45,61.79,61.875,61.48,,-0.16%
2024-04-19,61.43,61.575,61.715,61.375,,-0.03%
2024-04-22,61.37,61.56,61.735,61.475,,-0.10%
2024-04-23,61.48,61.64,61.97,61.51,,0.18%
2024-04-24,61.4,61.755,61.835,61.605,,-0.13%
2024-04-25,61.33,61.72,61.94,61.43,,-0.11%
2024-04-26,61.2,61.61,61.755,61.355,,-0.21%
2024-04-28,61.545,61.545,61.545,61.545,,0.56%
2024-04-29,61.615,61.545,61.62,61.545,,0.11%
2024-04-30,61.61,61.615,61.615,61.61,,-0.01%
