Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,17.832,17.8606,17.9151,17.8202,NA,-0.05%
2024-04-02,17.8049,17.8514,17.9037,17.7824,NA,-0.15%
2024-04-03,17.9146,17.8289,17.9581,17.82,NA,0.62%
2024-04-04,17.9676,17.9249,18.0119,17.9108,NA,0.30%
2024-04-05,17.8232,17.9749,18.0047,17.7605,NA,-0.80%
2024-04-08,17.7111,17.8404,17.8743,17.6966,NA,-0.63%
2024-04-09,17.7831,17.7201,17.8335,17.6545,NA,0.41%
2024-04-10,17.6519,17.7923,17.8118,17.6441,NA,-0.74%
2024-04-11,17.6241,17.6491,17.707,17.5853,NA,-0.16%
2024-04-12,17.7031,17.6169,17.8153,17.5457,NA,0.45%
2024-04-15,17.7505,17.701,17.7997,17.6269,NA,0.27%
2024-04-16,18.113,17.7617,18.1773,17.7363,NA,2.04%
2024-04-17,18.0927,18.1309,18.1618,17.9564,NA,-0.11%
2024-04-18,18.1729,18.1041,18.3062,18.0632,NA,0.44%
2024-04-19,18.1992,18.1786,19.0475,18.1305,NA,0.14%
2024-04-22,18.2487,18.2229,18.3307,18.138,NA,0.27%
2024-04-23,18.123,18.2594,18.3168,18.1339,NA,-0.69%
2024-04-24,18.2444,18.1494,18.3365,18.0735,NA,0.67%
2024-04-25,18.4485,18.2656,18.5912,18.2325,NA,1.12%
2024-04-26,18.3429,18.4671,18.5627,18.3003,NA,-0.57%
2024-04-28,18.3791,18.3444,18.3827,18.3314,NA,0.20%
2024-04-29,18.2297,18.3791,18.4847,18.2239,NA,-0.81%
2024-04-30,18.212,18.2323,18.2505,18.2034,NA,-0.10%
