Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,4.968,4.9701,4.9751,4.963,,0.05%
2024-04-02,4.9666,4.9706,4.9762,4.9621,,-0.03%
2024-04-03,4.9659,4.9698,4.9766,4.9654,,-0.01%
2024-04-04,4.9645,4.9691,4.9755,4.9651,,-0.03%
2024-04-05,4.9609,4.9683,4.9731,4.9521,,-0.07%
2024-04-08,4.9647,4.9699,4.9728,4.9628,,0.08%
2024-04-09,4.9652,4.9688,4.9734,4.9646,,0.01%
2024-04-10,4.9664,4.9696,4.9745,4.9525,,0.02%
2024-04-11,4.9686,4.9703,4.9782,4.9658,,0.04%
2024-04-12,4.9683,4.9719,4.9767,4.9668,,-0.01%
2024-04-15,4.9709,4.971,4.9794,4.959,,0.05%
2024-04-16,4.9726,4.9752,4.9809,4.9633,,0.03%
2024-04-17,4.9724,4.9762,4.9801,4.9717,,0.00%
2024-04-18,4.974,4.9755,4.981,4.9717,,0.03%
2024-04-19,4.9714,4.9767,4.9811,4.9723,,-0.05%
2024-04-22,4.9713,4.976,4.9806,4.9717,,0.00%
2024-04-23,4.9731,4.9756,4.9858,4.9718,,0.04%
2024-04-24,4.9731,4.9763,4.9812,4.972,,0.00%
2024-04-25,4.9737,4.9762,4.9878,4.9709,,0.01%
2024-04-26,4.9718,4.9763,4.9869,4.972,,-0.04%
2024-04-28,4.9769,4.9769,4.9769,4.9769,,0.10%
2024-04-29,4.9759,4.9769,4.9769,4.9756,,-0.02%
2024-04-30,4.9758,4.9759,4.9768,4.9757,,0.00%
