Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,116.88,117.065,117.275,116.895,,-0.08%
2024-04-02,116.98,117.1,117.29,116.985,,0.09%
2024-04-03,117.02,117.125,117.36,116.985,,0.03%
2024-04-04,117.01,117.18,117.31,116.985,,-0.01%
2024-04-05,116.97,117.125,117.355,116.76,,-0.03%
2024-04-08,116.97,117.105,117.285,117,,0.00%
2024-04-09,117.01,117.09,117.305,116.935,,0.03%
2024-04-10,116.96,117.125,117.47,116.905,,-0.04%
2024-04-11,116.97,117.105,117.31,116.935,,0.01%
2024-04-12,117,117.1,117.235,116.985,,0.03%
2024-04-15,116.97,117.05,117.27,116.985,,-0.03%
2024-04-16,117.01,117.125,117.265,117.01,,0.03%
2024-04-17,116.99,117.145,117.33,116.945,,-0.02%
2024-04-18,117.04,117.135,117.33,116.95,,0.04%
2024-04-19,117.01,117.165,117.445,117.035,,-0.03%
2024-04-22,117.04,117.14,117.355,117.055,,0.03%
2024-04-23,117.05,117.19,117.52,117,,0.01%
2024-04-24,117.08,117.175,117.35,116.97,,0.03%
2024-04-25,117.1,117.175,117.455,117,,0.02%
2024-04-26,117.07,117.195,117.425,116.985,,-0.03%
2024-04-28,117.156,117.156,117.156,117.156,,0.07%
2024-04-29,117.105,117.156,117.156,117.085,,-0.04%
2024-04-30,117.108,117.105,117.131,117.092,,0.00%
