Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,3.3432,3.3702,3.3844,3.3411,,-0.91%
2024-04-02,3.3728,3.3611,3.3803,3.3361,,0.89%
2024-04-03,3.3819,3.3756,3.3937,3.3703,,0.27%
2024-04-04,3.3784,3.383,3.3965,3.3605,,-0.10%
2024-04-05,3.379,3.3802,3.3876,3.3524,,0.02%
2024-04-08,3.3828,3.3863,3.389,3.3575,,0.11%
2024-04-09,3.3781,3.3851,3.3909,3.373,,-0.14%
2024-04-10,3.3378,3.3825,3.3858,3.3331,,-1.19%
2024-04-11,3.3357,3.3464,3.3493,3.329,,-0.06%
2024-04-12,3.3054,3.3403,3.3415,3.3029,,-0.91%
2024-04-15,3.3406,3.3075,3.3695,3.3036,,1.06%
2024-04-16,3.3572,3.3492,3.3702,3.3423,,0.50%
2024-04-17,3.3653,3.3595,3.37,3.3507,,0.24%
2024-04-18,3.3614,3.3675,3.3708,3.3426,,-0.12%
2024-04-19,3.3628,3.3635,3.3691,3.3334,,0.04%
2024-04-22,3.3623,3.3609,3.368,3.3381,,-0.01%
2024-04-23,3.3595,3.3649,3.3789,3.341,,-0.08%
2024-04-24,3.366,3.3698,3.386,3.3574,,0.19%
2024-04-25,3.3751,3.3683,3.3841,3.3379,,0.27%
2024-04-26,3.364,3.3777,3.385,3.3391,,-0.33%
2024-04-28,3.363,3.363,3.363,3.363,,-0.03%
2024-04-29,3.3615,3.363,3.363,3.3615,,-0.04%
2024-04-30,3.3615,3.3615,3.3615,3.3615,,0.00%
