Date,Price,Open,High,Low,Vol.,Change..
2024-04-01,24.635,24.685,24.7325,24.6725,,-0.67%
2024-04-02,24.634,24.685,24.7248,24.684,,0.00%
2024-04-03,24.633,24.684,24.7514,24.6515,,0.00%
2024-04-04,24.633,24.683,24.842,24.6415,,0.00%
2024-04-05,24.633,24.683,24.8568,24.6415,,0.00%
2024-04-08,24.634,24.683,24.737,24.6665,,0.00%
2024-04-09,24.634,24.8,24.8577,24.622,,0.00%
2024-04-10,24.785,24.7279,24.8382,24.622,,0.61%
2024-04-11,24.636,24.7283,24.7283,24.685,,-0.60%
2024-04-12,24.636,24.686,24.8386,24.623,,0.00%
2024-04-15,24.638,24.687,24.8388,24.6065,,0.01%
2024-04-16,24.61,24.688,24.764,24.674,,-0.11%
2024-04-17,24.638,24.725,24.8338,24.594,,0.11%
2024-04-18,24.638,24.688,24.8138,24.599,,0.00%
2024-04-19,24.638,24.688,24.8587,24.644,,0.00%
2024-04-22,24.637,24.688,24.824,24.6235,,0.00%
2024-04-23,24.637,24.7281,24.7732,24.6735,,0.00%
2024-04-24,24.7,24.687,24.784300000000002,24.618,,0.26%
2024-04-25,24.641,24.7328,24.8405,24.6235,,-0.24%
2024-04-26,24.61,24.691,24.767,24.6755,,-0.13%
2024-04-28,24.7545,24.7545,24.7545,24.7545,,0.59%
2024-04-29,24.825,24.7545,24.825,24.6924,,0.28%
2024-04-30,24.7025,24.825,24.825,24.7025,,-0.49%
