Dateoil,Cushing..OK.WTI.Spot.Price.FOB..Dollars.per.Barrel.,COMEX
2017-01-03,52.36,2.481
2017-01-04,53.26,2.548
2017-01-05,53.77,2.53
2017-01-06,53.98,2.538
2017-01-09,51.95,2.53
2017-01-10,50.82,2.604
2017-01-11,52.19,2.601
2017-01-12,53.01,2.661
2017-01-13,52.36,2.681
2017-01-16,NA,NA
2017-01-17,52.45,2.617
2017-01-18,51.12,2.608
2017-01-19,51.39,2.602
2017-01-20,52.33,2.617
2017-01-23,52.77,2.64
2017-01-24,52.38,2.701
2017-01-25,52.14,2.703
2017-01-26,53.24,2.666
2017-01-27,53.18,2.68
2017-01-30,52.63,2.648
2017-01-31,52.75,2.722
2017-02-01,53.9,2.705
2017-02-02,53.55,2.678
2017-02-03,53.81,2.61
2017-02-06,53.01,2.646
2017-02-07,52.19,2.626
2017-02-08,52.37,2.661
2017-02-09,52.99,2.648
2017-02-10,53.84,2.762
2017-02-13,52.96,2.777
2017-02-14,53.21,2.731
2017-02-15,53.11,2.736
2017-02-16,53.41,2.716
2017-02-17,53.41,2.706
2017-02-20,NA,NA
2017-02-21,54.02,2.746
2017-02-22,53.61,2.733
2017-02-23,54.48,2.643
2017-02-24,53.99,2.68
2017-02-27,54.04,2.688
2017-02-28,54,2.704
2017-03-01,53.82,2.727
2017-03-02,52.63,2.68
2017-03-03,53.33,2.687
2017-03-06,53.19,2.643
2017-03-07,52.68,2.61
2017-03-08,49.83,2.592
2017-03-09,48.75,2.57
2017-03-10,48.05,2.587
2017-03-13,47.95,2.617
2017-03-14,47.24,2.624
2017-03-15,48.34,2.646
2017-03-16,48.3,2.666
2017-03-17,48.34,2.68
2017-03-20,47.79,2.656
2017-03-21,47.02,2.61
2017-03-22,47.29,2.622
2017-03-23,47,2.637
2017-03-24,47.3,2.624
2017-03-27,47.02,2.625
2017-03-28,48.36,2.669
2017-03-29,49.47,2.67
2017-03-30,50.3,2.665
2017-03-31,50.54,2.647
2017-04-03,50.25,2.598
2017-04-04,50.99,2.606
2017-04-05,51.14,2.676
2017-04-06,51.69,2.656
2017-04-07,52.25,2.645
2017-04-10,53.06,2.602
2017-04-11,53.38,2.606
2017-04-12,53.12,2.544
2017-04-13,53.19,2.57
2017-04-17,52.62,2.595
2017-04-18,52.46,2.529
2017-04-19,50.49,2.534
2017-04-20,50.26,2.541
2017-04-21,49.64,2.537
2017-04-24,48.9,2.554
2017-04-25,49.22,2.582
2017-04-26,49.22,2.591
2017-04-27,48.96,2.58
2017-04-28,49.31,2.597
2017-05-01,48.83,2.65
2017-05-02,47.65,2.625
2017-05-03,47.79,2.533
2017-05-04,45.55,2.502
2017-05-05,46.23,2.52
2017-05-08,46.46,2.486
2017-05-09,45.84,2.49
2017-05-10,47.28,2.487
2017-05-11,47.81,2.501
2017-05-12,47.83,2.518
2017-05-15,48.86,2.533
2017-05-16,48.64,2.545
2017-05-17,49.04,2.543
2017-05-18,49.36,2.527
2017-05-19,50.32,2.574
2017-05-22,50.81,2.589
2017-05-23,51.12,2.591
2017-05-24,50.99,2.578
2017-05-25,48.57,2.592
2017-05-26,49.58,2.56
2017-05-29,NA,NA
2017-05-30,49.63,2.561
2017-05-31,48.29,2.577
2017-06-01,48.32,2.585
2017-06-02,47.68,2.572
2017-06-05,47.4,2.555
2017-06-06,48.13,2.545
2017-06-07,45.8,2.549
2017-06-08,45.68,2.607
2017-06-09,45.82,2.646
2017-06-12,46.1,2.613
2017-06-13,46.41,2.593
2017-06-14,44.79,2.571
2017-06-15,44.47,2.564
2017-06-16,44.73,2.563
2017-06-19,44.24,2.59
2017-06-20,43.34,2.555
2017-06-21,42.48,2.602
2017-06-22,42.53,2.598
2017-06-23,42.86,2.623
2017-06-26,43.24,2.625
2017-06-27,44.25,2.647
2017-06-28,44.74,2.662
2017-06-29,44.88,2.683
2017-06-30,46.02,2.699
2017-07-03,NA,2.681
2017-07-04,NA,NA
2017-07-05,45.11,2.649
2017-07-06,45.52,2.652
2017-07-07,44.25,2.638
2017-07-10,44.4,2.64
2017-07-11,45.06,2.665
2017-07-12,45.48,2.677
2017-07-13,46.06,2.655
2017-07-14,46.53,2.684
2017-07-17,46.02,2.717
2017-07-18,46.4,2.724
2017-07-19,47.1,2.703
2017-07-20,46.73,2.709
2017-07-21,45.78,2.715
2017-07-24,46.21,2.729
2017-07-25,47.77,2.841
2017-07-26,48.58,2.869
2017-07-27,49.05,2.874
2017-07-28,49.72,2.871
2017-07-31,50.21,2.888
2017-08-01,49.19,2.879
2017-08-02,49.6,2.883
2017-08-03,49.03,2.877
2017-08-04,49.57,2.885
2017-08-07,49.37,2.908
2017-08-08,49.07,2.943
2017-08-09,49.59,2.93
2017-08-10,48.54,2.906
2017-08-11,48.81,2.914
2017-08-14,47.59,2.907
2017-08-15,47.57,2.885
2017-08-16,46.8,2.955
2017-08-17,47.07,2.938
2017-08-18,48.59,2.941
2017-08-21,47.39,2.981
2017-08-22,47.65,2.987
2017-08-23,48.45,2.981
2017-08-24,47.24,3.034
2017-08-25,47.65,3.033
2017-08-28,46.4,3.065
2017-08-29,46.46,3.081
2017-08-30,45.96,3.065
2017-08-31,47.26,3.079
2017-09-01,47.32,3.098
2017-09-04,NA,NA
2017-09-05,48.63,3.108
2017-09-06,49.13,3.132
2017-09-07,49.1,3.123
2017-09-08,47.44,3.022
2017-09-11,48.06,3.046
2017-09-12,48.21,3.016
2017-09-13,49.3,2.961
2017-09-14,49.86,2.937
2017-09-15,49.9,2.928
2017-09-18,49.88,2.949
2017-09-19,49.54,2.95
2017-09-20,50.29,2.95
2017-09-21,50.58,2.914
2017-09-22,50.33,2.925
2017-09-25,51.85,2.918
2017-09-26,51.59,2.898
2017-09-27,52.14,2.911
2017-09-28,51.62,2.963
2017-09-29,51.67,2.938
2017-10-02,50.59,2.94
2017-10-03,50.44,2.949
2017-10-04,50,2.945
2017-10-05,50.79,3.032
2017-10-06,49.34,3.015
2017-10-09,49.58,3.017
2017-10-10,50.93,3.046
2017-10-11,51.3,3.08
2017-10-12,50.61,3.104
2017-10-13,51.43,3.119
2017-10-16,51.86,3.224
2017-10-17,51.87,3.181
2017-10-18,52.05,3.164
2017-10-19,51.29,3.153
2017-10-20,51.63,3.152
2017-10-23,51.91,3.174
2017-10-24,52.32,3.187
2017-10-25,51.97,3.172
2017-10-26,52.41,3.168
2017-10-27,53.92,3.094
2017-10-30,54.11,3.102
2017-10-31,54.36,3.092
2017-11-01,54.32,3.133
2017-11-02,54.55,3.136
2017-11-03,55.63,3.111
2017-11-06,57.34,3.151
2017-11-07,57.19,3.083
2017-11-08,56.82,3.093
2017-11-09,57.16,3.08
2017-11-10,56.75,3.07
2017-11-13,56.77,3.112
2017-11-14,55.67,3.06
2017-11-15,55.28,3.049
2017-11-16,55.14,3.044
2017-11-17,56.21,3.063
2017-11-20,56.21,3.091
2017-11-21,56.84,3.126
2017-11-22,57.88,3.135
2017-11-23,NA,NA
2017-11-24,58.94,3.166
2017-11-27,58.1,3.133
2017-11-28,57.96,3.071
2017-11-29,57.25,3.04
2017-11-30,57.4,3.037
2017-12-01,58.35,3.066
2017-12-04,57.48,3.063
2017-12-05,57.66,2.921
2017-12-06,55.79,2.937
2017-12-07,56.5,2.941
2017-12-08,57.15,2.955
2017-12-11,57.84,2.988
2017-12-12,57.12,3
2017-12-13,56.59,3.03
2017-12-14,57,3.049
2017-12-15,57.29,3.11
2017-12-18,57.17,3.122
2017-12-19,57.49,3.128
2017-12-20,58.09,3.172
2017-12-21,58.34,3.195
2017-12-22,58.25,3.215
2017-12-26,59.55,3.256
2017-12-27,59.67,3.257
2017-12-28,59.84,3.286
2017-12-29,60.46,3.28
2018-01-02,60.37,3.256
2018-01-03,61.61,3.237
2018-01-04,61.98,3.243
2018-01-05,61.49,3.207
2018-01-08,61.73,3.201
2018-01-09,62.92,3.195
2018-01-10,63.6,3.215
2018-01-11,63.81,3.214
2018-01-12,64.22,3.2
2018-01-15,NA,NA
2018-01-16,63.82,3.199
2018-01-17,63.92,3.167
2018-01-18,63.96,3.177
2018-01-19,63.38,3.167
2018-01-22,63.66,3.178
2018-01-23,64.45,3.09
2018-01-24,65.69,3.209
2018-01-25,65.62,3.199
2018-01-26,66.27,3.183
2018-01-29,65.71,3.178
2018-01-30,64.64,3.177
2018-01-31,64.82,3.184
2018-02-01,65.92,3.197
2018-02-02,65.5,3.177
2018-02-05,64.18,3.211
2018-02-06,63.48,3.178
2018-02-07,61.91,3.077
2018-02-08,61.3,3.072
2018-02-09,59.2,3.025
2018-02-12,59.41,3.078
2018-02-13,59.33,3.155
2018-02-14,60.7,3.229
2018-02-15,61.48,3.239
2018-02-16,61.89,3.243
2018-02-19,NA,NA
2018-02-20,61.91,3.186
2018-02-21,61.73,3.212
2018-02-22,62.72,3.238
2018-02-23,63.52,3.209
2018-02-26,63.81,3.196
2018-02-27,62.94,3.158
2018-02-28,61.43,3.108
2018-03-01,60.98,3.1
2018-03-02,61.19,3.101
2018-03-05,62.49,3.106
2018-03-06,62.54,3.137
2018-03-07,61.09,3.114
2018-03-08,60.13,3.059
2018-03-09,62.02,3.116
2018-03-12,61.35,3.104
2018-03-13,60.69,3.119
2018-03-14,60.89,3.14
2018-03-15,61.16,3.111
2018-03-16,62.29,3.093
2018-03-19,62.01,3.07
2018-03-20,63.37,3.026
2018-03-21,65.1,3.049
2018-03-22,64.25,3.012
2018-03-23,65.8,2.985
2018-03-26,65.49,2.961
2018-03-27,65.21,2.992
2018-03-28,64.3,2.994
2018-03-29,64.87,3.019
2018-04-02,63.05,3.041
2018-04-03,63.41,3.058
2018-04-04,63.35,3.007
2018-04-05,63.53,3.07
2018-04-06,62.03,3.054
2018-04-09,63.4,3.072
2018-04-10,65.48,3.131
2018-04-11,66.81,3.112
2018-04-12,67.07,3.06
2018-04-13,67.35,3.068
2018-04-16,66.23,3.092
2018-04-17,66.5,3.075
2018-04-18,68.44,3.154
2018-04-19,68.3,3.128
2018-04-20,68.26,3.132
2018-04-23,67.61,3.108
2018-04-24,67.66,3.139
2018-04-25,68,3.132
2018-04-26,68.18,3.113
2018-04-27,68.11,3.046
2018-04-30,68.56,3.053
2018-05-01,67.28,3.015
2018-05-02,67.91,3.048
2018-05-03,68.45,3.059
2018-05-04,69.71,3.066
2018-05-07,70.74,3.06
2018-05-08,68.83,3.041
2018-05-09,71.16,3.04
2018-05-10,71.36,3.093
2018-05-11,70.69,3.095
2018-05-14,71.01,3.079
2018-05-15,71.34,3.043
2018-05-16,71.43,3.059
2018-05-17,71.47,3.077
2018-05-18,71.23,3.051
2018-05-21,72.26,3.086
2018-05-22,72.09,3.119
2018-05-23,71.85,3.061
2018-05-24,70.77,3.086
2018-05-25,67.92,3.067
2018-05-29,66.8,3.052
2018-05-30,68.24,3.06
2018-05-31,66.98,3.058
2018-06-01,65.81,3.092
2018-06-04,64.76,3.127
2018-06-05,65.51,3.191
2018-06-06,64.75,3.255
2018-06-07,65.96,3.268
2018-06-08,65.77,3.293
2018-06-11,66.1,3.251
2018-06-12,66.38,3.243
2018-06-13,66.63,3.248
2018-06-14,66.91,3.217
2018-06-15,65.01,3.141
2018-06-18,65.91,3.104
2018-06-19,65.09,3.047
