Dateoil,Cushing..OK.WTI.Spot.Price.FOB..Dollars.per.Barrel.,COMEX,Date,CopperCOMEX
1-02-20,NA,"2,705",2017-02-01,2.705
1-02-20,NA,"3,197",2018-02-01,3.197
1-02-20,NA,"2,775",2019-02-01,2.775
1-02-20,NA,"3,562",2021-02-01,3.562
1-02-20,NA,"4,429",2022-02-01,4.429
1-02-20,NA,"4,111",2023-02-01,4.111
1-02-20,NA,"3,853",2024-02-01,3.853
1-03-20,NA,"2,727",2017-03-01,2.727
1-03-20,NA,"3,1",2018-03-01,3.1
1-03-20,NA,"2,934",2019-03-01,2.934
1-03-20,NA,"4,12",2021-03-01,4.12
1-03-20,NA,"4,587",2022-03-01,4.587
1-03-20,NA,"4,168",2023-03-01,4.168
1-03-20,NA,"3,855",2024-03-01,3.855
1-04-20,NA,"2,921",2019-04-01,2.921
1-04-20,NA,"2,192",2020-04-01,2.192
1-04-20,NA,"4,004",2021-04-01,4.004
1-04-20,NA,"4,683",2022-04-01,4.683
1-05-20,NA,"2,65",2017-05-01,2.65
1-05-20,NA,"3,015",2018-05-01,3.015
1-05-20,NA,"2,803",2019-05-01,2.803
1-05-20,NA,"2,319",2020-05-01,2.319
1-05-20,NA,"3,917",2023-05-01,3.917
1-06-20,NA,"2,585",2017-06-01,2.585
1-06-20,NA,"3,092",2018-06-01,3.092
1-06-20,NA,"2,475",2020-06-01,2.475
1-06-20,NA,"4,662",2021-06-01,4.662
1-06-20,NA,"4,33",2022-06-01,4.33
1-06-20,NA,"3,707",2023-06-01,3.707
1-07-20,NA,"2,68",2019-07-01,2.68
1-07-20,NA,"2,717",2020-07-01,2.717
1-07-20,NA,"4,242",2021-07-01,4.242
1-07-20,NA,"3,619",2022-07-01,3.619
1-08-20,NA,"2,879",2017-08-01,2.879
1-08-20,NA,"2,735",2018-08-01,2.735
1-08-20,NA,"2,66",2019-08-01,2.66
1-08-20,NA,"3,552",2022-08-01,3.552
1-08-20,NA,"3,894",2023-08-01,3.894
1-09-20,NA,"3,098",2017-09-01,3.098
1-09-20,NA,"3,01",2020-09-01,3.01
1-09-20,NA,"4,263",2021-09-01,4.263
1-09-20,NA,"3,415",2022-09-01,3.415
1-09-20,NA,"3,813",2023-09-01,3.813
1-10-20,NA,"2,774",2018-10-01,2.774
1-10-20,NA,"2,552",2019-10-01,2.552
1-10-20,NA,"2,864",2020-10-01,2.864
1-10-20,NA,"4,194",2021-10-01,4.194
1-11-20,NA,"3,133",2017-11-01,3.133
1-11-20,NA,"2,722",2018-11-01,2.722
1-11-20,NA,"2,651",2019-11-01,2.651
1-11-20,NA,"4,402",2021-11-01,4.402
1-11-20,NA,"3,51",2022-11-01,3.51
1-11-20,NA,"3,645",2023-11-01,3.645
1-12-20,NA,"3,066",2017-12-01,3.066
1-12-20,NA,"3,468",2020-12-01,3.468
1-12-20,NA,"4,248",2021-12-01,4.248
1-12-20,NA,"3,814",2022-12-01,3.814
1-12-20,NA,"3,909",2023-12-01,3.909
2-01-20,NA,"3,256",2018-01-02,3.256
2-01-20,NA,"2,625",2019-01-02,2.625
2-01-20,NA,"2,833",2020-01-02,2.833
2-01-20,NA,"3,869",2024-01-02,3.869
2-02-20,NA,"2,678",2017-02-02,2.678
2-02-20,NA,"3,177",2018-02-02,3.177
2-02-20,NA,"3,539",2021-02-02,3.539
2-02-20,NA,"4,491",2022-02-02,4.491
2-02-20,NA,"4,094",2023-02-02,4.094
2-02-20,NA,"3,822",2024-02-02,3.822
2-03-20,NA,"2,68",2017-03-02,2.68
2-03-20,NA,"3,101",2018-03-02,3.101
2-03-20,NA,"2,601",2020-03-02,2.601
2-03-20,NA,"4,232",2021-03-02,4.232
2-03-20,NA,"4,656",2022-03-02,4.656
2-03-20,NA,"4,084",2023-03-02,4.084
2-04-20,NA,"3,041",2018-04-02,3.041
2-04-20,NA,"2,904",2019-04-02,2.904
2-04-20,NA,"2,233",2020-04-02,2.233
2-05-20,NA,"2,625",2017-05-02,2.625
2-05-20,NA,"3,048",2018-05-02,3.048
2-05-20,NA,"2,784",2019-05-02,2.784
2-05-20,NA,"4,256",2022-05-02,4.256
2-05-20,NA,"3,848",2023-05-02,3.848
2-06-20,NA,"2,572",2017-06-02,2.572
2-06-20,NA,"2,495",2020-06-02,2.495
2-06-20,NA,"4,6",2021-06-02,4.6
2-06-20,NA,"4,554",2022-06-02,4.554
2-06-20,NA,"3,723",2023-06-02,3.723
2-07-20,NA,"2,932",2018-07-02,2.932
2-07-20,NA,"2,658",2019-07-02,2.658
2-07-20,NA,"2,734",2020-07-02,2.734
2-07-20,NA,"4,282",2021-07-02,4.282
2-08-20,NA,"2,883",2017-08-02,2.883
2-08-20,NA,"2,727",2018-08-02,2.727
2-08-20,NA,"2,565",2019-08-02,2.565
2-08-20,NA,"4,432",2021-08-02,4.432
2-08-20,NA,"3,525",2022-08-02,3.525
2-08-20,NA,"3,828",2023-08-02,3.828
2-09-20,NA,"3,003",2020-09-02,3.003
2-09-20,NA,"4,29",2021-09-02,4.29
2-09-20,NA,"3,422",2022-09-02,3.422
2-10-20,NA,"2,94",2017-10-02,2.94
2-10-20,NA,"2,795",2018-10-02,2.795
2-10-20,NA,"2,562",2019-10-02,2.562
2-10-20,NA,"2,979",2020-10-02,2.979
2-10-20,NA,"3,632",2023-10-02,3.632
2-11-20,NA,"3,136",2017-11-02,3.136
2-11-20,NA,"2,803",2018-11-02,2.803
2-11-20,NA,"3,074",2020-11-02,3.074
2-11-20,NA,"4,374",2021-11-02,4.374
2-11-20,NA,"3,506",2022-11-02,3.506
2-11-20,NA,"3,667",2023-11-02,3.667
2-12-20,NA,"2,633",2019-12-02,2.633
2-12-20,NA,"3,475",2020-12-02,3.475
2-12-20,NA,"4,299",2021-12-02,4.299
2-12-20,NA,"3,848",2022-12-02,3.848
3-01-20,NA,"2,481",2017-01-03,2.481
3-01-20,NA,"3,237",2018-01-03,3.237
3-01-20,NA,"2,571",2019-01-03,2.571
3-01-20,NA,"2,799",2020-01-03,2.799
3-01-20,NA,"4,415",2022-01-03,4.415
3-01-20,NA,"3,766",2023-01-03,3.766
3-01-20,NA,"3,848",2024-01-03,3.848
3-02-20,NA,"2,61",2017-02-03,2.61
