"Date","n.ahead","N","n.start","n.roll","X1975.01.21","X1975.01.21.1"
2,18,1846,0,0,147.953410726613,8416.75731247869
3,18,1846,0,0,147.953410726613,8415.73188886381
4,18,1846,0,0,147.953410726613,8414.70683344257
2,18,1846,0,0,147.953410726613,8413.68214608275
3,18,1846,0,0,147.953410726613,8412.65782665219
4,18,1846,0,0,147.953410726613,8411.63387501878
2,18,1846,0,0,147.953410726613,8410.61029105047
3,18,1846,0,0,147.953410726613,8409.58707461524
4,18,1846,0,0,147.953410726613,8408.56422558112
2,18,1846,0,0,147.953410726613,8407.54174381618
3,18,1846,0,0,147.953410726613,8406.51962918855
4,18,1846,0,0,147.953410726613,8405.49788156642
2,18,1846,0,0,147.953410726613,8404.47650081799
3,18,1846,0,0,147.953410726613,8403.45548681155
4,18,1846,0,0,147.953410726613,8402.43483941539
2,18,1846,0,0,147.953410726613,8401.4145584979
3,18,1846,0,0,147.953410726613,8400.39464392747
4,18,1846,0,0,147.953410726613,8399.37509557256
