"","x"
"1",0.0424493322356404
"2",0.0424538832223891
"3",0.0424572521708479
"4",0.0424573854914401
"5",0.0424605960954136
"6",0.0424624017900105
"7",0.0424645495037311
"8",0.0424667306497691
"9",0.0424689216306911
"10",0.04247111550477
"11",0.0424733102299375
"12",0.0424755052054722
"13",0.0424777002546582
"14",0.0424798953255103
"15",0.0424820904027361
"16",0.0424842854818369
"17",0.0424864805614891
"18",0.0424886756413037
"19",0.042490870721166
"20",0.0424930658010423
"21",0.0424952608809227
"22",0.0424974559608044
"23",0.0424996510406864
