"date","Forecast"
2024-07-12,30927.5012001836
2024-07-13,31022.5763249636
2024-07-14,31003.7529721491
2024-07-17,32874.766140933
2024-07-18,32833.5260478327
2024-07-19,32840.5459257878
2024-07-20,30859.9447421768
2024-07-21,30885.9942638979
2024-07-22,30876.5445629312
2024-07-26,29325.568217295
2024-07-27,29389.7684511041
2024-07-28,29318.5571284081
2024-07-31,28776.0946521649
2024-08-01,28746.8942329467
2024-08-02,28694.1918118355
2024-08-03,29949.9102084992
2024-08-04,29959.1897570442
2024-08-05,29999.1841818595
2024-08-07,29421.2730232793
2024-08-08,29329.6966736941
2024-08-09,29361.910628595
2024-08-10,29628.8699324133
2024-08-11,29660.3751824359
2024-08-12,29609.9222337481
2024-08-13,30687.8022046674
2024-08-14,30766.0925157275
2024-08-15,30722.7818268418
2024-08-16,30060.6841717406
2024-08-17,31389.9616672001
2024-08-18,30300.3826597349
2024-08-19,30254.7868934005
2024-08-20,29683.1356964298
2024-08-21,29671.4608916223
2024-08-22,29695.672441273
2024-08-23,30402.3704539534
2024-08-24,31405.1911991169
