"Date","Price","Forecast"
2024-07-23,7.9003,7.85854285864528
2024-07-24,7.8934,7.85796309686572
2024-07-25,7.8331,7.85738333508615
2024-07-26,7.875,7.85680357330659
2024-07-29,7.8518,7.85622381152703
2024-07-30,7.8489,7.85564404974747
2024-07-31,7.8194,7.85506428796791
2024-08-01,7.8203,7.85448452618835
2024-08-02,7.8075,7.85390476440879
2024-08-05,7.8046,7.85332500262923
2024-08-06,7.8071,7.85274524084967
2024-08-07,7.8425,7.8034208042711
2024-08-08,7.8393,7.80283120640666
2024-08-09,7.828,7.80224160854221
2024-08-12,7.8439,7.80165201067776
2024-08-13,7.8301,7.80106241281331
2024-08-14,7.8627,7.80047281494887
2024-08-15,7.8816,7.79988321708442
2024-08-16,7.8758,7.79929361921997
2024-08-19,7.8848,7.79870402135552
2024-08-20,7.9192,7.79811442349108
2024-08-21,7.9306,7.79752482562663
