"Date","Price","Forecast"
2024-07-30,116.98,116.959463129108
2024-07-31,116.86,116.954754314162
2024-08-01,116.97,116.96194497494
2024-08-02,116.9,116.963236175553
2024-08-05,116.92,116.955587375492
2024-08-06,116.9,116.957859577424
2024-08-07,116.9,116.964309184001
2024-08-08,116.91,116.954433064368
2024-08-09,116.9,116.947443403917
2024-08-12,116.89,116.943637218168
2024-08-13,116.85,116.949913058904
2024-08-14,116.89,116.954523286315
2024-08-15,116.9,116.949058774586
2024-08-16,116.91,116.943779979201
2024-08-19,117,116.948357379776
2024-08-20,117.036,116.954161737948
2024-08-21,117.04,116.950524956039
2024-08-22,117.042,116.944342206171
