"Date","Price","Forecast"
2024-07-30,4.598,4.60014843901746
2024-07-31,4.5935,4.60046789197613
2024-08-01,4.6079,4.60097144357521
2024-08-02,4.5576,4.60130466030995
2024-08-05,4.5412,4.60179577020733
2024-08-06,4.5512,4.60214066110083
2024-08-08,4.5561,4.56554470509179
2024-08-09,4.5573,4.56779679983028
2024-08-12,4.5507,4.56895709997511
2024-08-13,4.5243,4.57021986102627
2024-08-14,4.5165,4.56961632622198
2024-08-15,4.5329,4.56720759613218
2024-08-16,4.5098,4.56913800273514
2024-08-19,4.4894,4.56892281113768
2024-08-20,4.4728,4.56868150824044
2024-08-21,4.462,4.57041557904209
2024-08-22,4.4666,4.569518917636
