Date;Price
03/01/2023;25050
04/01/2023;25250
05/01/2023;25100
06/01/2023;25250
09/01/2023;25600
10/01/2023;25600
11/01/2023;26600
12/01/2023;27475
13/01/2023;28530
16/01/2023;28125
17/01/2023;28100
18/01/2023;28650
19/01/2023;28650
20/01/2023;29725
23/01/2023;29900
24/01/2023;29950
25/01/2023;30325
26/01/2023;31450
27/01/2023;32050
30/01/2023;29515
01/02/2023;29550
02/02/2023;29250
03/02/2023;28650
06/02/2023;26805
07/02/2023;27050
08/02/2023;28050
09/02/2023;27675
13/02/2023;27550
14/02/2023;27125
15/02/2023;26325
16/02/2023;26700
17/02/2023;26525
21/02/2023;26850
22/02/2023;26850
23/02/2023;26500
24/02/2023;25925
27/02/2023;25250
28/02/2023;25110
01/03/2023;25650
02/03/2023;24850
03/03/2023;24125
06/03/2023;24350
07/03/2023;24350
08/03/2023;23495
09/03/2023;23005
10/03/2023;22500
13/03/2023;22900
14/03/2023;22550
15/03/2023;22675
16/03/2023;22225
17/03/2023;22435
20/03/2023;22800
21/03/2023;23145
22/03/2023;23300
23/03/2023;23850
24/03/2023;24375
27/03/2023;25625
28/03/2023;26050
29/03/2023;26100
30/03/2023;25900
31/03/2023;26075
03/04/2023;25900
04/04/2023;25825
05/04/2023;24675
06/04/2023;24950
11/04/2023;24050
12/04/2023;23940
13/04/2023;24795
14/04/2023;24800
17/04/2023;27225
18/04/2023;27660
19/04/2023;26750
20/04/2023;27250
21/04/2023;27000
24/04/2023;26950
25/04/2023;26270
26/04/2023;25610
27/04/2023;25950
28/04/2023;26350
02/05/2023;26800
03/05/2023;27125
04/05/2023;27000
05/05/2023;26300
09/05/2023;26325
10/05/2023;26010
11/05/2023;26075
12/05/2023;25025
15/05/2023;25700
16/05/2023;24925
17/05/2023;25150
18/05/2023;25405
19/05/2023;25550
22/05/2023;25150
23/05/2023;24300
24/05/2023;24550
25/05/2023;24725
26/05/2023;25000
30/05/2023;25705
31/05/2023;25375
01/06/2023;25575
02/06/2023;26295
05/06/2023;26000
06/06/2023;26250
07/06/2023;26050
08/06/2023;25950
09/06/2023;27075
12/06/2023;26350
13/06/2023;26625
14/06/2023;27100
15/06/2023;28900
16/06/2023;28325
19/06/2023;28600
20/06/2023;28795
21/06/2023;28595
22/06/2023;28650
23/06/2023;28195
26/06/2023;26700
27/06/2023;27650
28/06/2023;27500
29/06/2023;26900
30/06/2023;27700
03/07/2023;27700
04/07/2023;28150
05/07/2023;28050
06/07/2023;29050
07/07/2023;29050
10/07/2023;28800
11/07/2023;28750
12/07/2023;28500
13/07/2023;29450
14/07/2023;29025
17/07/2023;28800
18/07/2023;28925
19/07/2023;28350
20/07/2023;29250
21/07/2023;28900
24/07/2023;28250
25/07/2023;28875
26/07/2023;28800
27/07/2023;29450
28/07/2023;28755
31/07/2023;28900
01/08/2023;27560
02/08/2023;27250
