"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2024","26.4690","26.4910","26.4910","26.4690","","-0.08%"
"04/28/2024","26.4910","26.4910","26.4910","26.4910","","0.68%"
"04/26/2024","26.3130","26.4984","26.5772","26.3571","","-0.47%"
"04/25/2024","26.4373","26.4265","26.6602","26.3081","","0.04%"
"04/24/2024","26.4266","26.4175","26.5477","26.2969","","0.26%"
"04/23/2024","26.3591","26.3040","26.5138","26.2938","","0.44%"
"04/22/2024","26.2433","26.3076","26.4785","26.1907","","-0.02%"
"04/19/2024","26.2493","26.2792","26.5047","26.2230","","0.10%"
"04/18/2024","26.2222","26.3495","26.5085","26.2076","","-0.26%"
"04/17/2024","26.2912","26.2833","26.4352","26.1198","","0.62%"
"04/16/2024","26.1284","26.2285","26.3463","26.1705","","-0.16%"
"04/15/2024","26.1705","26.2585","26.4623","26.1373","","-0.18%"
"04/12/2024","26.2176","26.4795","26.5455","26.1853","","-0.76%"
"04/11/2024","26.4196","26.6290","26.6868","26.4093","","-0.77%"
"04/10/2024","26.6241","26.7994","26.9002","26.4237","","-0.43%"
"04/09/2024","26.7402","26.8043","27.0130","26.7099","","-0.02%"
"04/08/2024","26.7451","26.7638","26.8682","26.7070","","0.21%"
"04/05/2024","26.6899","26.7465","26.9461","26.6355","","0.00%"
"04/04/2024","26.6899","26.7391","26.9776","26.6991","","0.00%"
"04/03/2024","26.6899","26.5896","26.8082","26.5639","","0.62%"
"04/02/2024","26.5259","26.5203","26.6081","26.4722","","0.23%"
"04/01/2024","26.4654","26.6302","26.6586","26.4810","","-1.12%"
"03/29/2024","26.7654","26.6351","26.8417","26.5608","","0.72%"
"03/28/2024","26.5738","26.7656","26.8757","26.5720","","-0.26%"
"03/27/2024","26.6428","26.8622","26.9211","26.6459","","-0.82%"
"03/26/2024","26.8634","26.7535","26.9544","26.6661","","0.63%"
"03/25/2024","26.6956","26.6839","26.9240","26.6320","","0.27%"
"03/22/2024","26.6224","26.8242","26.9541","26.6234","","-0.39%"
"03/21/2024","26.7265","26.9636","27.0898","26.7660","","-0.69%"
"03/20/2024","26.9115","26.8722","27.0592","26.7206","","0.65%"
"03/19/2024","26.7388","26.8835","27.0362","26.7524","","-0.05%"
"03/18/2024","26.7535","26.8992","26.9439","26.8172","","-0.28%"
"03/15/2024","26.8299","26.8755","26.9678","26.8417","","0.05%"
"03/14/2024","26.8162","27.0348","27.2052","26.8493","","-0.59%"
"03/13/2024","26.9740","26.9842","27.0769","26.9657","","0.19%"
"03/12/2024","26.9222","26.9793","27.1485","26.8843","","-0.02%"
"03/11/2024","26.9271","27.1138","27.1757","26.9151","","-0.10%"
"03/08/2024","26.9542","27.0361","27.1632","26.9160","","-0.08%"
"03/07/2024","26.9764","26.9102","27.0410","26.8373","","0.45%"
"03/06/2024","26.8557","26.8761","27.1257","26.7742","","0.49%"
"03/05/2024","26.7250","26.8100","26.9111","26.7705","","-0.10%"
"03/04/2024","26.7508","26.7766","26.8384","26.7643","","-0.48%"
"03/01/2024","26.8808","26.6793","26.9144","26.6649","","0.96%"
"02/29/2024","26.6240","26.7595","26.8873","26.5891","","-0.30%"
"02/28/2024","26.7053","26.7782","26.9238","26.6531","","-0.07%"
"02/27/2024","26.7240","26.7894","26.9536","26.7087","","-0.04%"
"02/26/2024","26.7352","26.7305","26.9476","26.6971","","0.29%"
"02/23/2024","26.6566","26.7255","26.8904","26.6762","","-0.05%"
"02/22/2024","26.6690","26.8237","26.9422","26.6590","","-0.60%"
"02/21/2024","26.8312","26.6782","26.8634","26.5998","","0.81%"
"02/20/2024","26.6143","26.6047","26.7738","26.5690","","0.26%"
"02/19/2024","26.5459","26.5986","26.6332","26.5616","","0.03%"
"02/16/2024","26.5385","26.5804","26.7169","26.4671","","0.04%"
