"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","10.8471","10.8471","10.8471","10.8471","","0.00%"
"04/29/2024","10.8471","10.8365","10.8471","10.8365","","0.10%"
"04/28/2024","10.8365","10.8365","10.8365","10.8365","","-0.02%"
"04/26/2024","10.8390","10.8651","10.8772","10.8222","","-0.19%"
"04/25/2024","10.8594","10.8493","10.8826","10.8251","","0.14%"
"04/24/2024","10.8446","10.8464","10.8768","10.8266","","0.03%"
"04/23/2024","10.8417","10.8165","10.8581","10.7971","","0.29%"
"04/22/2024","10.8108","10.8106","10.8279","10.7857","","0.05%"
"04/19/2024","10.8059","10.7828","10.8293","10.7606","","0.26%"
"04/18/2024","10.7775","10.8196","10.8343","10.7741","","-0.35%"
"04/17/2024","10.8150","10.7935","10.8342","10.7850","","0.24%"
"04/16/2024","10.7890","10.8094","10.8247","10.7853","","-0.22%"
"04/15/2024","10.8132","10.6620","10.8348","10.6569","","1.46%"
"04/12/2024","10.6580","10.7517","10.7557","10.6469","","-0.77%"
"04/11/2024","10.7412","10.7743","10.7828","10.7236","","-0.25%"
"04/10/2024","10.7676","10.8877","10.9018","10.7575","","-1.05%"
"04/09/2024","10.8816","10.8810","10.9126","10.8691","","0.02%"
"04/08/2024","10.8791","10.9070","10.9080","10.8532","","-0.16%"
"04/05/2024","10.8962","10.9135","10.9262","10.8692","","-0.12%"
"04/04/2024","10.9098","10.9015","10.9433","10.8893","","0.08%"
"04/03/2024","10.9008","10.8509","10.9073","10.8429","","0.52%"
"04/02/2024","10.8441","10.8649","10.8693","10.8213","","-0.16%"
"04/01/2024","10.8617","10.8788","10.8919","10.8528","","-0.16%"
"03/29/2024","10.8792","10.9190","10.9339","10.8595","","-0.31%"
"03/28/2024","10.9132","10.9795","10.9913","10.9071","","-0.57%"
"03/27/2024","10.9754","10.9604","11.0202","10.9467","","0.17%"
"03/26/2024","10.9567","10.9424","10.9789","10.9236","","0.21%"
