"Date","Price","Open","High","Low","Vol.","Change.."
2024-08-22,61.525,61.615,61.615,61.525,NA,"-0.15%"
2024-08-21,61.615,61.535,61.615,61.525,NA,"+0.13%"
2024-08-20,61.535,61.615,61.62,61.525,NA,"-0.27%"
2024-08-19,61.7,61.71,61.94,61.47,NA,"+0.47%"
2024-08-16,61.41,61.585,61.745,61.5,NA,"+0.20%"
2024-08-15,61.29,61.585,61.685,61.35,NA,"+0.08%"
2024-08-14,61.24,61.905,61.945,61.52,NA,"-0.46%"
2024-08-13,61.52,61.595,61.945,61.495,NA,"+0.41%"
2024-08-12,61.27,61.515,61.66,61.49,NA,"+0.08%"
2024-08-09,61.22,61.66,61.71,61.49,NA,"-0.20%"
2024-08-08,61.34,61.535,61.68,61.49,NA,"+0.20%"
2024-08-07,61.22,61.605,61.63,61.46,NA,"-0.16%"
2024-08-06,61.32,62.355,62.42,61.505,NA,"-1.26%"
2024-08-05,62.1,62.21,62.7,62.035,NA,"+0.27%"
2024-08-02,61.93,61.445,62.235,61.405,NA,"+1.11%"
2024-08-01,61.25,61.665,61.72,61.36,NA,"-0.47%"
2024-07-31,61.54,61.69,61.8,61.52,NA,"-0.05%"
2024-07-30,61.57,61.445,61.71,61.405,NA,"+0.41%"
2024-07-29,61.32,61.61,61.645,61.335,NA,"-0.23%"
2024-07-26,61.46,61.63,61.71,61.535,NA,"+0.02%"
2024-07-25,61.45,61.465,61.79,61.43,NA,"+0.24%"
2024-07-24,61.3,61.605,61.66,61.325,NA,"-0.31%"
2024-07-23,61.49,61.67,61.7,61.555,NA,"-0.10%"
2024-07-22,61.55,61.595,61.725,61.555,NA,"+0.15%"
2024-08-18,61.535,61.535,61.535,61.535,NA,"+0.20%"
2024-07-19,61.46,61.55,61.685,61.4,NA,"+0.03%"
2024-07-18,61.44,61.55,61.715,61.44,NA,"+0.28%"
2024-07-17,61.27,61.65,61.75,61.445,NA,"-0.18%"
2024-07-16,61.38,61.5,61.745,61.39,NA,"0.00%"
2024-07-15,61.38,61.53,61.7,61.42,NA,"+0.03%"
2024-08-11,61.53,61.53,61.53,61.53,NA,"+0.51%"
2024-07-12,61.36,61.465,61.735,61.39,NA,"+0.08%"
2024-07-11,61.31,61.655,61.895,61.39,NA,"-0.37%"
2024-07-10,61.54,61.495,61.695,61.455,NA,"+0.51%"
2024-07-09,61.23,61.46,61.69,61.4,NA,"+0.10%"
2024-07-08,61.17,61.58,61.745,61.405,NA,"-0.73%"
2024-08-04,61.61,61.615,61.615,61.61,NA,"-0.01%"
2024-08-03,61.615,61.615,61.615,61.615,NA,"-0.51%"
2024-07-28,61.32,61.61,61.645,61.335,NA,"-0.23%"
2024-07-21,61.55,61.595,61.725,61.555,NA,"+0.15%"
2024-07-14,61.38,61.53,61.7,61.42,NA,"+0.03%"
2024-07-07,61.17,61.58,61.745,61.405,NA,"-0.73%"
2024-07-04,61.62,61.605,61.8,61.46,NA,"+0.46%"
2024-07-03,61.34,61.54,61.7,61.48,NA,"+0.05%"
2024-07-02,61.31,61.535,61.645,61.425,NA,"+0.08%"
2024-07-01,61.26,61.58,61.63,61.48,NA,"-0.05%"
2024-06-30,61.29,61.845,62.12,61.41,NA,"-0.36%"
2024-06-28,61.51,61.695,61.825,61.58,"","0.10%"
2024-06-27,61.45,61.49,61.835,61.48,"","0.42%"
2024-06-26,61.19,61.685,61.715,61.405,"","-0.33%"
2024-06-25,61.39,61.83,61.885,61.575,"","-0.28%"
2024-06-24,61.56,61.59,61.93,61.56,"","0.28%"
2024-06-21,61.39,61.67,61.78,61.49,"","-0.08%"
2024-06-20,61.44,61.615,61.765,61.445,"","-0.08%"
2024-06-19,61.49,61.595,61.695,61.455,"","0.02%"
2024-06-18,61.48,61.855,61.895,61.47,"","-0.24%"
2024-06-17,61.63,61.755,61.89,61.49,"","0.00%"
2024-06-14,61.63,61.505,61.83,61.44,"","0.54%"
2024-06-13,61.3,61.54,61.76,61.16,"","-0.08%"
2024-06-12,61.35,61.67,61.91,61.445,"","-0.10%"
2024-06-11,61.41,61.69,61.775,61.46,"","-0.18%"
2024-06-10,61.52,61.49,61.715,61.205,"","0.36%"
2024-06-07,61.3,61.64,61.715,61.32,"","-0.34%"
2024-06-06,61.51,61.66,61.845,61.465,"","0.21%"
2024-06-05,61.38,61.655,61.82,61.53,"","-0.26%"
2024-06-04,61.54,61.855,61.93,61.53,"","-0.05%"
2024-06-03,61.57,61.715,61.99,61.445,"","0.23%"
2024-05-31,61.43,61.64,61.77,61.385,"","0.00%"
2024-05-30,61.43,61.39,61.71,61.25,"","0.36%"
2024-05-29,61.21,61.615,61.705,61.265,"","-0.26%"
2024-05-28,61.37,61.63,61.805,61.53,"","-0.03%"
2024-05-27,61.39,61.68,61.71,61.485,"","-0.15%"
2024-05-24,61.48,61.485,61.735,61.42,"","0.20%"
2024-05-23,61.36,61.405,61.755,61.34,"","0.36%"
2024-05-22,61.14,61.55,61.695,61.39,"","-0.24%"
2024-05-21,61.29,61.56,61.72,61.46,"","-0.13%"
2024-05-20,61.37,61.73,61.835,61.49,"","-0.42%"
2024-05-17,61.63,61.55,61.805,61.45,"","0.55%"
2024-05-16,61.29,61.775,61.835,61.455,"","-0.31%"
2024-05-15,61.48,61.655,61.835,61.48,"","0.11%"
2024-05-14,61.41,61.72,61.905,61.37,"","0.00%"
2024-05-13,61.41,61.68,61.795,61.465,"","0.05%"
2024-05-10,61.38,61.685,61.78,61.505,"","-0.27%"
2024-05-09,61.545,61.615,61.615,61.545,"","0.61%"
2024-05-08,61.17,61.425,61.595,61.31,"","-0.16%"
2024-05-07,61.27,62.06,62.1,61.39,"","-0.84%"
2024-05-06,61.79,62.01,62.18,61.965,"","0.10%"
2024-05-03,61.73,61.8,62.305,61.785,"","0.33%"
2024-05-02,61.53,61.66,61.835,61.435,"","0.21%"
2024-05-01,61.4,61.4,61.795,61.305,"","0.43%"
2024-04-30,61.14,61.775,61.785,61.295,"","-0.62%"
2024-04-29,61.52,61.48,61.825,61.44,"","0.52%"
2024-04-26,61.2,61.61,61.755,61.355,"","-0.21%"
2024-04-25,61.33,61.72,61.94,61.43,"","-0.11%"
2024-04-24,61.4,61.755,61.835,61.605,"","-0.13%"
2024-04-23,61.48,61.64,61.97,61.51,"","0.18%"
2024-04-22,61.37,61.56,61.735,61.475,"","-0.10%"
2024-04-19,61.43,61.575,61.715,61.375,"","-0.03%"
2024-04-18,61.45,61.79,61.875,61.48,"","-0.16%"
2024-04-17,61.55,61.5,61.86,61.415,"","0.36%"
2024-04-16,61.33,61.535,61.7,61.405,"","-0.13%"
2024-04-15,61.41,61.56,61.74,61.385,"","0.08%"
2024-04-12,61.36,61.45,61.705,61.32,"","0.26%"
2024-04-11,61.2,61.33,61.665,61.215,"","0.43%"
2024-04-10,60.94,61.465,61.61,60.785,"","-0.46%"
2024-04-09,61.22,61.675,61.71,61.41,"","-0.46%"
2024-04-08,61.5,61.865,61.87,61.495,"","-0.34%"
2024-04-05,61.71,61.345,61.88,61.26,"","0.92%"
