"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","18.2120","18.2323","18.2505","18.2034","","-0.10%"
"04/29/2024","18.2297","18.3791","18.4847","18.2239","","-0.81%"
"04/28/2024","18.3791","18.3444","18.3827","18.3314","","0.20%"
"04/26/2024","18.3429","18.4671","18.5627","18.3003","","-0.57%"
"04/25/2024","18.4485","18.2656","18.5912","18.2325","","1.12%"
"04/24/2024","18.2444","18.1494","18.3365","18.0735","","0.67%"
"04/23/2024","18.1230","18.2594","18.3168","18.1339","","-0.69%"
"04/22/2024","18.2487","18.2229","18.3307","18.1380","","0.27%"
"04/19/2024","18.1992","18.1786","19.0475","18.1305","","0.14%"
"04/18/2024","18.1729","18.1041","18.3062","18.0632","","0.44%"
"04/17/2024","18.0927","18.1309","18.1618","17.9564","","-0.11%"
"04/16/2024","18.1130","17.7617","18.1773","17.7363","","2.04%"
"04/15/2024","17.7505","17.7010","17.7997","17.6269","","0.27%"
"04/12/2024","17.7031","17.6169","17.8153","17.5457","","0.45%"
"04/11/2024","17.6241","17.6491","17.7070","17.5853","","-0.16%"
"04/10/2024","17.6519","17.7923","17.8118","17.6441","","-0.74%"
"04/09/2024","17.7831","17.7201","17.8335","17.6545","","0.41%"
"04/08/2024","17.7111","17.8404","17.8743","17.6966","","-0.63%"
"04/05/2024","17.8232","17.9749","18.0047","17.7605","","-0.80%"
"04/04/2024","17.9676","17.9249","18.0119","17.9108","","0.30%"
"04/03/2024","17.9146","17.8289","17.9581","17.8200","","0.62%"
"04/02/2024","17.8049","17.8514","17.9037","17.7824","","-0.15%"
"04/01/2024","17.8320","17.8606","17.9151","17.8202","","-0.05%"
"03/29/2024","17.8418","17.9438","17.9601","17.8405","","-0.49%"
"03/28/2024","17.9302","17.9118","17.9723","17.8685","","0.24%"
"03/27/2024","17.8878","18.0396","18.0666","17.8662","","-0.67%"
"03/26/2024","18.0086","18.0791","18.1506","18.0147","","-0.32%"
"03/25/2024","18.0669","18.1229","18.1460","18.0580","","-0.22%"
"03/22/2024","18.1059","18.1821","18.2169","18.0608","","-0.38%"
