"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"04/30/2024,""4.9758"",""4.9759"",""4.9768"",""4.9757"","""",""0.00%"""
"04/29/2024,""4.9759"",""4.9769"",""4.9769"",""4.9756"","""",""-0.02%"""
"04/28/2024,""4.9769"",""4.9769"",""4.9769"",""4.9769"","""",""0.10%"""
"04/26/2024,""4.9718"",""4.9763"",""4.9869"",""4.9720"","""",""-0.04%"""
"04/25/2024,""4.9737"",""4.9762"",""4.9878"",""4.9709"","""",""0.01%"""
"04/24/2024,""4.9731"",""4.9763"",""4.9812"",""4.9720"","""",""0.00%"""
"04/23/2024,""4.9731"",""4.9756"",""4.9858"",""4.9718"","""",""0.04%"""
"04/22/2024,""4.9713"",""4.9760"",""4.9806"",""4.9717"","""",""0.00%"""
"04/19/2024,""4.9714"",""4.9767"",""4.9811"",""4.9723"","""",""-0.05%"""
"04/18/2024,""4.9740"",""4.9755"",""4.9810"",""4.9717"","""",""0.03%"""
"04/17/2024,""4.9724"",""4.9762"",""4.9801"",""4.9717"","""",""0.00%"""
"04/16/2024,""4.9726"",""4.9752"",""4.9809"",""4.9633"","""",""0.03%"""
"04/15/2024,""4.9709"",""4.9710"",""4.9794"",""4.9590"","""",""0.05%"""
"04/12/2024,""4.9683"",""4.9719"",""4.9767"",""4.9668"","""",""-0.01%"""
"04/11/2024,""4.9686"",""4.9703"",""4.9782"",""4.9658"","""",""0.04%"""
"04/10/2024,""4.9664"",""4.9696"",""4.9745"",""4.9525"","""",""0.02%"""
"04/09/2024,""4.9652"",""4.9688"",""4.9734"",""4.9646"","""",""0.01%"""
"04/08/2024,""4.9647"",""4.9699"",""4.9728"",""4.9628"","""",""0.08%"""
"04/05/2024,""4.9609"",""4.9683"",""4.9731"",""4.9521"","""",""-0.07%"""
"04/04/2024,""4.9645"",""4.9691"",""4.9755"",""4.9651"","""",""-0.03%"""
"04/03/2024,""4.9659"",""4.9698"",""4.9766"",""4.9654"","""",""-0.01%"""
"04/02/2024,""4.9666"",""4.9706"",""4.9762"",""4.9621"","""",""-0.03%"""
"04/01/2024,""4.9680"",""4.9701"",""4.9751"",""4.9630"","""",""0.05%"""
"03/29/2024,""4.9654"",""4.9696"",""4.9745"",""4.9651"","""",""0.00%"""
"03/28/2024,""4.9656"",""4.9732"",""4.9771"",""4.9668"","""",""-0.09%"""
"03/27/2024,""4.9703"",""4.9696"",""4.9764"",""4.9668"","""",""0.09%"""
