"Date","Price","Open","High","Low","Vol.","Change.."
2024-08-22,117.042,117.04,117.045,117.039,NA,"0.00%"
2024-08-21,117.04,117.036,117.1,117.036,NA,"0.00%"
2024-08-20,117.036,117.03,117.105,117.029,NA,"+0.03%"
2024-08-19,117,116.97,117.315,116.915,NA,"+0.08%"
2024-08-16,116.91,117.025,117.165,116.95,NA,"+0.01%"
2024-08-15,116.9,116.995,117.165,116.86,NA,"+0.01%"
2024-08-14,116.89,116.985,117.175,116.865,NA,"+0.03%"
2024-08-13,116.85,117,117.205,116.915,NA,"-0.03%"
2024-08-12,116.89,116.995,117.125,116.92,NA,"-0.01%"
2024-08-09,116.9,117.02,117.145,116.81,NA,"-0.01%"
2024-08-08,116.91,117.015,117.175,116.845,NA,"+0.01%"
2024-08-07,116.9,117.02,117.16,116.815,NA,"0.00%"
2024-08-06,116.9,117.035,117.145,116.885,NA,"-0.02%"
2024-08-05,116.92,117.14,117.325,116.78,NA,"+0.02%"
2024-08-02,116.9,116.995,117.41,116.875,NA,"-0.06%"
2024-08-01,116.97,117.05,117.225,116.915,NA,"+0.09%"
2024-07-31,116.86,117.04,117.19,116.875,NA,"-0.10%"
2024-07-30,116.98,117.075,117.2,116.68,NA,"+0.04%"
2024-07-29,116.93,117.145,117.24,116.94,NA,"-0.02%"
2024-07-26,116.95,117.06,117.18,116.94,NA,"+0.03%"
2024-07-25,116.91,117.06,117.175,116.91,NA,"-0.02%"
2024-07-24,116.93,117.04,117.185,116.77,NA,"+0.01%"
2024-07-23,116.92,117.065,117.2,116.945,NA,"0.00%"
2024-07-22,116.92,117.04,117.275,116.95,NA,"+0.04%"
2024-08-18,117.02,117.02,117.02,117.02,NA,"+0.09%"
2024-07-19,116.87,117.025,117.195,116.935,NA,"-0.03%"
2024-07-18,116.91,117.01,117.16,116.935,NA,"+0.03%"
2024-07-17,116.87,117.015,117.115,116.955,NA,"-0.02%"
2024-07-16,116.89,117.02,117.135,116.835,NA,"0.00%"
2024-07-15,116.89,117.03,117.135,116.805,NA,"-0.02%"
2024-08-11,117.021,117.021,117.021,117.021,NA,"+0.10%"
2024-07-12,116.91,117.01,117.17,116.88,NA,"0.00%"
2024-07-11,116.91,117.025,117.44,116.925,NA,"+0.01%"
2024-07-10,116.9,117.05,117.16,116.945,NA,"-0.03%"
2024-07-09,116.93,117.09,117.12,116.93,NA,"+0.03%"
2024-07-08,116.9,116.725,117.215,116.645,NA,"0.00%"
2024-08-04,117.025,117.026,117.037,117.021,NA,"0.00%"
2024-08-03,117.026,117.026,117.026,117.026,NA,"+0.11%"
2024-07-28,116.93,117.145,117.24,116.94,NA,"-0.02%"
2024-07-21,116.92,117.04,117.275,116.95,NA,"+0.04%"
2024-07-14,116.89,117.03,117.135,116.805,NA,"-0.02%"
2024-07-07,116.9,116.725,117.215,116.645,NA,"0.00%"
2024-07-04,116.9,117.05,117.265,116.85,NA,"-0.02%"
2024-07-03,116.92,117.045,117.185,116.965,NA,"+0.01%"
2024-07-02,116.91,117.02,117.22,116.955,NA,"-0.02%"
2024-07-01,116.93,117.11,117.3,116.88,NA,"-0.03%"
2024-06-30,116.96,117.205,117.56,116.9,NA,"+0.09%"
2024-06-28,116.85,117.1,117.24,116.85,"","-0.11%"
2024-06-27,116.98,117.105,117.26,116.87,"","0.01%"
2024-06-26,116.97,117.1,117.235,116.93,"","-0.02%"
2024-06-25,116.99,117.115,117.22,116.835,"","0.02%"
2024-06-24,116.97,116.995,117.22,116.92,"","0.05%"
2024-06-21,116.91,117.04,117.245,116.82,"","0.00%"
2024-06-20,116.91,117.07,117.245,116.94,"","-0.03%"
2024-06-19,116.94,117.075,117.165,116.94,"","0.00%"
2024-06-18,116.94,117.07,117.25,116.925,"","-0.02%"
2024-06-17,116.96,117.065,117.18,116.945,"","0.03%"
2024-06-14,116.93,117.1,117.205,116.94,"","0.00%"
2024-06-13,116.93,117.055,117.295,116.905,"","0.00%"
2024-06-12,116.93,117.055,117.435,116.775,"","-0.02%"
2024-06-11,116.95,117.06,117.2,116.76,"","0.03%"
2024-06-10,116.92,117.025,117.3,116.49,"","-0.01%"
2024-06-07,116.93,117.09,117.215,116.515,"","-0.02%"
2024-06-06,116.95,117.085,117.26,116.955,"","-0.01%"
2024-06-05,116.96,117.08,117.235,116.82,"","0.00%"
2024-06-04,116.96,117.1,117.245,116.935,"","-0.02%"
2024-06-03,116.98,117.135,117.33,116.995,"","0.06%"
2024-05-31,116.91,117.115,117.265,116.95,"","-0.08%"
2024-05-30,117,117.12,117.265,116.965,"","0.03%"
2024-05-29,116.97,117.11,117.35,116.98,"","0.01%"
2024-05-28,116.96,117.11,117.33,117.005,"","-0.03%"
2024-05-27,116.99,117.18,117.245,117.02,"","0.03%"
2024-05-24,116.96,117.1,117.19,117.025,"","-0.02%"
2024-05-23,116.98,117.11,117.325,116.89,"","0.02%"
2024-05-22,116.96,117.15,117.2,117.01,"","-0.05%"
2024-05-21,117.02,117.17,117.215,116.99,"","0.00%"
2024-05-20,117.02,117.075,117.265,117.015,"","0.03%"
2024-05-17,116.99,117.09,117.31,117.025,"","0.02%"
2024-05-16,116.97,117.12,117.26,117,"","0.00%"
2024-05-15,116.97,117.11,117.395,116.98,"","-0.08%"
2024-05-14,117.06,117.165,117.47,116.82,"","0.03%"
2024-05-13,117.03,117.1,117.275,117.025,"","0.00%"
2024-05-10,117.03,117.15,117.33,116.985,"","0.00%"
2024-05-09,117.03,117.095,117.315,117.02,"","0.04%"
