"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","3.3615","3.3615","3.3615","3.3615","","0.00%"
"04/29/2024","3.3615","3.3630","3.3630","3.3615","","-0.04%"
"04/28/2024","3.3630","3.3630","3.3630","3.3630","","-0.03%"
"04/26/2024","3.3640","3.3777","3.3850","3.3391","","-0.33%"
"04/25/2024","3.3751","3.3683","3.3841","3.3379","","0.27%"
"04/24/2024","3.3660","3.3698","3.3860","3.3574","","0.19%"
"04/23/2024","3.3595","3.3649","3.3789","3.3410","","-0.08%"
"04/22/2024","3.3623","3.3609","3.3680","3.3381","","-0.01%"
"04/19/2024","3.3628","3.3635","3.3691","3.3334","","0.04%"
"04/18/2024","3.3614","3.3675","3.3708","3.3426","","-0.12%"
"04/17/2024","3.3653","3.3595","3.3700","3.3507","","0.24%"
"04/16/2024","3.3572","3.3492","3.3702","3.3423","","0.50%"
"04/15/2024","3.3406","3.3075","3.3695","3.3036","","1.06%"
"04/12/2024","3.3054","3.3403","3.3415","3.3029","","-0.91%"
"04/11/2024","3.3357","3.3464","3.3493","3.3290","","-0.06%"
"04/10/2024","3.3378","3.3825","3.3858","3.3331","","-1.19%"
"04/09/2024","3.3781","3.3851","3.3909","3.3730","","-0.14%"
"04/08/2024","3.3828","3.3863","3.3890","3.3575","","0.11%"
"04/05/2024","3.3790","3.3802","3.3876","3.3524","","0.02%"
"04/04/2024","3.3784","3.3830","3.3965","3.3605","","-0.10%"
"04/03/2024","3.3819","3.3756","3.3937","3.3703","","0.27%"
"04/02/2024","3.3728","3.3611","3.3803","3.3361","","0.89%"
"04/01/2024","3.3432","3.3702","3.3844","3.3411","","-0.91%"
"03/29/2024","3.3740","3.3756","3.3825","3.3501","","0.03%"
"03/28/2024","3.3729","3.3802","3.3839","3.3535","","-0.14%"
"03/27/2024","3.3775","3.3798","3.3865","3.3589","","-0.01%"
"03/26/2024","3.3778","3.3824","3.3891","3.3614","","-0.07%"
"03/25/2024","3.3803","3.3764","3.3868","3.3514","","0.11%"
"03/22/2024","3.3766","3.3763","3.3908","3.3537","","0.62%"
"03/21/2024","3.3557","3.3758","3.4062","3.3627","","-0.45%"
"03/20/2024","3.3709","3.3756","3.3797","3.3496","","0.02%"
"03/19/2024","3.3702","3.3731","3.3858","3.3577","","0.12%"
"03/18/2024","3.3661","3.3791","3.3893","3.3598","","-0.10%"
"03/15/2024","3.3695","3.3699","3.3870","3.3617","","0.22%"
"03/14/2024","3.3622","3.3883","3.4018","3.3635","","-0.59%"
"03/13/2024","3.3820","3.3800","3.4008","3.3757","","0.07%"
"03/12/2024","3.3796","3.3818","3.3956","3.3642","","0.02%"
"03/11/2024","3.3788","3.3888","3.4001","3.3634","","-0.11%"
"03/08/2024","3.3826","3.3907","3.4035","3.3656","","-0.17%"
"03/07/2024","3.3884","3.3858","3.4016","3.3663","","0.12%"
"03/06/2024","3.3842","3.3830","3.3965","3.3654","","0.12%"
"03/05/2024","3.3800","3.3836","3.3895","3.3647","","-0.04%"
"03/04/2024","3.3813","3.3883","3.4030","3.3624","","0.01%"
"03/01/2024","3.3808","3.3656","3.3930","3.3548","","0.57%"
"02/29/2024","3.3617","3.3863","3.3898","3.3571","","-0.56%"
"02/28/2024","3.3808","3.3821","3.3900","3.3593","","0.01%"
"02/27/2024","3.3804","3.3867","3.3919","3.3633","","-0.09%"
"02/26/2024","3.3833","3.3584","3.4061","3.3549","","0.19%"
"02/23/2024","3.3769","3.3814","3.4021","3.3577","","-0.07%"
"02/22/2024","3.3794","3.3821","3.4041","3.3569","","0.17%"
"02/21/2024","3.3738","3.3772","3.3899","3.3539","","0.18%"
"02/20/2024","3.3678","3.3781","3.3960","3.3575","","-0.16%"
"02/19/2024","3.3732","3.3826","3.4004","3.3533","","0.03%"
"02/16/2024","3.3723","3.3765","3.3904","3.3522","","0.03%"
"02/15/2024","3.3713","3.3721","3.3854","3.3522","","0.02%"
"02/14/2024","3.3705","3.3657","3.3819","3.3459","","0.21%"
"02/13/2024","3.3633","3.3742","3.3823","3.3403","","-0.26%"
"02/12/2024","3.3722","3.3786","3.3827","3.3493","","0.11%"
"02/09/2024","3.3686","3.3723","3.3826","3.3464","","0.01%"
"02/08/2024","3.3683","3.3733","3.3806","3.3435","","-0.09%"
"02/07/2024","3.3713","3.3660","3.3843","3.3407","","0.51%"
"02/06/2024","3.3543","3.3658","3.3760","3.3462","","-0.43%"
"02/05/2024","3.3689","3.3646","3.3795","3.3429","","-0.05%"
"02/02/2024","3.3705","3.3844","3.3907","3.3482","","-0.34%"
"02/01/2024","3.3820","3.3746","3.3883","3.3496","","0.25%"
"01/31/2024","3.3735","3.3805","3.3884","3.3461","","-0.15%"
"01/30/2024","3.3786","3.3802","3.3870","3.3519","","0.01%"
"01/29/2024","3.3781","3.3807","3.3857","3.3518","","0.01%"
"01/26/2024","3.3779","3.3775","3.3914","3.3535","","0.03%"
"01/25/2024","3.3769","3.3821","3.3921","3.3540","","-0.09%"
"01/24/2024","3.3799","3.3812","3.3972","3.3576","","0.04%"
"01/23/2024","3.3787","3.3849","3.4030","3.3559","","-0.12%"
"01/22/2024","3.3826","3.3833","3.3954","3.3640","","-0.13%"
"01/19/2024","3.3871","3.3859","3.3956","3.3712","","0.10%"
"01/18/2024","3.3838","3.3863","3.3944","3.3589","","-0.02%"
"01/17/2024","3.3844","3.3826","3.3911","3.3582","","0.10%"
"01/16/2024","3.3809","3.3912","3.4006","3.3607","","-0.24%"
"01/15/2024","3.3890","3.3899","3.4019","3.3635","","0.06%"
"01/12/2024","3.3869","3.3946","3.4104","3.3818","","-0.15%"
"01/11/2024","3.3919","3.3937","3.4083","3.3818","","0.01%"
"01/10/2024","3.3914","3.3854","3.4012","3.3716","","0.25%"
"01/09/2024","3.3830","3.3895","3.4017","3.3610","","-0.12%"
"01/08/2024","3.3870","3.3872","3.4020","3.3627","","-0.03%"
"01/05/2024","3.3880","3.3888","3.4029","3.3603","","0.33%"
"01/04/2024","3.3767","3.3837","3.3972","3.3642","","0.11%"
"01/03/2024","3.3731","3.3884","3.3992","3.3594","","-0.32%"
"01/02/2024","3.3840","3.3884","3.4007","3.3584","","-0.01%"
"01/01/2024","3.3844","3.3704","3.3893","3.3704","","-0.29%"
"12/29/2023","3.3941","3.3891","3.4060","3.3738","","0.28%"
"12/28/2023","3.3846","3.4055","3.4200","3.3853","","-0.54%"
"12/27/2023","3.4031","3.3986","3.4170","3.3869","","0.19%"
"12/26/2023","3.3966","3.3908","3.4031","3.3854","","0.43%"
"12/25/2023","3.3821","3.3839","3.3995","3.3749","","-0.26%"
"12/22/2023","3.3910","3.3924","3.4027","3.3793","","0.01%"
"12/21/2023","3.3905","3.3867","3.4023","3.3693","","0.19%"
"12/20/2023","3.3842","3.3974","3.4110","3.3749","","-0.27%"
"12/19/2023","3.3934","3.3819","3.3993","3.3760","","0.34%"
"12/18/2023","3.3819","3.3679","3.3916","3.3619","","0.64%"
"12/15/2023","3.3605","3.3721","3.3960","3.3603","","-0.28%"
"12/14/2023","3.3698","3.3608","3.3965","3.3591","","0.32%"
"12/13/2023","3.3591","3.3825","3.3891","3.3514","","-0.57%"
"12/12/2023","3.3784","3.3731","3.3858","3.3557","","0.27%"
"12/11/2023","3.3694","3.3717","3.3760","3.3431","","0.09%"
"12/08/2023","3.3664","3.3758","3.3781","3.3497","","-0.20%"
"12/07/2023","3.3730","3.3734","3.3793","3.3600","","0.10%"
"12/06/2023","3.3697","3.3749","3.3864","3.3517","","-0.10%"
"12/05/2023","3.3731","3.3795","3.3900","3.3613","","-0.15%"
"12/04/2023","3.3780","3.3865","3.3911","3.3644","","-0.16%"
"12/01/2023","3.3835","3.3872","3.3969","3.3740","","-0.03%"
"11/30/2023","3.3846","3.3978","3.4110","3.3811","","-0.32%"
"11/29/2023","3.3955","3.4016","3.4176","3.3881","","-0.09%"
"11/28/2023","3.3984","3.3962","3.4070","3.3848","","0.12%"
"11/27/2023","3.3942","3.3926","3.4054","3.3872","","-0.04%"
"11/24/2023","3.3956","3.3958","3.4047","3.3796","","0.11%"
"11/23/2023","3.3917","3.3893","3.4083","3.3795","","0.12%"
"11/22/2023","3.3876","3.3758","3.4044","3.3677","","0.48%"
"11/21/2023","3.3714","3.3974","3.4200","3.3754","","-0.64%"
"11/20/2023","3.3930","3.3939","3.4098","3.3829","","0.14%"
"11/17/2023","3.3883","3.3826","3.4089","3.3694","","0.30%"
"11/16/2023","3.3781","3.3777","3.3965","3.3400","","0.13%"
"11/15/2023","3.3736","3.3891","3.4104","3.3521","","-0.43%"
"11/14/2023","3.3880","3.3725","3.4109","3.3658","","0.52%"
"11/13/2023","3.3705","3.3628","3.3858","3.3599","","0.01%"
"11/10/2023","3.3701","3.3686","3.3814","3.3472","","0.10%"
"11/09/2023","3.3668","3.3798","3.3823","3.3475","","-0.34%"
"11/08/2023","3.3784","3.3779","3.3820","3.3596","","0.06%"
"11/07/2023","3.3764","3.3721","3.3794","3.3547","","0.24%"
"11/06/2023","3.3684","3.3760","3.3981","3.3672","","-0.18%"
"11/03/2023","3.3745","3.3665","3.3962","3.3582","","0.34%"
"11/02/2023","3.3630","3.3674","3.3843","3.3576","","-0.04%"
"11/01/2023","3.3645","3.3683","3.3757","3.3424","","-0.07%"
"10/31/2023","3.3668","3.3705","3.3846","3.3396","","-0.04%"
"10/30/2023","3.3680","3.3463","3.3772","3.3426","","0.78%"
"10/27/2023","3.3419","3.3453","3.3683","3.3428","","-0.01%"
"10/26/2023","3.3422","3.3444","3.3654","3.3340","","0.11%"
"10/25/2023","3.3384","3.3447","3.3674","3.3426","","-0.05%"
"10/24/2023","3.3400","3.3712","3.3781","3.3429","","-0.60%"
"10/23/2023","3.3603","3.3514","3.3755","3.3440","","0.39%"
"10/20/2023","3.3474","3.3553","3.3667","3.3472","","0.08%"
"10/19/2023","3.3447","3.3514","3.3642","3.3370","","-0.16%"
"10/18/2023","3.3499","3.3523","3.3639","3.3366","","0.04%"
"10/17/2023","3.3486","3.3528","3.3639","3.3428","","-0.06%"
"10/16/2023","3.3505","3.3302","3.3591","3.3302","","0.28%"
"10/13/2023","3.3413","3.3503","3.3609","3.3277","","-0.10%"
"10/12/2023","3.3448","3.3586","3.3673","3.3284","","-0.15%"
"10/11/2023","3.3497","3.3507","3.3675","3.3375","","0.10%"
"10/10/2023","3.3463","3.3507","3.3665","3.3435","","0.20%"
"10/09/2023","3.3395","3.3602","3.3611","3.3395","","-0.55%"
"10/06/2023","3.3580","3.3530","3.3697","3.3358","","0.48%"
"10/05/2023","3.3418","3.3526","3.3640","3.3368","","-0.21%"
"10/04/2023","3.3490","3.3482","3.3589","3.3043","","0.12%"
"10/03/2023","3.3449","3.3071","3.3512","3.3037","","1.18%"
"10/02/2023","3.3059","3.3358","3.3575","3.3063","","-0.80%"
"09/29/2023","3.3327","3.3534","3.3673","3.3161","","-0.51%"
"09/28/2023","3.3497","3.3470","3.3591","3.3080","","0.15%"
"09/27/2023","3.3448","3.3545","3.3560","3.3078","","-0.24%"
"09/26/2023","3.3529","3.3563","3.3668","3.3158","","-0.03%"
"09/25/2023","3.3539","3.3635","3.3667","3.3168","","-0.15%"
"09/22/2023","3.3591","3.3616","3.3697","3.3207","","-0.01%"
"09/21/2023","3.3595","3.3391","3.3710","3.3204","","0.73%"
"09/20/2023","3.3350","3.3723","3.3774","3.3357","","-1.01%"
"09/19/2023","3.3691","3.3628","3.3767","3.3500","","0.18%"
"09/18/2023","3.3629","3.3653","3.3730","3.3410","","0.16%"
"09/15/2023","3.3574","3.3575","3.3717","3.3219","","0.07%"
"09/14/2023","3.3551","3.3693","3.3780","3.3219","","-0.10%"
"09/13/2023","3.3584","3.3628","3.3777","3.3294","","-0.01%"
"09/12/2023","3.3587","3.3661","3.3770","3.3388","","0.12%"
"09/11/2023","3.3546","3.3466","3.3748","3.3256","","0.37%"
"09/08/2023","3.3424","3.3560","3.3703","3.3223","","-0.05%"
"09/07/2023","3.3440","3.3594","3.3691","3.3290","","-0.13%"
"09/06/2023","3.3482","3.3415","3.3706","3.3304","","0.27%"
"09/05/2023","3.3393","3.3368","3.3710","3.3161","","0.15%"
"09/04/2023","3.3344","3.3310","3.3675","3.3310","","0.17%"
