"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","24.7025","24.8250","24.8250","24.7025","","-0.49%"
"04/29/2024","24.8250","24.7545","24.8250","24.6924","","0.28%"
"04/28/2024","24.7545","24.7545","24.7545","24.7545","","0.59%"
"04/26/2024","24.6100","24.6910","24.7670","24.6755","","-0.13%"
"04/25/2024","24.6410","24.7328","24.8405","24.6235","","-0.24%"
"04/24/2024","24.7000","24.6870","24.7843","24.6180","","0.26%"
"04/23/2024","24.6370","24.7281","24.7732","24.6735","","0.00%"
"04/22/2024","24.6370","24.6880","24.8240","24.6235","","0.00%"
"04/19/2024","24.6380","24.6880","24.8587","24.6440","","0.00%"
"04/18/2024","24.6380","24.6880","24.8138","24.5990","","0.00%"
"04/17/2024","24.6380","24.7250","24.8338","24.5940","","0.11%"
"04/16/2024","24.6100","24.6880","24.7640","24.6740","","-0.11%"
"04/15/2024","24.6380","24.6870","24.8388","24.6065","","0.01%"
"04/12/2024","24.6360","24.6860","24.8386","24.6230","","0.00%"
"04/11/2024","24.6360","24.7283","24.7283","24.6850","","-0.60%"
"04/10/2024","24.7850","24.7279","24.8382","24.6220","","0.61%"
"04/09/2024","24.6340","24.8000","24.8577","24.6220","","0.00%"
"04/08/2024","24.6340","24.6830","24.7370","24.6665","","0.00%"
"04/05/2024","24.6330","24.6830","24.8568","24.6415","","0.00%"
"04/04/2024","24.6330","24.6830","24.8420","24.6415","","0.00%"
"04/03/2024","24.6330","24.6840","24.7514","24.6515","","0.00%"
"04/02/2024","24.6340","24.6850","24.7248","24.6840","","0.00%"
"04/01/2024","24.6350","24.6850","24.7325","24.6725","","-0.67%"
"03/29/2024","24.8000","24.6850","24.8568","24.6425","","0.67%"
"03/28/2024","24.6350","24.6850","24.8425","24.6425","","0.10%"
"03/27/2024","24.6100","24.6860","24.8430","24.6425","","-0.77%"
"03/26/2024","24.8000","24.7264","24.8574","24.6180","","0.67%"
"03/25/2024","24.6360","24.6890","24.8345","24.6180","","-0.01%"
"03/22/2024","24.6390","24.6910","24.8585","24.6345","","0.12%"
"03/21/2024","24.6100","24.6920","24.8594","24.6555","","-0.13%"
"03/20/2024","24.6420","24.6930","24.8604","24.6360","","0.13%"
"03/19/2024","24.6100","24.6930","24.8608","24.6715","","0.00%"
