"Date","Price","Open","High","Low","Vol.","Change.."
2024-08-22,4.4666,4.4617,4.4722,4.4583,NA,"+0.10%"
2024-08-21,4.462,4.4727,4.4823,4.4533,NA,"-0.24%"
2024-08-20,4.4728,4.4907,4.4967,4.4714,NA,"-0.37%"
2024-08-19,4.4894,4.5121,4.5147,4.4889,NA,"-0.45%"
2024-08-16,4.5098,4.5353,4.5359,4.5103,NA,"-0.51%"
2024-08-15,4.5329,4.5189,4.5458,4.5151,NA,"+0.36%"
2024-08-14,4.5165,4.5265,4.531,4.5036,NA,"-0.17%"
2024-08-13,4.5243,4.5528,4.5622,4.5224,NA,"-0.58%"
2024-08-12,4.5507,4.5602,4.5624,4.5482,NA,"-0.14%"
2024-08-09,4.5573,4.5589,4.5638,4.5514,NA,"+0.03%"
2024-08-08,4.5561,4.5567,4.575,4.5454,NA,"+0.04%"
2024-08-07,4.5543,4.553,4.565,4.5494,NA,"+0.07%"
2024-08-06,4.5512,4.5436,4.5659,4.5382,NA,"+0.22%"
2024-08-05,4.5412,4.5606,4.5705,4.5205,NA,"-0.36%"
2024-08-02,4.5576,4.6114,4.6153,4.5525,NA,"-1.09%"
2024-08-01,4.6079,4.5988,4.6189,4.5911,NA,"+0.31%"
2024-07-31,4.5935,4.6009,4.6066,4.5847,NA,"-0.10%"
2024-07-30,4.598,4.5968,4.6095,4.5893,NA,"+0.09%"
2024-07-29,4.5937,4.5781,4.6063,4.573,NA,"+0.37%"
2024-07-26,4.5768,4.5814,4.5844,4.5718,NA,"-0.06%"
2024-07-25,4.5797,4.5856,4.5911,4.5705,NA,"-0.07%"
2024-07-24,4.5831,4.581,4.5939,4.5728,NA,"+0.12%"
2024-07-23,4.5777,4.5651,4.5869,4.562,NA,"+0.34%"
2024-07-22,4.5621,4.567,4.5739,4.5589,NA,"-0.07%"
2024-08-18,4.5113,4.527,4.527,4.511,NA,"+0.03%"
2024-07-19,4.5653,4.5605,4.5717,4.5568,NA,"+0.16%"
2024-07-18,4.558,4.5432,4.5625,4.5411,NA,"+0.38%"
2024-07-17,4.5406,4.558,4.5619,4.5368,NA,"-0.34%"
2024-07-16,4.5561,4.5602,4.5719,4.552,NA,"-0.05%"
2024-07-15,4.5584,4.5562,4.5704,4.5475,NA,"+0.09%"
2024-08-11,4.5609,4.5567,4.5609,4.5567,NA,"+0.08%"
2024-07-12,4.5542,4.5769,4.5816,4.5531,NA,"-0.44%"
2024-07-11,4.5744,4.5926,4.5954,4.5633,NA,"-0.35%"
2024-07-10,4.5905,4.5983,4.6016,4.5905,NA,"-0.13%"
2024-07-09,4.5963,4.5953,4.6026,4.5901,NA,"+0.07%"
2024-07-08,4.5931,4.6,4.6024,4.5856,NA,"+0.17%"
2024-08-04,4.5413,4.5616,4.569,4.5213,NA,"-0.44%"
2024-08-03,4.5612,4.5555,4.5639,4.5555,NA,"+0.08%"
2024-07-28,4.5937,4.5781,4.6063,4.573,NA,"+0.37%"
2024-07-21,4.5621,4.567,4.5739,4.5589,NA,"-0.07%"
2024-07-14,4.5584,4.5562,4.5704,4.5475,NA,"+0.09%"
2024-07-07,4.5931,4.6,4.6024,4.5856,NA,"+0.17%"
2024-07-04,4.5853,4.6029,4.6056,4.5876,NA,"-0.29%"
2024-07-03,4.5985,4.6136,4.6165,4.6004,NA,"-0.29%"
2024-07-02,4.6121,4.6318,4.6375,4.6007,NA,"-0.39%"
2024-07-01,4.63,4.6336,4.6488,4.6294,NA,"-0.02%"
2024-06-30,4.6309,4.6362,4.6434,4.6174,NA,"-0.10%"
2024-06-28,4.6356,4.6503,4.6611,4.6382,"","-0.26%"
2024-06-27,4.6476,4.6602,4.6624,4.6395,"","-0.22%"
2024-06-26,4.6578,4.6438,4.6678,4.6381,"","0.37%"
2024-06-25,4.6408,4.6356,4.6561,4.6312,"","0.16%"
2024-06-24,4.6333,4.653,4.6597,4.6294,"","-0.32%"
2024-06-21,4.6482,4.649,4.6652,4.6402,"","0.02%"
2024-06-20,4.6474,4.6324,4.6513,4.6283,"","0.40%"
2024-06-19,4.6287,4.6326,4.6408,4.6264,"","-0.03%"
2024-06-18,4.6301,4.6361,4.6477,4.6227,"","-0.09%"
2024-06-17,4.6341,4.6507,4.6581,4.6334,"","-0.23%"
2024-06-14,4.6449,4.6354,4.667,4.6307,"","0.27%"
2024-06-13,4.6326,4.6073,4.6384,4.5998,"","0.59%"
2024-06-12,4.6052,4.6347,4.6378,4.5845,"","-0.59%"
2024-06-11,4.6327,4.6237,4.6442,4.6178,"","0.25%"
2024-06-10,4.6211,4.6053,4.6382,4.6053,"","0.40%"
2024-06-07,4.6025,4.5701,4.6084,4.5631,"","0.76%"
2024-06-06,4.5676,4.5781,4.5821,4.5639,"","-0.19%"
2024-06-05,4.5762,4.5722,4.5858,4.5676,"","0.12%"
2024-06-04,4.5705,4.5616,4.5827,4.5557,"","0.23%"
2024-06-03,4.5602,4.5885,4.5977,4.5609,"","-0.52%"
2024-05-31,4.584,4.594,4.6035,4.5717,"","-0.18%"
2024-05-30,4.5923,4.6078,4.6147,4.5867,"","-0.29%"
2024-05-29,4.6055,4.5826,4.6095,4.5794,"","0.57%"
2024-05-28,4.5793,4.5832,4.5855,4.5678,"","-0.02%"
2024-05-27,4.5803,4.5848,4.5915,4.5775,"","-0.06%"
2024-05-24,4.5829,4.6,4.605,4.5816,"","-0.33%"
2024-05-23,4.598,4.5969,4.6084,4.5795,"","0.09%"
2024-05-22,4.594,4.582,4.6005,4.577,"","0.30%"
2024-05-21,4.5802,4.582,4.5891,4.567,"","0.02%"
2024-05-20,4.5791,4.5665,4.5852,4.5586,"","0.09%"
2024-05-17,4.5749,4.5777,4.5929,4.5713,"","-0.03%"
2024-05-16,4.5761,4.5697,4.5851,4.5649,"","0.19%"
2024-05-15,4.5674,4.5995,4.6027,4.5686,"","-0.63%"
2024-05-14,4.5964,4.6123,4.621,4.5944,"","-0.28%"
2024-05-13,4.6093,4.622,4.6252,4.6034,"","-0.16%"
2024-05-10,4.6168,4.614,4.6275,4.6098,"","0.10%"
2024-05-09,4.6124,4.6295,4.6403,4.6109,"","-0.31%"
2024-05-08,4.6266,4.6276,4.6371,4.6239,"","0.06%"
2024-05-07,4.6237,4.6161,4.6311,4.611,"","0.25%"
2024-05-06,4.6121,4.6209,4.625,4.6062,"","-0.14%"
2024-05-03,4.6186,4.6395,4.6423,4.6021,"","-0.40%"
2024-05-02,4.637,4.6449,4.663,4.6365,"","-0.08%"
2024-05-01,4.6409,4.6649,4.6736,4.6398,"","-0.44%"
2024-04-30,4.6615,4.6414,4.6663,4.6333,"","0.47%"
2024-04-29,4.6396,4.6535,4.6563,4.6353,"","-0.22%"
2024-04-26,4.65,4.6379,4.6637,4.6274,"","0.31%"
2024-04-25,4.6358,4.651,4.6613,4.633,"","-0.29%"
2024-04-24,4.6491,4.6498,4.6613,4.6436,"","0.02%"
2024-04-23,4.6482,4.67,4.6783,4.6446,"","-0.40%"
2024-04-22,4.667,4.6669,4.6848,4.6627,"","0.02%"
2024-04-19,4.6662,4.6753,4.69,4.6592,"","-0.16%"
2024-04-18,4.6735,4.6611,4.6771,4.6516,"","0.30%"
2024-04-17,4.6597,4.6855,4.6927,4.6573,"","-0.51%"
2024-04-16,4.6836,4.6832,4.6944,4.6691,"","0.07%"
2024-04-15,4.6805,4.6698,4.6866,4.6542,"","0.25%"
2024-04-12,4.6686,4.6356,4.6822,4.6328,"","0.76%"
2024-04-11,4.6332,4.6262,4.6491,4.6208,"","0.20%"
2024-04-10,4.624,4.5764,4.6331,4.5712,"","1.09%"
2024-04-09,4.5741,4.5752,4.5818,4.5635,"","0.02%"
2024-04-08,4.5732,4.584,4.5925,4.5729,"","-0.12%"
2024-04-05,4.5786,4.5851,4.6047,4.578,"","-0.07%"
2024-04-04,4.5819,4.5858,4.591,4.5675,"","-0.03%"
2024-04-03,4.5832,4.6147,4.6196,4.5844,"","-0.63%"
2024-04-02,4.6124,4.6269,4.6364,4.6092,"","-0.26%"
2024-04-01,4.6244,4.6052,4.6331,4.601,"","0.50%"
2024-03-29,4.6014,4.6058,4.6182,4.5984,"","-0.04%"
2024-03-28,4.6033,4.5927,4.617,4.5908,"","0.27%"
2024-03-27,4.5911,4.5876,4.6016,4.5841,"","0.13%"
