Date,Price,Open,High,Low,Vol.,Change..
2018-01-01,28.3304,28.314,28.3398,28.2951,,0.10%
2018-01-02,28.5299,28.448,28.5887,28.4075,,0.70%
2018-01-03,28.4262,28.5265,28.5558,28.3957,,-0.36%
2018-01-04,28.552,28.4218,28.6565,28.4006,,0.44%
2018-01-05,28.4029,28.4422,28.512,28.3434,,-0.52%
2018-01-08,28.315,28.5068,28.5586,28.2892,,-0.31%
2018-01-09,28.2457,28.3129,28.3618,28.1977,,-0.24%
2018-01-10,28.2056,28.1435,28.3637,28.1151,,-0.14%
2018-01-11,28.4316,28.2037,28.4882,28.1203,,0.80%
2018-01-12,28.7797,28.514,28.8771,28.4737,,1.22%
2018-01-15,28.9849,28.7876,29.0509,28.7385,,0.71%
2018-01-16,28.9544,28.9883,29.0284,28.7549,,-0.11%
2018-01-17,28.8686,29.0236,29.1745,28.8212,,-0.30%
2018-01-18,28.9657,28.8955,29.0816,28.8244,,0.34%
2018-01-19,28.85,28.8601,29.0013,28.8178,,-0.40%
2018-01-22,29.0213,29.0608,29.0796,28.9083,,0.59%
2018-01-23,29.0564,28.9167,29.0611,28.8226,,0.12%
2018-01-24,29.3668,29.1653,29.4385,29.1151,,1.07%
2018-01-25,29.2619,29.2634,29.6003,29.1842,,-0.36%
2018-01-26,29.3458,29.2585,29.4693,29.202,,0.29%
2018-01-29,29.2475,29.3587,29.3822,29.0868,,-0.33%
2018-01-30,29.3742,29.3294,29.4955,29.164,,0.43%
2018-01-31,29.3235,29.2913,29.4663,29.1943,,-0.17%
2018-02-01,29.5462,29.3074,29.5649,29.1946,,0.76%
2018-02-02,29.3941,29.5448,29.5613,29.2355,,-0.51%
2018-02-05,29.2428,29.5096,29.5355,29.2334,,-0.51%
2018-02-06,29.1912,29.118,29.2753,28.9934,,-0.18%
2018-02-07,28.9958,29.318,29.3752,28.9511,,-0.67%
2018-02-08,28.9532,28.9932,29.1039,28.871,,-0.15%
2018-02-09,28.8416,28.815,28.9498,28.7184,,-0.39%
2018-02-12,28.9747,28.8842,28.9877,28.7895,,0.46%
2018-02-13,29.2007,29.1126,29.3009,29.0441,,0.78%
2018-02-14,29.4324,29.2023,29.5266,29.031,,0.79%
2018-02-15,29.5642,29.4316,29.6174,29.427,,0.45%
2018-02-16,29.241,29.4261,29.5848,29.1625,,-1.09%
2018-02-19,29.2519,29.2492,29.3103,29.105,,0.04%
2018-02-20,29.1739,29.384,29.3958,29.138,,-0.27%
2018-02-21,29.0503,29.1712,29.2699,29.0157,,-0.42%
2018-02-22,29.1603,29.0475,29.2583,28.9934,,0.38%
2018-02-23,29.0557,29.0614,29.1458,28.9439,,-0.36%
2018-02-26,29.0668,29.0393,29.1004,28.9109,,0.04%
2018-02-27,28.94,29.1787,29.2422,28.9118,,-0.44%
2018-02-28,28.8486,28.941,29.0213,28.8328,,-0.32%
2018-03-01,28.9022,28.7356,28.9518,28.6385,,0.19%
2018-03-02,29.1392,29.0126,29.2313,28.9816,,0.82%
2018-03-05,29.1831,29.1523,29.301,29.023,,0.15%
2018-03-06,29.3456,29.1824,29.4359,29.1637,,0.56%
2018-03-07,29.3622,29.3457,29.4545,29.3081,,0.06%
2018-03-08,29.1313,29.3647,29.4888,29.0881,,-0.79%
2018-03-09,29.1259,29.1247,29.2444,29.033,,-0.02%
2018-03-12,29.1975,29.1706,29.2778,29.0832,,0.25%
2018-03-13,29.2553,29.102,29.3213,29.0526,,0.20%
2018-03-14,29.2786,29.3505,29.4047,29.2362,,0.08%
2018-03-15,29.1349,29.2702,29.3662,29.123,,-0.49%
2018-03-16,29.1015,29.1325,29.2428,29.0332,,-0.11%
2018-03-19,29.2113,29.113,29.2975,29.0258,,0.38%
2018-03-20,28.9911,29.2101,29.2822,28.9602,,-0.75%
2018-03-21,29.2205,28.9901,29.3022,28.9842,,0.79%
2018-03-22,29.1352,29.2201,29.349,29.0952,,-0.29%
2018-03-23,29.256,29.1358,29.3467,29.1335,,0.41%
2018-03-26,29.4066,29.1999,29.4727,29.1682,,0.51%
2018-03-27,29.3758,29.4913,29.5526,29.3074,,-0.10%
2018-03-28,29.1508,29.3747,29.4531,29.1319,,-0.77%
2018-03-29,29.1343,29.1531,29.2697,29.0535,,-0.06%
2018-03-30,29.1852,29.1309,29.2646,29.1168,,0.17%
2018-04-02,29.1366,29.2368,29.2628,29.1013,,-0.17%
2018-04-03,29.0633,29.1362,29.2139,29.004,,-0.25%
2018-04-04,29.0825,29.0609,29.1691,29.028,,0.07%
2018-04-05,28.9939,29.0807,29.1419,28.9127,,-0.30%
2018-04-06,29.0971,28.993,29.1517,28.9317,,0.36%
2018-04-09,29.1873,29.0831,29.2583,29.0406,,0.31%
2018-04-10,29.2728,29.1875,29.3506,29.1451,,0.29%
2018-04-11,29.2989,29.2752,29.4035,29.2517,,0.09%
2018-04-12,29.2041,29.3008,29.3724,29.136,,-0.32%
2018-04-13,29.2136,29.2041,29.2913,29.1502,,0.03%
2018-04-16,29.3285,29.2631,29.4019,29.1988,,0.39%
2018-04-17,29.3072,29.326,29.4085,29.2247,,-0.07%
2018-04-18,29.3137,29.3055,29.4124,29.2418,,0.02%
2018-04-19,29.2492,29.3116,29.3938,29.1927,,-0.22%
2018-04-20,29.1118,29.2486,29.3006,29.0221,,-0.47%
2018-04-23,28.9247,29.1132,29.1203,28.8972,,-0.64%
2018-04-24,28.9815,28.9249,29.0318,28.8612,,0.20%
2018-04-25,28.8109,28.9783,29.0169,28.8086,,-0.59%
2018-04-26,28.6735,28.8104,28.94,28.6292,,-0.48%
2018-04-27,28.7519,28.6641,28.7685,28.5463,,0.27%
2018-04-30,28.6191,28.7491,28.7917,28.5679,,-0.46%
2018-05-01,28.4176,28.6135,28.6515,28.3787,,-0.70%
2018-05-02,28.3345,28.3985,28.514,28.1773,,-0.29%
2018-05-03,28.427,28.3301,28.4999,28.3058,,0.33%
2018-05-04,28.3629,28.4244,28.4785,28.2402,,-0.23%
2018-05-07,28.2527,28.3027,28.3666,28.1348,,-0.39%
2018-05-08,28.1517,28.2766,28.3097,28.0643,,-0.36%
2018-05-09,28.1303,28.135,28.2188,28.0125,,-0.08%
2018-05-10,28.2919,28.1258,28.3648,28.1045,,0.57%
2018-05-11,28.3693,28.2885,28.4139,28.2268,,0.27%
2018-05-14,28.3517,28.3785,28.5201,28.2979,,-0.06%
2018-05-15,28.1378,28.3951,28.4221,28.1046,,-0.75%
2018-05-16,28.0834,28.0472,28.165,27.9241,,-0.19%
2018-05-17,28.0698,28.0897,28.1634,28.0113,,-0.05%
2018-05-18,28.0372,28.0667,28.1356,27.9597,,-0.12%
2018-05-21,28.063,28.0309,28.1401,27.8994,,0.09%
2018-05-22,28.1165,28.0988,28.2235,27.9987,,0.19%
2018-05-23,27.9125,28.1663,28.1923,27.8838,,-0.73%
2018-05-24,27.9492,27.8161,28.0185,27.8089,,0.13%
2018-05-25,27.7906,27.948,27.9838,27.715,,-0.57%
2018-05-28,27.7227,27.7825,27.9753,27.6797,,-0.24%
2018-05-29,27.5841,27.7729,27.8083,27.4709,,-0.50%
2018-05-30,27.8874,27.5847,27.9232,27.5319,,1.10%
2018-05-31,27.9174,27.8487,27.9939,27.7633,,0.11%
2018-06-01,27.8445,27.9138,27.9759,27.7348,,-0.26%
2018-06-04,27.9376,27.8353,28.0428,27.8282,,0.33%
2018-06-05,27.988,27.9325,28.0238,27.7643,,0.18%
2018-06-06,28.2175,28.037,28.2511,27.9369,,0.82%
2018-06-07,28.1928,28.1667,28.3043,28.1253,,-0.09%
2018-06-08,28.132,28.2055,28.2341,28.0287,,-0.22%
2018-06-11,28.1717,28.1317,28.2596,28.1029,,0.14%
2018-06-12,28.0813,28.1689,28.2336,28.0505,,-0.32%
2018-06-13,28.2115,28.0964,28.2484,28.0139,,0.46%
2018-06-14,27.6813,28.2099,28.3581,27.6647,,-1.88%
2018-06-15,27.7641,27.692,27.8548,27.6323,,0.30%
2018-06-18,27.8128,27.7489,27.8176,27.6391,,0.18%
2018-06-19,27.7355,27.8133,27.866,27.5887,,-0.28%
2018-06-20,27.6944,27.7337,27.7687,27.607,,-0.15%
2018-06-21,27.7692,27.6938,27.8443,27.5431,,0.27%
2018-06-22,27.8991,27.771,27.9457,27.7614,,0.47%
2018-06-25,28.0124,27.8861,28.0388,27.8269,,0.41%
2018-06-26,27.8803,28.008,28.0544,27.8382,,-0.47%
2018-06-27,27.6583,27.8746,27.9392,27.5674,,-0.80%
2018-06-28,27.7035,27.6654,27.7779,27.5983,,0.16%
2018-06-29,27.9838,27.7014,28.0005,27.664,,1.01%
2018-07-02,27.8771,27.8987,28.0113,27.7228,,-0.38%
2018-07-03,27.9209,27.8764,27.9602,27.8224,,0.16%
2018-07-04,27.9215,27.9201,27.9825,27.8508,,0.00%
2018-07-05,28.0036,27.9209,28.0789,27.9041,,0.29%
2018-07-06,28.1373,28.0017,28.1909,27.9754,,0.48%
2018-07-09,28.1464,28.1403,28.2506,28.0751,,0.03%
2018-07-10,28.1892,28.196,28.2272,28.0128,,0.15%
2018-07-11,27.962,28.1417,28.1678,27.8724,,-0.81%
2018-07-12,27.9589,27.9603,28.0237,27.8823,,-0.01%
