Date,Price,Open,High,Low,Vol.,Change..
2017-08-01,11.1557,11.1631,11.1743,11.1342,,-0.08%
2017-08-02,11.1697,11.1555,11.1987,11.1425,,0.13%
2017-08-03,11.1774,11.1667,11.1967,11.1478,,0.07%
2017-08-04,11.1393,11.1783,11.1953,11.0959,,-0.34%
2017-08-07,11.1491,11.1517,11.1849,11.1046,,0.09%
2017-08-08,11.141,11.1497,11.167,11.1201,,-0.07%
2017-08-09,11.1364,11.139,11.1463,11.1099,,-0.04%
2017-08-10,11.1457,11.1364,11.1527,11.112,,0.08%
2017-08-11,11.1587,11.1467,11.1798,11.12,,0.12%
2017-08-14,11.118,11.1431,11.1752,11.1091,,-0.36%
2017-08-15,11.1301,11.1127,11.1486,11.066,,0.11%
2017-08-16,11.1081,11.1306,11.1464,11.0693,,-0.20%
2017-08-17,11.1261,11.1085,11.149,11.0791,,0.16%
2017-08-18,11.1626,11.1343,11.1683,11.123,,0.33%
2017-08-21,11.1976,11.1405,11.211,11.1177,,0.31%
2017-08-22,11.1419,11.1923,11.2027,11.1224,,-0.50%
2017-08-23,11.1557,11.1424,11.1645,11.1103,,0.12%
2017-08-24,11.1165,11.1553,11.1625,11.1021,,-0.35%
2017-08-25,11.235,11.1215,11.2454,11.1105,,1.07%
2017-08-28,11.1738,11.221,11.2576,11.1502,,-0.54%
2017-08-29,11.1725,11.1724,11.2233,11.15,,-0.01%
2017-08-30,11.1422,11.1739,11.1788,11.1271,,-0.27%
2017-08-31,11.1508,11.1413,11.1605,11.1169,,0.08%
2017-09-01,11.106,11.1546,11.2112,11.0934,,-0.40%
2017-09-04,11.1459,11.098,11.1645,11.0932,,0.36%
2017-09-05,11.1708,11.1458,11.1807,11.1334,,0.22%
2017-09-06,11.1715,11.1709,11.2078,11.1313,,0.01%
2017-09-07,11.1892,11.1716,11.2465,11.1509,,0.16%
2017-09-08,11.1937,11.1901,11.2602,11.1648,,0.04%
2017-09-11,11.1702,11.1782,11.2028,11.1538,,-0.21%
2017-09-12,11.1701,11.17,11.19,11.155,,0.00%
2017-09-13,11.1454,11.1701,11.1907,11.1358,,-0.22%
2017-09-14,11.1532,11.143,11.1914,11.1078,,0.07%
2017-09-15,11.1601,11.1532,11.1896,11.1401,,0.06%
2017-09-18,11.1656,11.1753,11.2102,11.1327,,0.05%
2017-09-19,11.1796,11.1666,11.199,11.1544,,0.13%
2017-09-20,11.1479,11.1796,11.2238,11.1242,,-0.28%
2017-09-21,11.1585,11.1572,11.2112,11.1285,,0.10%
2017-09-22,11.1606,11.1585,11.1997,11.1552,,0.02%
2017-09-25,11.1329,11.1661,11.1745,11.1119,,-0.25%
2017-09-26,11.1137,11.1329,11.1405,11.0874,,-0.17%
2017-09-27,11.0973,11.1128,11.1258,11.0763,,-0.15%
2017-09-28,11.1106,11.0987,11.1372,11.0759,,0.12%
2017-09-29,11.1205,11.11,11.1506,11.1011,,0.09%
2017-10-02,11.093,11.1274,11.1274,11.0505,,-0.25%
2017-10-03,11.0975,11.092,11.1245,11.0637,,0.04%
2017-10-04,11.1037,11.098,11.128,11.0839,,0.06%
2017-10-05,11.0898,11.1022,11.1252,11.0762,,-0.13%
2017-10-06,11.1064,11.0887,11.1129,11.059,,0.15%
2017-10-09,11.096,11.0989,11.1173,11.0861,,-0.09%
2017-10-10,11.1188,11.094,11.1363,11.0871,,0.21%
2017-10-11,11.138,11.1202,11.1507,11.1128,,0.17%
2017-10-12,11.1289,11.1394,11.1474,11.1152,,-0.08%
2017-10-13,11.126,11.1279,11.155,11.1125,,-0.03%
2017-10-16,11.1152,11.1196,11.1343,11.0771,,-0.10%
2017-10-17,11.1431,11.1166,11.1544,11.0806,,0.25%
2017-10-18,11.1127,11.1426,11.1531,11.0975,,-0.27%
2017-10-19,11.1349,11.1228,11.1465,11.0861,,0.20%
2017-10-20,11.1149,11.1345,11.1383,11.0944,,-0.18%
2017-10-23,11.0956,11.1071,11.1171,11.079,,-0.17%
2017-10-24,11.1024,11.0957,11.1188,11.0921,,0.06%
2017-10-25,11.1213,11.1014,11.1622,11.0924,,0.17%
2017-10-26,11.0647,11.1199,11.1432,11.057,,-0.51%
2017-10-27,11.0492,11.0642,11.092,11.0344,,-0.14%
2017-10-30,11.0729,11.0542,11.1011,11.0416,,0.21%
2017-10-31,11.0633,11.0741,11.0782,11.0459,,-0.09%
2017-11-01,11.0497,11.0696,11.0773,11.0445,,-0.12%
2017-11-02,11.0663,11.0422,11.1126,11.0405,,0.15%
2017-11-03,11.0498,11.068,11.0998,11.0371,,-0.15%
2017-11-06,11.0661,11.0553,11.0804,11.0352,,0.15%
2017-11-07,11.0409,11.0602,11.0679,11.0193,,-0.23%
2017-11-08,11.0416,11.0451,11.061,11.035,,0.01%
2017-11-09,11.0629,11.0356,11.07,11.0318,,0.19%
2017-11-10,11.0788,11.0686,11.0924,11.052,,0.14%
2017-11-13,11.0715,11.074,11.0791,11.0474,,-0.07%
