Date,Price,Open,High,Low,Vol.,Change..
2018-01-01,23.6117,23.5895,23.6196,23.5738,NA,0.14%
2018-01-02,23.5648,23.6218,23.6397,23.4263,NA,-0.20%
2018-01-03,23.2503,23.5572,23.5796,23.2249,NA,-1.33%
2018-01-04,23.2785,23.2428,23.3894,23.1496,NA,0.12%
2018-01-05,23.0748,23.2882,23.3961,23.0692,NA,-0.88%
2018-01-08,23.0066,23.0668,23.1168,22.9572,NA,-0.30%
2018-01-09,22.9653,23.0048,23.0815,22.9135,NA,-0.18%
2018-01-10,23.0469,22.9666,23.23,22.9188,NA,0.36%
2018-01-11,23.1863,23.0454,23.3941,22.9972,NA,0.60%
2018-01-12,23.204,23.196,23.3292,23.0459,NA,0.08%
2018-01-15,23.1225,23.2274,23.2594,23.0355,NA,-0.35%
2018-01-16,23.0135,23.1149,23.1528,22.8831,NA,-0.47%
2018-01-17,22.8061,23.0169,23.1005,22.7283,NA,-0.90%
2018-01-18,22.7722,22.8058,22.9992,22.724,NA,-0.15%
2018-01-19,22.7478,22.7721,22.8855,22.6911,NA,-0.11%
2018-01-22,22.909,22.835,22.9798,22.7507,NA,0.71%
2018-01-23,22.9917,22.9065,23.1695,22.8956,NA,0.36%
2018-01-24,22.9554,22.9973,23.0629,22.8513,NA,-0.16%
2018-01-25,23.0637,22.9514,23.1394,22.7255,NA,0.47%
2018-01-26,22.9595,23.0647,23.1717,22.9138,NA,-0.45%
2018-01-29,23.0463,22.9716,23.1095,22.8831,NA,0.38%
2018-01-30,23.2798,23.0411,23.3043,23.0157,NA,1.01%
2018-01-31,23.103,23.2834,23.3238,23.0597,NA,-0.76%
2018-02-01,22.9546,23.0844,23.2154,22.8563,NA,-0.64%
2018-02-02,23.1762,22.9596,23.2542,22.9191,NA,0.97%
2018-02-05,23.2249,23.1647,23.3672,23.0431,NA,0.21%
2018-02-06,23.0262,23.2154,23.455,22.9879,NA,-0.86%
2018-02-07,23.0557,23.0323,23.1439,22.8524,NA,0.13%
2018-02-08,23.142,23.0588,23.2417,22.9295,NA,0.37%
2018-02-09,22.8917,23.1479,23.1814,22.8501,NA,-1.08%
2018-02-12,22.8668,22.9254,22.9836,22.8062,NA,-0.11%
2018-02-13,23.0532,22.8657,23.0909,22.8388,NA,0.82%
2018-02-14,23.1408,23.0464,23.1468,22.9004,NA,0.38%
2018-02-15,23.1377,23.138,23.1664,23.0036,NA,-0.01%
2018-02-16,22.9747,23.1485,23.2456,22.9516,NA,-0.70%
2018-02-19,22.9961,22.9837,23.0289,22.902,NA,0.09%
2018-02-20,23.081,22.9936,23.1161,22.9157,NA,0.37%
2018-02-21,23.14,23.0893,23.1991,22.9318,NA,0.26%
2018-02-22,22.9449,23.1317,23.1505,22.9449,NA,-0.84%
2018-02-23,22.786,22.9459,22.9663,22.7709,NA,-0.69%
2018-02-26,23.0072,22.8162,23.04,22.7936,NA,0.97%
2018-02-27,23.0527,22.9953,23.0655,22.9382,NA,0.20%
2018-02-28,22.9738,23.0659,23.0726,22.9244,NA,-0.34%
2018-03-01,23.1123,22.9729,23.1698,22.9456,NA,0.60%
2018-03-02,23.1569,23.104,23.3742,23.0794,NA,0.19%
2018-03-05,23.187,23.1821,23.3478,23.1571,NA,0.13%
2018-03-06,23.2435,23.187,23.3092,23.0587,NA,0.24%
2018-03-07,23.226,23.2447,23.4962,23.203,NA,-0.08%
2018-03-08,22.9748,23.2383,23.2779,22.8978,NA,-1.08%
2018-03-09,22.9008,22.9788,23.016,22.7648,NA,-0.32%
2018-03-12,22.9261,22.9013,22.9895,22.8897,NA,0.11%
2018-03-13,23.0531,22.9291,23.1094,22.8621,NA,0.55%
2018-03-14,22.9835,23.0535,23.0783,22.9169,NA,-0.30%
2018-03-15,23.0093,22.9922,23.1356,22.9526,NA,0.11%
2018-03-16,22.9688,23.0103,23.142,22.9459,NA,-0.18%
2018-03-19,23.0751,22.9542,23.2062,22.9461,NA,0.46%
2018-03-20,22.9748,23.0689,23.1526,22.9517,NA,-0.43%
2018-03-21,22.7469,22.9758,22.9913,22.7111,NA,-0.99%
2018-03-22,22.9241,22.7507,22.9774,22.699,NA,0.78%
2018-03-23,22.8761,22.9298,23.0602,22.852,NA,-0.21%
2018-03-26,22.816,22.8553,22.9282,22.7244,NA,-0.26%
2018-03-27,22.798,22.8304,22.8759,22.7264,NA,-0.08%
2018-03-28,22.5285,22.788,22.8594,22.4698,NA,-1.18%
2018-03-29,22.37,22.531,22.6005,22.3466,NA,-0.70%
2018-03-30,22.3776,22.3784,22.437,22.3508,NA,0.03%
2018-04-02,22.4481,22.3814,22.5902,22.3742,NA,0.32%
2018-04-03,22.3545,22.444,22.4852,22.254,NA,-0.42%
2018-04-04,22.2232,22.3555,22.5223,22.1765,NA,-0.59%
2018-04-05,22.2839,22.2229,22.3119,22.0886,NA,0.27%
2018-04-06,22.4646,22.2954,22.554,22.2745,NA,0.81%
2018-04-09,22.6099,22.4402,22.6335,22.4128,NA,0.65%
2018-04-10,22.5701,22.6145,22.702,22.4674,NA,-0.18%
2018-04-11,22.5443,22.5707,22.708,22.4929,NA,-0.11%
2018-04-12,22.4215,22.5474,22.588,22.266,NA,-0.54%
2018-04-13,22.2516,22.429,22.4479,22.249,NA,-0.76%
2018-04-16,22.298,22.2507,22.3842,22.2399,NA,0.21%
2018-04-17,22.3263,22.29,22.3651,22.1419,NA,0.13%
2018-04-18,22.3837,22.333,22.4296,22.2424,NA,0.26%
2018-04-19,22.7704,22.3822,22.8394,22.3438,NA,1.73%
2018-04-20,22.7672,22.7746,22.9427,22.6824,NA,-0.01%
2018-04-23,23.1288,22.763,23.1441,22.721800000000002,NA,1.59%
2018-04-24,23.0219,23.1257,23.1425,22.9384,NA,-0.46%
2018-04-25,22.9204,23.0211,23.3121,22.8759,NA,-0.44%
2018-04-26,22.7718,22.9211,23.0145,22.6884,NA,-0.65%
2018-04-27,22.5836,22.7846,22.8103,22.5436,NA,-0.83%
2018-04-30,22.6031,22.5631,22.734,22.5571,NA,0.09%
2018-05-01,22.7282,22.6024,22.7808,22.5084,NA,0.55%
2018-05-02,22.8133,22.7267,22.9902,22.656,NA,0.37%
2018-05-03,22.853,22.8117,22.9675,22.7146,NA,0.17%
2018-05-04,23.0449,22.8753,23.0834,22.8301,NA,0.84%
2018-05-07,23.2083,23.011,23.3052,22.9256,NA,0.71%
2018-05-08,23.2183,23.2081,23.3265,23.1478,NA,0.04%
2018-05-09,23.1932,23.2262,23.3343,23.1228,NA,-0.11%
2018-05-10,22.9072,23.1855,23.2443,22.8755,NA,-1.23%
2018-05-11,23.2013,22.9135,23.2244,22.8774,NA,1.28%
2018-05-14,23.4056,23.2008,23.4625,23.1091,NA,0.88%
2018-05-15,23.3139,23.4035,23.5846,23.2736,NA,-0.39%
