Date,Price,Open,High,Low,Vol.,Change..
2017-10-12,4.5874,4.5849,4.5979,4.5813,,0.05%
2017-10-13,4.5854,4.5879,4.5987,4.5809,,-0.04%
2017-10-16,4.5837,4.5868,4.5894,4.5759,,-0.04%
2017-10-17,4.5838,4.584,4.589,4.5776,,0.00%
2017-10-18,4.5877,4.5832,4.5931,4.58,,0.09%
2017-10-19,4.5983,4.5883,4.604,4.5854,,0.23%
2017-10-20,4.602,4.5983,4.6062,4.5929,,0.08%
2017-10-23,4.5969,4.5965,4.6019,4.5884,,-0.11%
2017-10-24,4.5986,4.5963,4.6041,4.5884,,0.04%
2017-10-25,4.599,4.5984,4.602,4.5924,,0.01%
2017-10-26,4.5977,4.5986,4.6053,4.5901,,-0.03%
2017-10-27,4.6001,4.5976,4.6132,4.5953,,0.05%
2017-10-30,4.5985,4.5971,4.6076,4.5936,,-0.03%
2017-10-31,4.6014,4.5985,4.6053,4.5935,,0.06%
2017-11-01,4.6034,4.6016,4.6082,4.5971,,0.04%
2017-11-02,4.5983,4.6032,4.6052,4.5927,,-0.11%
2017-11-03,4.5951,4.6001,4.6109,4.5925,,-0.07%
2017-11-06,4.5903,4.5949,4.6013,4.5867000000000004,,-0.10%
2017-11-07,4.6323,4.5905,4.6399,4.5877,,0.91%
2017-11-08,4.6234,4.6328,4.6362,4.6185,,-0.19%
2017-11-09,4.6448,4.622,4.6494,4.6207,,0.46%
2017-11-10,4.645,4.645,4.6578,4.6351,,0.00%
2017-11-13,4.6514,4.6455,4.6592,4.6371,,0.14%
2017-11-14,4.6435,4.6517,4.6549,4.6375,,-0.17%
2017-11-15,4.638,4.6436,4.648,4.6243,,-0.12%
2017-11-16,4.6382,4.6379,4.6439,4.6327,,0.00%
2017-11-17,4.6368,4.6385,4.649,4.6338,,-0.03%
2017-11-20,4.6474,4.6343,4.6537,4.6072,,0.23%
2017-11-21,4.6448,4.6475,4.6616,4.6433,,-0.06%
2017-11-22,4.6505,4.6476,4.6559,4.6448,,0.12%
2017-11-23,4.6525,4.6502,4.6586,4.6471,,0.04%
2017-11-24,4.6394,4.6525,4.657,4.6376,,-0.28%
2017-11-27,4.64,4.6403,4.6479,4.6322,,0.01%
2017-11-28,4.6418,4.6391,4.6487,4.6368,,0.04%
2017-11-29,4.6444,4.6403,4.6486,4.6357,,0.06%
2017-11-30,4.6433,4.6444,4.6498,4.6342,,-0.02%
2017-12-01,4.6307,4.6434,4.6561,4.6277,,-0.27%
2017-12-04,4.6318,4.6272,4.6444,4.6151,,0.02%
2017-12-05,4.6284,4.6329,4.6391,4.6274,,-0.07%
2017-12-06,4.6314,4.6288,4.6365,4.6255,,0.06%
2017-12-07,4.6315,4.6314,4.6401,4.6276,,0.00%
2017-12-08,4.6323,4.6321,4.6417,4.6269,,0.02%
2017-12-11,4.6323,4.6323,4.641,4.6291,,0.00%
2017-12-12,4.629,4.6333,4.6413,4.6269,,-0.07%
2017-12-13,4.6329,4.6281,4.6416,4.6259,,0.08%
2017-12-14,4.6315,4.6307,4.6376,4.6274,,-0.03%
2017-12-15,4.6285,4.6318,4.6376,4.6262,,-0.06%
2017-12-18,4.6148,4.6282,4.6353,4.6126,,-0.30%
2017-12-19,4.6189,4.6151,4.6249,4.6142,,0.09%
2017-12-20,4.6249,4.6182,4.6339,4.6164,,0.13%
2017-12-21,4.6341,4.6239,4.6391,4.6227,,0.20%
2017-12-22,4.6393,4.6351,4.6453,4.6268,,0.11%
2017-12-25,4.6434,4.6348,4.6485,4.6329,,0.09%
2017-12-26,4.6393,4.6428,4.6471,4.6342,,-0.09%
2017-12-27,4.649,4.6393,4.656,4.6353,,0.21%
2017-12-28,4.6551,4.6485,4.6578,4.6457,,0.13%
2017-12-29,4.6642,4.6559,4.6706,4.6533,,0.20%
2018-01-01,4.6688,4.6661,4.6704,4.663,,0.10%
2018-01-02,4.64,4.6692,4.6967,4.638,,-0.62%
2018-01-03,4.6234,4.6396,4.6573,4.6143,,-0.36%
2018-01-04,4.6325,4.6227,4.6353,4.6184,,0.20%
2018-01-05,4.6315,4.6323,4.6447,4.6297,,-0.02%
