Date,Price,Open,High,Low,Vol.,Change..
2018-01-01,2.98,2.9472,3.02,2.9453,,0.10%
2018-01-02,2.9906,2.9516,3.0241,2.935,,1.41%
2018-01-03,2.9814,2.9883,3.0356,2.9308,,-1.33%
2018-01-04,2.9899,2.9981,3.0213,2.9329,,0.13%
2018-01-05,2.9937,2.955,3.026,2.9331,,1.32%
2018-01-08,3.0076,3.0072,3.0282,2.9324,,0.46%
2018-01-09,3.0172,2.9484,3.0086,2.9215,,-2.04%
2018-01-10,2.98,2.9922,2.9987,2.9255,,-0.08%
2018-01-11,2.98,2.9918,3.0099,2.9257,,0.24%
2018-01-12,3.0382,2.9518,3.0522,2.935,,2.95%
2018-01-15,3.0429,3.0406,3.0516,2.9496000000000002,,-2.33%
2018-01-16,3.0073,2.9822,3.0445,2.9593,,1.34%
2018-01-17,2.9797,2.9924,3.0257,2.9436,,-1.59%
2018-01-18,3.0382,2.9931,3.0242,2.9398,,0.12%
2018-01-19,2.9814,2.9938,3.0259,2.9426,,0.62%
2018-01-22,2.9906,2.9559,3.0127,2.9089,,-0.93%
2018-01-23,2.9895,2.9966,3.0692,2.9415,,0.24%
2018-01-24,2.9906,2.9609,3.0248,2.7828,,0.24%
2018-01-25,3.0299,2.9679,3.0764,2.9438,,-0.32%
2018-01-26,2.9817,2.9585,3.0217,2.9417,,0.78%
2018-01-29,2.9797,2.9972,3.0337,2.9482,,-0.23%
2018-01-30,2.9797,2.9751,3.036,2.9513,,0.16%
2018-01-31,3.0086,2.967,3.0324,2.9444,,0.97%
2018-02-01,2.9797,3.0048,3.0301,2.9411,,-1.52%
2018-02-02,2.9814,2.9632,3.0398,2.9449,,-0.20%
2018-02-05,2.9804,2.9783,3.0316,2.9385,,0.79%
2018-02-06,3.0172,2.9657,2.9994,2.9348,,-0.92%
2018-02-07,3.0172,2.9529,2.9981,2.9327,,-0.27%
2018-02-08,3.0172,2.959,2.9939,2.9425,,1.02%
2018-02-09,2.9821,2.94,2.9937,2.9223,,-1.05%
2018-02-12,2.9857,2.9622,3.0135,2.9402,,0.89%
2018-02-13,3.0086,2.9702,3.0186,2.9491,,0.18%
2018-02-14,2.9906,2.9606,3.0047,2.9303,,-0.67%
2018-02-15,3.0048,2.9696,3.0128,2.9486,,1.68%
2018-02-16,2.9906,2.9904,3,2.9356,,-1.98%
2018-02-19,2.9906,2.9457,2.9916,2.9272,,0.17%
2018-02-20,2.9821,2.9654,2.9857,2.9328,,-0.15%
2018-02-21,2.98,2.946,2.9802,2.9295,,-0.14%
2018-02-22,2.98,2.9412,2.9778,2.9265,,0.07%
2018-02-23,2.9906,2.9505,2.9814,2.9339,,0.41%
2018-02-26,2.9906,2.9526,2.9759,2.9281,,-0.48%
2018-02-27,3.0048,2.9558,3.0306,2.9354,,1.15%
2018-02-28,2.98,2.9612,2.9717,2.9156,,-1.43%
2018-03-01,2.98,2.9649,2.9855,2.9299,,1.10%
