Date,Price,Open,High,Low,Vol.,Change..
2017-09-01,23.41,23.4,23.4302,23.37,,0.04%
2017-09-03,23.5055,23.5055,23.5055,23.5055,,0.41%
2017-09-04,23.39,23.41,23.41,23.39,,-0.49%
2017-09-05,23.39,23.39,23.505,23.38,,0.00%
2017-09-06,23.4,23.38,23.4,23.36,,0.04%
2017-09-07,23.4,23.39,23.4,23.36,,0.00%
2017-09-08,23.39,23.38,23.41,23.36,,-0.04%
2017-09-10,23.4475,23.4475,23.4475,23.4475,,0.25%
2017-09-11,23.409,23.39,23.41,23.35,,-0.16%
2017-09-12,23.4,23.399,23.4,23.34,,-0.04%
2017-09-13,23.39,23.35,23.41,23.35,,-0.04%
2017-09-14,23.398,23.39,23.41,23.36,,0.03%
2017-09-15,23.39,23.398,23.41,23.36,,-0.03%
2017-09-17,23.4055,23.4055,23.4055,23.4055,,0.07%
2017-09-18,23.389,23.39,23.41,23.36,,-0.07%
2017-09-19,23.4,23.379,23.4,23.36,,0.05%
2017-09-20,23.402,23.389,23.402,23.36,,0.01%
2017-09-21,23.392,23.41,23.41,23.37,,-0.04%
2017-09-22,23.392,23.37,23.41,23.37,,0.00%
2017-09-24,23.4275,23.4275,23.4275,23.4275,,0.15%
2017-09-25,23.41,23.392,23.41,23.37,,-0.07%
2017-09-26,23.4,23.38,23.4,23.37,,-0.04%
2017-09-27,23.384,23.39,23.39,23.37,,-0.07%
2017-09-28,23.408,23.384,23.408,23.37,,0.10%
2017-09-29,23.41,23.398,23.41,23.36,,0.01%
2017-10-01,23.55,23.55,23.55,23.55,,0.60%
2017-10-02,23.403,23.401,23.403,23.37,,-0.62%
2017-10-03,23.3,23.493,23.51,23.3,,-0.44%
2017-10-04,23.406,23.406,23.406,23.21,,0.45%
2017-10-05,23.406,23.406,23.42,23.33,,0.00%
2017-10-06,23.405,23.406,23.42,23.33,,0.00%
2017-10-08,23.354,23.354,23.354,23.354,,-0.22%
2017-10-09,23.406,23.405,23.406,23.404,,0.22%
2017-10-10,23.375,23.441,23.451,23.355,,-0.13%
2017-10-11,23.37,23.446,23.446,23.34,,-0.02%
2017-10-12,23.442,23.4,23.442,23.3,,0.31%
2017-10-13,23.4,23.482,23.482,23.39,,-0.18%
2017-10-15,23.454,23.454,23.454,23.454,,0.23%
2017-10-16,23.446,23.442,23.446,23.36,,-0.03%
2017-10-17,23.405,23.471,23.471,23.375,,-0.17%
2017-10-18,23.456,23.432,23.456,23.35,,0.22%
2017-10-19,23.5999,23.6061,23.6401,23.5001,,0.61%
2017-10-20,23.4,23.45,23.56,23.4,,-0.85%
2017-10-22,23.6445,23.6445,23.6445,23.6445,,1.04%
2017-10-23,23.488,23.49,23.51,23.35,,-0.66%
2017-10-24,23.455,23.513,23.523,23.375,,-0.14%
2017-10-25,23.6208,23.6242,23.6692,23.5092,,0.71%
2017-10-26,23.532,23.4916,23.54,23.43,,-0.38%
2017-10-27,23.534,23.532,23.54,23.43,,0.01%
2017-10-29,23.6585,23.6585,23.6585,23.6585,,0.53%
2017-10-30,23.6246,23.6594,23.6754,23.5754,,-0.14%
2017-10-31,23.6246,23.5754,23.6754,23.5754,,0.00%
2017-11-01,23.546,23.48,23.55,23.46,,-0.33%
2017-11-02,23.631,23.679,23.679,23.5789,,0.36%
2017-11-03,23.542,23.543,23.56,23.46,,-0.38%
2017-11-05,23.7135,23.7135,23.7135,23.7135,,0.73%
2017-11-06,23.525,23.542,23.56,23.47,,-0.79%
2017-11-07,23.515,23.5519,23.605,23.495,,-0.04%
2017-11-08,23.556,23.556,23.57,23.46,,0.17%
2017-11-09,23.52,23.586,23.62,23.49,,-0.15%
2017-11-10,23.571,23.565,23.59,23.46,,0.22%
2017-11-12,23.5905,23.5905,23.5905,23.5905,,0.08%
2017-11-13,23.625,23.6709,23.715,23.625,,0.15%
2017-11-14,23.68,23.67,23.68,23.57,,0.23%
