Date,Price,Open,High,Low,Vol.,Change..
2018-01-01,51.285,51.285,51.285,51.285,,0.00%
2018-01-02,51.06,51.19,51.22,50.96,,-0.44%
2018-01-03,51.245,51.055,51.295,51.025,,0.36%
2018-01-04,51.025,51.245,51.295,50.935,,-0.43%
2018-01-05,51.135,51.025,51.225,50.955,,0.22%
2018-01-08,51.135,51.135,51.135,51.135,,0.00%
2018-01-09,51.585,51.065,51.745,51.065,,0.88%
2018-01-10,51.54,51.58,51.75,51.24,,-0.09%
2018-01-11,51.175,51.525,51.715,51.055,,-0.71%
2018-01-12,50.52,51.17,51.28,50.52,,-1.28%
2018-01-15,50.21,50.42,50.53,50.08,,-0.61%
2018-01-16,50.225,50.205,50.595,50.135,,0.03%
2018-01-17,50.525,50.225,50.665,49.985,,0.60%
2018-01-18,50.31,50.53,50.71,50.21,,-0.43%
2018-01-19,50.455,50.285,50.465,50.055,,0.29%
2018-01-22,50.22,50.3,50.5,50.19,,-0.47%
2018-01-23,50.06,50.21,50.48,50.02,,-0.32%
2018-01-24,49.625,50.065,50.145,49.595,,-0.87%
2018-01-25,49.67,49.63,49.8,49.12,,0.09%
2018-01-26,49.57,49.68,49.77,49.29,,-0.20%
2018-01-29,49.8,49.64,49.98,49.51,,0.46%
2018-01-30,49.645,49.825,50.015,49.445,,-0.31%
2018-01-31,49.58,49.63,49.77,49.32,,-0.13%
2018-02-01,49.225,49.605,49.785,49.175,,-0.72%
2018-02-02,49.41,49.22,49.71,49.18,,0.38%
2018-02-05,49.795,49.615,49.895,49.355,,0.78%
2018-02-06,49.75,49.79,50.08,49.53,,-0.09%
2018-02-07,50.21,49.76,50.39,49.64,,0.92%
2018-02-08,50.275,50.215,50.525,50.085,,0.13%
2018-02-09,50.325,50.275,50.545,50.125,,0.10%
2018-02-12,50.095,50.105,50.445,50.085,,-0.46%
2018-02-13,49.93,50.07,50.19,49.74,,-0.33%
2018-02-14,49.46,49.95,50.15,49.4,,-0.94%
2018-02-15,49.24,49.45,49.52,49.21,,-0.44%
2018-02-16,49.63,49.24,49.77,49.05,,0.79%
2018-02-19,49.625,49.625,49.885,49.545,,-0.01%
2018-02-20,49.91,49.63,50.08,49.61,,0.57%
2018-02-21,50.13,49.91,50.17,49.82,,0.44%
2018-02-22,49.93,50.13,50.23,49.85,,-0.40%
2018-02-23,50.15,49.91,50.2,49.88,,0.44%
2018-02-26,49.99,50.19,50.24,49.84,,-0.32%
2018-02-27,50.335,49.995,50.485,49.875,,0.69%
2018-02-28,50.495,50.335,50.625,50.305,,0.32%
2018-03-01,50.195,50.495,50.755,50.175,,-0.59%
2018-03-02,49.985,50.195,50.355,49.905,,-0.42%
2018-03-05,49.915,50.085,50.225,49.865,,-0.14%
2018-03-06,49.64,49.91,50.04,49.58,,-0.55%
2018-03-07,49.61,49.64,49.8,49.48,,-0.06%
2018-03-08,50.01,49.61,50.07,49.48,,0.81%
2018-03-09,50.03,50.01,50.21,49.93,,0.04%
2018-03-12,49.92,49.99,50.2,49.88,,-0.22%
2018-03-13,49.7,50.02,50.12,49.63,,-0.44%
2018-03-14,49.79,49.7,49.97,49.61,,0.18%
2018-03-15,50.045,49.785,50.055,49.725,,0.51%
2018-03-16,50.1,50.05,50.32,49.9,,0.11%
2018-03-19,49.92,50.23,50.33,49.83,,-0.36%
2018-03-20,50.3,49.9,50.41,49.84,,0.76%
2018-03-21,49.91,50.3,50.41,49.86,,-0.78%
2018-03-22,50.06,49.9,50.22,49.71,,0.30%
2018-03-23,49.84,50.06,50.16,49.77,,-0.44%
2018-03-26,49.485,49.845,49.915,49.405,,-0.71%
2018-03-27,49.65,49.5,49.86,49.36,,0.33%
2018-03-28,50.03,49.65,50.17,49.57,,0.77%
2018-03-29,50.06,50.03,50.23,49.92,,0.06%
2018-03-30,49.97,50.06,50.17,49.9,,-0.18%
2018-04-02,50.055,49.965,50.125,49.885,,0.17%
2018-04-03,50.18,50.06,50.29,49.92,,0.25%
2018-04-04,50.15,50.18,50.24,50,,-0.06%
2018-04-05,50.305,50.155,50.405,50.105,,0.31%
2018-04-06,50.135,50.305,50.415,50.095,,-0.34%
2018-04-09,50.135,50.135,50.135,50.135,,0.00%
2018-04-10,49.84,50.03,50.05,49.75,,-0.59%
2018-04-11,49.84,49.87,49.95,49.71,,0.00%
2018-04-12,49.95,49.83,50.07,49.76,,0.22%
2018-04-13,49.935,49.955,50.105,49.865,,-0.03%
2018-04-16,49.74,49.92,49.98,49.67,,-0.39%
