"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024",18.1161,18.1704,18.1845,18.11,NA,"-0.24%"
"07/03/2024",18.1592,18.2605,18.3065,18.1075,NA,"-0.49%"
"07/02/2024",18.248,18.359,18.4956,18.2104,NA,"-0.49%"
"07/01/2024",18.337,18.3047,18.452,18.2618,NA,"+0.04%"
"06/28/2024",18.33,18.4385,18.602,18.2025,NA,"-0.48%"
"06/27/2024",18.419,18.346,18.468,18.2791,NA,"+0.51%"
"06/26/2024",18.325,18.0952,18.3975,18.0634,NA,"+1.28%"
"06/25/2024",18.0932,17.9715,18.204,17.8913,NA,"+0.87%"
"06/24/2024",17.938,18.1495,18.1655,17.8719,NA,"-0.90%"
"06/21/2024",18.1,18.371,18.3951,18.0874,NA,"-1.34%"
"06/20/2024",18.3454,18.4225,18.4655,18.2535,NA,"-0.34%"
"06/19/2024",18.408,18.41,18.4786,18.362,NA,"+0.07%"
"06/18/2024",18.395,18.5365,18.5677,18.2927,NA,"-0.61%"
"06/17/2024",18.508,18.4765,18.6405,18.4316,NA,"+0.29%"
"06/14/2024",18.454,18.4045,18.6865,18.3631,NA,"+0.54%"
"06/13/2024",18.355,18.7495,18.8431,18.351,NA,"-2.00%"
"06/12/2024",18.73,18.5857,18.9955,18.5118,NA,"+0.86%"
"06/11/2024",18.5706,18.2435,18.6075,18.21,NA,"+1.98%"
"06/10/2024",18.21,18.406,18.6755,18.2085,NA,"-0.92%"
"06/07/2024",18.38,17.9925,18.47,17.8063,NA,"+2.28%"
"06/06/2024",17.97,17.518,18.019,17.446,NA,"+2.73%"
"06/05/2024",17.493,17.8584,17.8785,17.484,NA,"-2.02%"
"06/04/2024",17.853,17.6975,18.2045,17.545,NA,"+1.03%"
